NavB_up	MemB_up	CD8T_up	CD4T_up	NKcell_up	Monocyte_up	NavB_dn	MemB_dn	CD8T_dn	CD4T_dn	NKcell_dn	Monocyte_dn
LYPLA1	0	0	0	0.000846600713764708	0	0.0232942174880123	0.0513741113137132	0.00614599229837024	0.0867965784805873	0	0.000719246169392674	0
ATP6V1H	0	0	0	0	0	0.0210222174897636	0.0407302437268762	0.0503072888703354	0.0185220503413871	0.0293772954520535	0.0244426090273781	0
OPRK1	0.00722671575852284	0	0.0242143497383041	0.00297838891421143	0	0	0	0.00454311990925113	0	0	0.00849928947837736	0.00773329482705138
FAM150A	0.00399154453293926	0	0.0473789733430407	0	0.00496110248375826	0	0	0.0165918309307516	0	0.00237530297294485	0	0.0127909801738565
ST18	0	0	0.0200468194889647	0	0.00227244269190575	0.0206946853118559	0.00987307550147187	0.0156631131419437	0	0.000632197336175932	0	0
PCMTD1	0.0877941317538967	0.378130039539193	0	0.0103169373228949	0.0203045847520193	0	0	0	0.0116930723179374	0	0	0.0359750222740829
RRS1	0	0.0193033795881617	0.00967091353936369	0.0138366740184366	0	0	0.0533989123281668	0	0	0	0.00627191161125557	0.0196077499636484
ADHFE1	0	0	0.00124649764084744	0	0	0	0.00457941087820544	0.0135855951136742	0	0.00846690970386046	0.00160813443016186	0.00314281016882738
3110035E14RIK	0	0	0.0156529606429192	0.0132253632707275	0.000582869017150066	0	0.0040491615316122	0.0156414106222181	0	0	0	0.012259291184843
SGK3	0.00239516073892883	0.0751131986018101	0	0	0	0.136809304141932	0	0	0.0445206602951917	0.16290957683652	0.303724389330432	0
MCMDC2	0.0125162105190442	0.0122889870368535	0.00932962471615901	0	0	0.0456199355634118	0	0	0	0.00937323242761877	0.0102869002293322	0
PREX2	0	0	0.0244425361784043	0	0.00974049644465054	0	0.00723272891596529	0.0145252338353089	0	0.00142378956978035	0	0.0126682741595167
A830018L16RIK	0	0	0.0282350584591935	0.0120064766889994	0	0	0.00682511843238411	0.00132886124626964	0	0	0.00465311345359673	0.00686736615641146
SULF1	0	0	0.0149989049418929	0	0.00813192184714977	0	0.00129767611811006	0.0100824424132367	0	0.00857924205785054	0	0.015779158049466
XKR9	0	0	0.0274458997579244	0	0.00859178174639229	0	0.00760774692862237	0.00691746895221916	0	0.00491031686849013	0	0.0100406432944345
KCNB2	0.0123967283712633	0	0.00281672398771888	0	0	0	0	0.00676151787036864	0	0.0296551099163573	0.00318957501973948	0.00818569621149041
TERF1	0	0.00251288000947433	0	0	0.0119095390399389	0	0.00109870532106356	0	0.0376647578404575	0.0315969745435171	0	0.00997714622079001
GM7634	0.0415423887090014	0.0208061395235623	0	0.00716526469396361	0.0111477839304277	0	0	0	0.00562721124029436	0	0	0.00444161137175857
RDH10	0	0.00308403143535938	0	0	0.0320654076844789	0.00871675212918799	0.00600690581038704	0	0.0109098316379833	0.0399714562787695	0	0
TMEM70	0	0	0	0	0	0.00285683710104996	0.0526063664581429	0.00312534619534441	0.0189865217818202	0.0265631269061503	0.0085758718700772	0
LY96	0	0.265874998164391	0	0	0	0.280986036631235	0.0379920678457125	0	0.201973761403938	0.17860871430757	0.0151353976425948	0
GDAP1	0.00148156008166253	0	0.0157208649322463	0.00632168988901747	0	0	0	0.00756280728653771	0	0	0.00414320132603216	0.00872376209954167
PI15	0.00338843361548412	0	0.0338063874442033	0.000658169731886317	0.00455217609468443	0	0	0.00905191959005755	0	0	0	0.00701865624081324
CRISPLD1	0.0109633540863795	0	0.00634932319111335	0.0192554676716668	0	0	0	0.00717968890193693	0	0	0.00708863953703758	0.0122033925797044
TFAP2D	0.00146760409263217	0	0.0404081087383704	0	0	0	0	0.0109807960858983	0	0.00383004060002692	0.00188435394875081	0.0138458936607352
TFAP2B	0.00507414850105535	0	0.0467559315209655	0.00360746973737688	0	0	0	0.01393465947455	0	0	0.00629107860514348	0.020671521037405
MIR206	0	0	0	0.00720787877995014	0.00315061091651855	0	0.00417483398607557	0.00821114587344171	0.00156506611379185	0	0	0.00332746802465296
MIR133B	0.00141395263158125	0	0.0306262834731038	0.00501961790350862	0.0152998114031529	0	0	0.0126320330278885	0	0	0	0.0183669500549804
IL17A	0	0	0.0597789157652545	0.00473623895333993	0.00216266549201276	0	0.00297821106884395	0.0243049775866781	0	0	0	0.0135439422019384
PAQR8	0	0	0.0086603234839087	0	0	0	0.00605883295405296	0.0408548070001262	0	0.0112563616954272	0.00934584963731827	0.0154619170335816
EFHC1	0	0	0.0258345126855148	0	0	0	0.00530406360527434	0.00776531053771035	0	0.0157932784666989	0.0228553910650419	0.00572625242772884
TMEM14A	0	0	0	0.0117347879268407	0.0639159473940303	0.00844023159669798	0.0137714023276676	0.0152819744802987	0.00864077795584529	0	0	0
GSTA3	0	0	0.00838296873448574	0.0392864194900294	0.131252538110675	0	0.00618045773958213	0.0157330857172239	0	0	0	0.00811223136960001
KHDC1A	0.00533097279141124	0	0.00341422464506821	0	1	0	0	0.00423452524542435	0	0.0155476260054269	0	0.00958671835285461
MIR30A	0.00538778570131058	0	0.0192199041973282	0	0	0	0	0.00424329599802692	0	0.01159093114897	0.0002929477938222	0.00546235543408864
MIR30C-2	0.0100256656365674	0	0.00308777170572538	0.0117590652179491	0.00156390064638937	0	0	0.00646857101670402	0	0	0	0.00682316984180281
