LUAD_P1_up	LUAD_P2_up	LUSC_P1_up	LUSC_P2_up	LUAD_P1_dn	LUAD_P2_dn	LUSC_P1_dn	LUSC_P2_dn
A1BG	0.0886304213198536	0.111535784143311	0	0	0	0	0.160392074391389	0.136462438620811
A2LD1	0	0	0.0126162499213604	0	0.20450500174186	0.181520107642968	0	0.025219430912
A2M	0.051029892022008	0.0602387561615306	0	0	0	0	0.400194984051092	0.315202921503645
A4GALT	0	0	0.209630703609487	0.25965976055356	0.117215834007311	0.0696341454802376	0	0
AAAS	0	0	0	0	0.0120531122626171	0.00971119346880105	0.0256239415766792	0.0486859027563668
AACS	0	0.0040686779687065	0	0	0.00602159160284705	0	0.0844039126108741	0.0524868267190533
AADAC	0	0	0.0163092767902173	0.0154509127334147	0.0164072927950908	0.0903221419743346	0	0
AADAT	0.0237811431774403	0.0084377195193169	0.0581383874026257	0.0499474449203549	0	0	0	0
AAGAB	0	0	0.0216222971230027	0.0140991197607196	0.0966842886062625	0.0325483232208782	0	0
AAK1	0	0.00312121094605904	0.0236145973333862	0.0885803324666022	0.00643103322407282	0	0	0
AAMP	0	0.0033639466667407	0	0	0.0148174934036601	0	0.0803315462870102	0.111617637878503
AARS2	0.0270045990684688	0.0878903931021061	0	0.0024469681269581	0	0	0.00503999783192978	0
AARSD1	0.0559904149945818	0.0398310505160279	0.00261536821054817	0	0	0	0	0.0636398566850604
AARS	0	0	0	0	0.0753535155705293	0.0438069305590279	0.0920095383310661	0.0856824262575769
AASDHPPT	0	0	0.0368032569244509	0.0092168488161007	0.104186488613223	0.0280586033501607	0	0
AASDH	0	0	0	0	0.041112890414156	0.0670848685285637	0.04497368033801	0.0220363644193819
AASS	0.0814603792798475	0.101186345852189	0.007414870833157	0.0247520158012968	0	0	0	0
AATF	0	0	0.0991709803895317	0.0527690855057922	0.127664539353207	0.0374332310259609	0	0
AATK	0.102129610718773	0.0608220641472801	0	0	0	0	0.107163298668991	0.0878595544613467
ABAT	0.597570761329445	0.373114716043845	0	0.0309109132472072	0	0	0.0313633575484241	0
ABCA10	0.0873979285339418	0.0250457736078695	0	0	0	0	0.0454176084382878	0.0723765981264054
ABCA11P	0	0.0298597744680843	0	0	0.00528477373843248	0	0.070736891870929	0.0518388258196576
ABCA12	0	0	0.0484970941156541	0.0540218369283579	0.21196417449361	0.0888749979661276	0	0
ABCA13	0.080754145919322	0.121510885225053	0.107071487784118	0.151267660422481	0	0	0	0
ABCA1	0	0	0.0118235393589784	0	0.05718809349201	0.073499917809575	0	0.00620176900698102
ABCA2	0.0133071694999512	0.0103842888795064	0	0	0	0	0.13860011079832	0.13294805840303
ABCA3	0.610285055527576	0.499363099811576	0	0	0	0	0.549272342217528	0.537893095332799
ABCA4	0.035839785940676	0.119478598501603	0.0167377616542603	0.0466406295931662	0	0	0	0
ABCA5	0.257531669695398	0.0910274543122696	0.15703752866282	0.18472079345441	0	0	0	0
ABCA6	0.0427861323390311	0.0520906643760528	0	0	0	0	0.316011301495292	0.254328895577109
ABCA7	0.0944779737107798	0.0463992069086605	0	0	0	0	0.168080522011995	0.10816038392116
ABCA8	0.113205401704238	0.0544157707496664	0	0	0	0	0.139595916619089	0.108111290858326
ABCA9	0.0369731492343299	0.0290119945967776	0	0	0	0	0.0483591854249124	0.036090468179653
ABCB10	0	0	0.370690962682157	0.305523305149343	0.0425113920701004	0.0285339554510379	0	0
ABCB1	0.06747814949386	0.0344924743133864	0.0492959828266001	0.0882712586489018	0	0	0	0
ABCB6	0	0	0.163991872146927	0.133565606054196	0.00908011143488112	0.0133092192703833	0	0
ABCB7	0	0	0.0282215240227694	0.00411540428142339	0.0348888003650441	0.0487082108552138	0	0
ABCB8	0.0443992231056743	0.0389833915041517	0	0	0	0	0.159924463507685	0.0894567502243493
ABCB9	0.0670484076518064	0.0521535858071556	0	0	0	0	0.182665164376799	0.126864863738669
ABCC10	0.0682543356980209	0.170536288930894	0	0.00578329456291429	0	0	0.0283120257126441	0
ABCC1	0	0	0.207208846658267	0.231063287051895	0.122412626332033	0.0519595562680233	0	0
ABCC2	0	0	0.0123009201240772	0	0.415714393396972	0.277043506385304	0	0.00829322796353837
ABCC3	0.0265059006482359	0.115261169552472	0	0	0	0	0.0936400902654712	0.100501639767686
ABCC4	0.118062438954224	0.0375055316209968	0	0	0	0	0.0722230859551544	0.0679977656533445
ABCC5	0.0277298183691948	0.00299680189253262	0.362044048698027	0.35365010018829	0	0	0	0
ABCC6P2	0.613547534429192	0.434500807610301	0	0	0	0	0.0364987503528648	0.0292000330182878
ABCC6	0.431562242553895	0.348071749215869	0	0	0	0	0.053156715474463	0.0316883000287955
ABCC9	0	0	0	0	0.0342108876372969	0.0674793868121829	0.547309981532855	0.45983518647152
ABCD1	0	0	0	0	0.199363229840396	0.111938804742316	0.0514378018217015	0.0527110129718355
ABCD2	0.0612883661514023	0.057828597642119	0	0	0	0	0.112280582408838	0.0879851929605074
ABCD3	0.112057272665308	0.0278767503960837	0.0184477812504223	0.00755490136824032	0	0	0	0
ABCD4	0.170361488318964	0.233264174423171	0	0	0	0	0.0500458850327229	0.0403509984166958
ABCE1	0	0	0	0	0.195163573246495	0.104879331314196	0.0948867214643893	0.0636720441741673
ABCF1	0	0.0119946493510921	0	0	0.023872596724458	0	0.110498725672005	0.0961852083175301
ABCF2	0	0	0.0343890896034186	0.0389595466753376	0.0964933457750002	0.0405327254157886	0	0
ABCF3	0	0	0.0559946023327848	0.0431405598377264	0.0650129773443943	0.152535079456139	0	0
ABCG1	0.0268005986236679	0	0.00284959272357156	0	0	0.0063040604848626	0	0.00189614418021182
ABCG2	0	0	0	0	0.0805334066990441	0.074423569001434	0.0272813113840472	0.0341641278861465
ABHD10	0.00634849689989207	0	0.109015429952352	0.0698116585204784	0	0.0138712681541343	0	0
ABHD11	0.262504283421266	0.235545044518805	0.0526603640316649	0.0281161434114934	0	0	0	0
ABHD12	0.135817251599661	0.0746929554458047	0	0	0	0	0.141806280801148	0.144006430650421
ABHD13	0	0	0.0521673204209004	0.0590608431154774	0.0249869070412852	0.0626822220744212	0	0
ABHD14A	0.342195080474581	0.278102586053699	0	0	0	0	0.0808990175972231	0.110842453845034
ABHD14B	0.125256004966403	0.0852131963711166	0.0522714723216569	0.0240996827045411	0	0	0	0
ABHD15	0	0.0548003076340392	0.0062085152087383	0	0.0685329017587097	0	0	0.00635616411274482
ABHD2	0	0	0.0545968635754312	0.0690341567778903	0.0359011186003	0.00807846126689964	0	0
ABHD3	0	0	0.240341033934311	0.197609089855079	0.0327008593559014	0.120606437314148	0	0
ABHD4	0	0	0.183948315878658	0.146615673610162	0.054424513615905	0.0315726673301768	0	0
ABHD5	0	0	0.233914269830927	0.150859026616955	0.0390507861340088	0.0645140913611546	0	0
ABHD6	0.105558726356519	0.0130765105052614	0.00400838020796511	0	0	0	0	0.0387034754089942
ABHD8	0.147364242018814	0.105270486003159	0	0	0	0	0.0486641687683973	0.0317306129527412
ABI1	0	0	0.0438631652876146	0.0691719932143116	0.0382886061346145	0.0881670896003012	0	0
ABI2	0.0781920242961411	0.0554469030624518	0	0	0	0	0.080495165345648	0.0567792881009338
ABI3BP	0.0935014141524516	0.146878233222129	0	0	0	0	0.200457850868483	0.182088929186164
ABI3	0.0427120145177525	0.0893087852156143	0	0	0	0	0.225799963840549	0.201104753338722
ABL1	0	0	0	0	0.18933783729773	0.120929325190048	0.140371766350198	0.153117725438127
ABL2	0	0	0.0351322596088899	0.0201296202288251	0.136237869595426	0.0685843856739387	0	0
ABLIM1	0	0	0	0	0.0180479513529172	0.00122451596377508	0.11564256367497	0.117810710037881
ABLIM2	0.00821766668169545	0	0	0	0	0.030429893006632	0.19013857877409	0.225083251144
ABLIM3	0	0	0	0	0.185186839994928	0.097902220360094	0.627581456332897	0.592681075353003
ABO	0.0687213831297202	0.0670967828049594	0	0	0	0	0.0159536617845673	0.0102319385031087
ABP1	0.0821761602355468	0.0532023759451691	0	0	0	0	0.445373457351711	0.43942541490781
ABR	0.0535817972379317	0.151019272471299	0	0	0	0	0.329313591724388	0.255505445154745
