m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	2.18089093089472	2.18089093089472	2.18089093089472	2.18089093089472	2.18089093089472	2.18089093089472	2.18089093089472	2.18089093089472
CRUK0004	1.70351302677086	1.83090953733308	1.51573407238556	2.04020334412608	1.30644026559256	1.70351302677086	1.83230444998966	1.49303183617191
CRUK0005	2.49158120840147	2.91841933445827	2.10374181221868	3.28099064493244	1.74117050174451	2.49158120840147	2.91083154369878	2.06852406599751
CRUK0009	2.63159177457095	2.63159177457095	2.63159177457095	2.63159177457095	2.63159177457095	2.63159177457095	2.63159177457095	2.63159177457095
CRUK0010	1.38846224905726	1.38846224905726	1.38846224905726	1.38846224905726	1.38846224905726	1.38846224905726	1.38846224905726	1.38846224905726
CRUK0012	1.60965527578264	1.60965527578264	1.60965527578264	1.60965527578264	1.60965527578264	1.60965527578264	1.60965527578264	1.60965527578264
CRUK0013	2.20326516494165	2.34142539538546	2.11507990846392	3.02921100674714	1.42729429710224	2.20326516494165	2.47146315602544	1.9835285491265
CRUK0014	1.94712355732179	1.94712355732179	1.94712355732179	1.94712355732179	1.94712355732179	1.94712355732179	1.94712355732179	1.94712355732179
CRUK0017	1.66519276574371	2.06329111515607	1.29688290069296	2.31500606315155	1.04516795269748	1.6651927657437	2.18735116241604	1.18589322230334
CRUK0018	1.99565898311015	2.50259867820019	1.46334305684391	3.0456542558929	0.920287479151204	1.99565898311015	2.50259867820019	1.4590856094068
CRUK0019	1.50674353004198	1.50674353004198	1.50674353004198	1.50674353004198	1.50674353004198	1.50674353004198	1.50674353004198	1.50674353004198
CRUK0020	2.67247780026185	2.88415882203847	2.46079677848524	3.02151908475576	2.32343651576795	2.67247780026185	2.88415882203847	2.46079677848524
CRUK0021	2.66685303420109	2.74071921508554	2.59298685331664	2.99449341109503	2.33921265730715	2.66685303420109	2.74071921508554	2.59298685331664
CRUK0023	2.35075789311985	2.43125026104598	2.27026552519373	2.6497773757197	2.05173841052	2.35075789311985	2.49276859866437	2.20874718757534
CRUK0024	2.15480104655686	2.27481923565438	2.01482129079113	2.67202578197988	1.61761474446562	2.15480104655686	2.27481923565438	2.03152048931654
CRUK0025	2.45150889966145	2.5222709451972	2.38074685412569	2.62792508031803	2.27509271900487	2.45150889966145	2.51473960829629	2.3882781910266
CRUK0026	1.84691185121024	1.84691185121024	1.84691185121024	1.84691185121024	1.84691185121024	1.84691185121024	1.84691185121024	1.84691185121024
CRUK0027	2.46727480863251	2.78409550849298	2.15045410877203	3.17132313793999	1.76322647932503	2.46727480863251	2.76705485476587	2.16749476249915
CRUK0028	1.53821669645356	1.53821669645356	1.53821669645356	1.53821669645356	1.53821669645356	1.53821669645356	1.53821669645356	1.53821669645356
CRUK0029	3.27573012207445	3.48093813565819	2.94194224586471	4.05191046528399	2.37096991623891	3.27573012207445	3.54557170600213	2.94544099031745
CRUK0030	2.78467851084274	3.0008313340078	2.56852568767768	3.27216046148263	2.29719656020286	2.78467851084274	3.0008313340078	2.56852568767768
CRUK0031	2.43839245715445	2.43839245715445	2.43839245715445	2.43839245715445	2.43839245715445	2.43839245715445	2.43839245715445	2.43839245715445
CRUK0032	1.39363658312145	1.39363658312145	1.39363658312145	1.39363658312145	1.39363658312145	1.39363658312145	1.39363658312145	1.39363658312145
CRUK0033	1.36468666824823	1.41798672698322	1.31138660951323	1.46812194979191	1.26125138670454	1.36468666824823	1.42997198229834	1.29940135419812
CRUK0035	1.79847575959044	1.92934151070093	1.55660849584269	2.12057555655663	1.36537444998698	1.79847575959044	1.86755867827153	1.68127645429113
CRUK0036	2.82121481133001	2.84569553707282	2.78412914643634	3.2196174422343	2.41020724127486	2.82121481133001	3.12479438406933	2.48793319999289
CRUK0037	2.26339810416462	2.41628566504011	2.1242528677806	2.9002533238305	1.64028520899021	2.26339810416462	2.45921589711342	2.13763151597901
CRUK0039	2.52765495851391	2.47926819331977	2.56018992075096	2.76010439695781	2.27935371711292	2.52765495851391	2.5842536190052	2.47209943366052
CRUK0041	2.66426459837813	2.81556810684444	2.53340450608432	3.32509687257138	2.02387574035737	2.66426459837813	2.77561813816054	2.50005691672532
CRUK0042	1.59417577486018	1.59417577486018	1.59417577486018	1.59417577486018	1.59417577486018	1.59417577486018	1.59417577486018	1.59417577486018
CRUK0044	1.71823981896064	1.71823981896064	1.71823981896064	1.71823981896064	1.71823981896064	1.71823981896064	1.71823981896064	1.71823981896064
CRUK0046	1.64382020477979	1.69869247451669	1.49267465736032	1.81994898345622	1.37141814842079	1.64382020477979	1.73969360765007	1.50743960195593
CRUK0047	1.8874881874448	1.93045845942701	1.84451791546259	2.02827147009313	1.74670490479647	1.8874881874448	1.93300061407675	1.84197576081285
CRUK0048	1.93479452507442	1.93479452507442	1.93479452507442	1.93479452507442	1.93479452507442	1.93479452507442	1.93479452507442	1.93479452507442
CRUK0050	1.74979513710776	2.02912669806261	1.6770481923621	2.69959507014249	1.00657982028222	1.74979513710776	1.96137084405968	1.67315578637167
CRUK0052	2.23762780601563	2.12377974711564	2.18464632147987	2.72235844084802	1.58606762774748	2.23762780601563	2.42946372845361	2.12133855919934
CRUK0053	2.21634119419133	2.21634119419133	2.21634119419133	2.21634119419133	2.21634119419133	2.21634119419133	2.21634119419133	2.21634119419133
CRUK0055	2.59169137972921	2.59169137972921	2.59169137972921	2.59169137972921	2.59169137972921	2.59169137972921	2.59169137972921	2.59169137972921
CRUK0057	2.55960609807868	2.79920732854609	2.32000486761127	2.92920501511611	2.19000718104126	2.55960609807868	2.79165054164483	2.32756165451254
CRUK0060	2.14908981905485	2.14908981905485	2.14908981905485	2.14908981905485	2.14908981905485	2.14908981905485	2.14908981905485	2.14908981905485
CRUK0061	1.79780389506472	1.85858903946977	1.73701875065968	1.91778762329487	1.67782016683458	1.79780389506472	1.91778762329487	1.67782016683458
CRUK0095	2.62092954217216	2.78786795778447	2.45399112655985	2.8404731410375	2.40138594330682	2.62092954217216	2.78390750449837	2.45795157984595
CRUK0096	2.73259226253968	2.95874749406295	2.62737671795649	3.49427331289001	2.09185089912943	2.73259226253968	2.83953644784722	2.63045541422165
CRUK0099	2.28047802783153	2.35678358726318	2.20417246839989	2.57539591138664	1.98556014427643	2.28047802783153	2.33019363943468	2.23076241622839
CRUK0094	2.97215919065224	3.2302724313526	2.84115905702714	3.55097882451415	2.52045266386558	2.97215919065224	3.22518269995226	2.84324760673905
CRUK0098	2.41572454125182	2.76795169823105	2.18917956070094	3.19704294827211	1.76008831065988	2.41572454125182	2.76795169823105	2.12440510120509
CRUK0097	3.16834077614495	3.16834077614495	3.16834077614495	3.16834077614495	3.16834077614495	3.16834077614495	3.16834077614495	3.16834077614495
