m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	11.5161196738867	11.5161196738867	11.5161196738867	11.5161196738867	11.5161196738867	11.5161196738867	11.5161196738867	11.5161196738867
CRUK0004	11.798387028472	13.0565011829908	10.9050382587253	14.4118121085589	9.54972733315729	11.798387028472	12.1440111217969	11.3220321280087
CRUK0005	11.0971918210113	12.0394698935745	10.2001526734088	13.8011236110612	8.43849895592206	11.0971918210113	12.0044361644408	10.1420362891808
CRUK0009	12.5941318367585	12.5941318367585	12.5941318367585	12.5941318367585	12.5941318367585	12.5941318367585	12.5941318367585	12.5941318367585
CRUK0010	10.4354102733199	10.4354102733199	10.4354102733199	10.4354102733199	10.4354102733199	10.4354102733199	10.4354102733199	10.4354102733199
CRUK0012	10.2929355611919	10.2929355611919	10.2929355611919	10.2929355611919	10.2929355611919	10.2929355611919	10.2929355611919	10.2929355611919
CRUK0013	12.3281798316439	13.7957289484603	10.7320955598818	15.959005466949	8.56881904139317	12.3281798316439	12.6872153764864	11.8872560867801
CRUK0014	11.1554936118866	11.1554936118866	11.1554936118866	11.1554936118866	11.1554936118866	11.1554936118866	11.1554936118866	11.1554936118866
CRUK0017	10.48867896399	11.3601334647668	9.78921054909878	13.1372514995139	8.01209251435166	10.48867896399	10.8152248922632	10.3179252662246
CRUK0018	10.910735461357	11.7292773947741	9.74503537431177	15.0359416229846	6.43837114610128	10.910735461357	11.5986198581161	10.102946793773
CRUK0019	11.4080801165571	11.4080801165571	11.4080801165571	11.4080801165571	11.4080801165571	11.4080801165571	11.4080801165571	11.4080801165571
CRUK0020	11.6438502976822	12.0644968862181	11.2232037091462	13.051791327554	10.2359092678104	11.6438502976822	11.7266534173944	11.56104717797
CRUK0021	11.9371119473982	12.2735184509865	11.6007054438098	13.4169044064604	10.4573194883359	11.9371119473982	12.1249545380733	11.749269356723
CRUK0023	10.7477264540726	11.476490813004	10.0189620951412	12.744373976288	8.75107893185721	10.7477264540726	10.8405414182774	10.6549114898679
CRUK0024	11.3657628960394	12.2671751040538	10.5021602362738	13.8735258550731	8.89580948525456	11.3657628960394	11.7875394245123	10.9342763474554
CRUK0025	12.3917930248372	12.7076243479217	12.0759617017528	13.5588454186875	11.224740630987	12.3917930248372	12.4509135973774	12.3326724522971
CRUK0026	10.5338798574546	10.5338798574546	10.5338798574546	10.5338798574546	10.5338798574546	10.5338798574546	10.5338798574546	10.5338798574546
CRUK0027	11.4702393513203	12.2145619053168	10.725916797324	13.1190168905475	9.8214618120932	11.4702393513204	11.65056512699	11.2899135756507
CRUK0028	10.165282770177	10.165282770177	10.165282770177	10.165282770177	10.165282770177	10.165282770177	10.165282770177	10.165282770177
CRUK0029	12.8710680592367	13.653906116654	11.9538061241672	15.9308936905376	9.67681855028357	12.8710680592367	13.4994525233735	12.1946839433326
CRUK0030	12.8996423491112	13.3616454593373	12.4376392388852	14.3435629686882	11.4557217295343	12.8996423491112	13.2016432171594	12.5976414810631
CRUK0031	11.0742573076517	11.0742573076517	11.0742573076517	11.0742573076517	11.0742573076517	11.0742573076517	11.0742573076517	11.0742573076517
CRUK0032	8.25540971108684	8.25540971108684	8.25540971108684	8.25540971108684	8.25540971108684	8.25540971108684	8.25540971108684	8.25540971108684
CRUK0033	10.8508781377379	11.1683236874526	10.5334325880231	11.3661207226076	10.3356355528682	10.8508781377379	11.0266812913967	10.6750749840791
CRUK0035	11.3896158039291	12.1306432181989	10.7027515733991	13.6377904809368	9.19560431066122	11.3896158039291	11.5304225695989	11.2100299244119
CRUK0036	13.6599997897904	14.9000477100437	12.4321265703028	16.5558949887071	10.7762792916394	13.6599997897904	14.145129056258	13.4461231640777
CRUK0037	10.6779138041111	12.00021310435	9.42364665557089	14.1747664704972	7.24909328942361	10.6779138041111	11.0677256634983	10.0300959448471
CRUK0039	13.3363047270214	13.7166992376025	12.6578277781989	15.0482643775825	11.3262626382189	13.3363047270214	13.7221132232013	13.0796150109055
CRUK0041	12.7568503307031	13.7294690224716	11.857210115508	15.7008743074845	9.88580483049507	12.7568503307031	13.2813813961535	12.0377726124104
CRUK0042	11.7937716803206	11.7937716803206	11.7937716803206	11.7937716803206	11.7937716803206	11.7937716803206	11.7937716803206	11.7937716803206
CRUK0044	11.5476637696825	11.5476637696825	11.5476637696825	11.5476637696825	11.5476637696825	11.5476637696825	11.5476637696825	11.5476637696825
CRUK0046	10.9877633245313	11.6997132726295	10.1802726361131	12.5064799131642	9.37350599557836	10.9877633245313	11.2318706440525	10.6388756052947
