m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	3.08027671513121	3.34093161007899	2.79501763939498	3.47804589594808	2.65790335352588	3.08027671513121	3.28267021872269	2.85986756114737
250854	2.4300138307497	2.55196657312763	2.23519431391587	2.86495285179575	1.92220803524776	2.4300138307497	2.73666906358021	2.23996105315302
270881	3.29099326825021	3.6026290379942	3.06123959035704	3.71561507249755	2.94825355585369	3.29099326825021	3.52027234212907	3.15357616534942
831868	3.98755531846138	4.35666892020071	3.4561947615577	4.57436356226602	3.23850011949239	3.98755531846138	4.28890058373598	3.71402735242854
832461	3.58850138950939	3.74818521221381	3.42881756680498	3.80049970650936	3.37650307250943	3.58850138950939	3.64784559285601	3.52915718616278
833190	3.7536829284533	3.95295564097653	3.59885585586001	4.06062806393647	3.49118343290007	3.7536829284533	3.92525402650433	3.66527621131475
833625	4.20432000567803	4.34526110113296	4.07103092265474	4.48070092360759	3.93559110018011	4.20432000567803	4.26067621123616	4.1078806057418
838180	4.06736298313322	4.19983904272047	3.93488692354597	4.28186739833878	3.85285856792766	4.06736298313322	4.15066431309698	3.98406165316946
840550	1.61405891198312	1.63249075304081	1.59562707092543	1.80587181372371	1.42224601024253	1.61405891198312	1.69047208700544	1.53764573696079
840674	3.58118429875278	3.66390424866114	3.49846434884442	3.68128022248489	3.48108837502066	3.58118429875278	3.65672596768737	3.50564262981819
841808	3.61181520275158	3.95931990418646	3.28271750102656	4.04351802133843	3.1985193838746	3.61181520275158	3.83125330028151	3.47322776668772
858752	3.34252410401088	3.79143264706201	2.8264008578988	3.87841855082934	2.73941495413147	3.34252410401088	3.79014523851893	2.79024329726124
875099	4.41587499468018	4.74002131027626	4.07756425378789	4.8989986057707	3.91858695829345	4.41587499468018	4.76611376140716	3.99916871713955
886403	2.62793121893925	2.85726353013453	2.28893420115916	2.95807320594659	2.18812452534709	2.62793121893925	2.81340373393046	2.32176226640142
852845	4.3181451957064	4.73393875884574	3.90235163256705	4.94447093638125	3.69181945503154	4.3181451957064	4.67991392659289	3.9563764648199
888712	3.43913832156916	3.81308479573464	2.97208889332464	3.97034859969915	2.81482508936014	3.43913832156916	3.86949569690476	3.03860809972189
170547	4.20488425413977	4.30085231522632	4.1089161930532	4.35788657856626	4.05188192971327	4.20488425413977	4.2308749189058	4.17889358937373
191645	3.29811816418897	3.44524739613453	3.15098893224341	3.54748617753324	3.0487501508447	3.29811816418897	3.45055078415542	3.14568554422253
213109	3.11976045616936	3.69523141568402	2.24171419447625	4.1637697573834	1.77317585277687	3.11976045616936	3.5061872048302	2.40563483831735
260856	1.90249861778241	2.59057095444844	0.636030047513933	3.42324895633351	-0.196647954371134	1.90249861778241	2.58173900436394	0.634805960558864
250813	1.78292896321626	2.0223865721117	1.54347135432082	2.04458905107537	1.52126887535714	1.78292896321626	1.94999930714061	1.6158586192919
317699	3.07246843272165	3.2462942492054	2.8986426162379	3.28850160503549	2.85643526040781	3.07246843272165	3.11698888432601	3.02794798111729
834243	4.13515330211781	4.30365005965424	3.96665654458138	4.38474976794254	3.88555683629308	4.13515330211781	4.22187715151531	4.04842945272031
849616	3.51418352322171	4.66459286891445	1.993071702453	5.01749304478519	1.64017152658226	3.51418352322171	4.61871171231189	1.95159860273566
873708	4.39815464071673	4.55412158920105	4.24218769223241	4.62854270292068	4.16776657851279	4.39815464071673	4.40042236403324	4.39588691740023
