m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	57.7872006260351	59.9537550841881	41.0109114085562	41.1139256828066	63.2027682790063	50.0192817659757	52.8583371910778	47.9812249508551
250854	71.3685383453873	69.8859313608219	66.6208771468707	65.3761941924986	71.3305292348419	66.4151529828287	71.2962488031563	63.974207621224
270881	90.8870913734859	88.4779239543479	83.0436487362982	79.7762680292771	92.9103864340963	78.7795939360223	89.382521605767	67.6623487263288
831868	-9.1688198744446	-8.87216928164024	-9.36104202841952	-7.56605294957095	-10.6533289461849	-9.1096048020311	-8.64760962433881	-9.67219025962779
832461	-3.17403063444836	-3.0825254239835	-3.37908520515684	26.0349367241823	-7.93344064424817	-3.23248844665629	-2.7074189578858	-3.75755793542678
833190	43.1479810859442	46.7569440799302	28.4582949122579	39.035278238508	41.1417755529663	35.3645897922541	43.9005692614489	22.6087399019786
833625	29.134338422639	29.8039744833206	24.687258696546	38.6639784473808	24.7718158454628	26.3530312614201	35.3357165511208	21.5411890787246
838180	-5.63187477250149	-5.57090126850066	-5.96734200939307	-2.7417057961279	-8.84130453065303	-5.60561372473671	-4.78347099347181	-6.42775645600161
840550	75.4261025386549	73.7578645592451	73.5986631777136	99.4442760037433	37.7317499378067	71.5331959673691	72.7499099064936	70.3164820282446
840674	31.9190406827711	31.8910611629398	28.4097764724975	65.6044664616465	-3.62323428734112	27.8460824942463	36.1228653375123	19.5692996509802
841808	-9.99296963065537	-9.64511363374749	-9.76525073358482	-9.6728577839669	-9.75511281717715	-9.34872366365163	-8.73782618849524	-10.4610506206425
858752	-4.74000582858113	-6.16261812029089	-3.54585280841518	-6.19356104955946	-3.3408086778691	-4.92808736792167	-3.01590992170337	-7.02173516355027
875099	-7.89369317268149	-7.641462744077	-8.19158237845018	-5.91482988536179	-9.79015877024391	-7.97772818306212	-7.63733825292883	-8.31767649607487
886403	88.8898090786397	86.6738550093164	82.0328322208083	70.9511429006398	98.2789214876609	79.6413717272233	80.570558640315	78.8966028698965
852845	-8.40059964615486	-8.23332376148548	-8.05680498265304	-7.83721392547338	-8.98436560903313	-7.89630373847835	-7.5291374682451	-8.2634700087116
888712	3.69931691488009	5.18264216566288	-2.15963148258914	-4.22421426079589	27.1230900516073	7.80026011756273	29.2339451495106	-3.2417447198109
170547	-4.60577868151142	-4.74138429734779	-4.78388132659657	9.44977291780448	-9.53217538129369	-4.85567209968829	-4.59223373627832	-5.11911046309825
191645	-6.67017578668249	-5.04272737888438	-8.00360225110593	-3.62591647268646	-9.58620956940795	-6.64039434912674	-4.94361364915543	-8.33717504909805
213109	-6.88651172849839	-6.24490465069051	-5.89013531339398	-11.7060191694425	24.6824277017535	-4.9810931707905	-4.56278847950048	-5.40155356928691
260856	68.0158160877681	65.9750393337888	68.2170710116726	-9.14990382760753	139.718835621278	64.289329519593	67.6429322313021	61.360956184771
250813	76.5297803916018	77.0074876908786	72.4605169583769	99.5846679122124	39.4058426956739	72.5502045038811	74.452577341451	70.6478316663112
317699	25.8035266255263	27.5508441351267	18.8335304795918	39.7507475891413	13.2806275811056	23.1815000495219	27.4526943219149	18.9103057771289
834243	25.5881314537253	26.7339809792304	17.5880987981653	49.2352514289117	-4.25320446973166	17.895222569817	18.9302098927847	16.8602352468493
849616	-4.926714272173	-7.27983212713865	46.0720506815358	-14.3535733640813	130.030499548589	13.696677700527	58.2324337710313	-9.63247183422918
873708	-6.46072172081046	-5.8262381466315	-6.94724710331162	-4.02717869158783	-8.86335156542598	-6.35857785903468	-6.02551252418498	-6.69164319388439
