m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	3.55183220170909	3.55183220170909	3.55183220170909	3.55183220170909	3.55183220170909	3.55183220170909	3.55183220170909	3.55183220170909
CRUK0004	3.09705576238267	3.33687378625017	2.77002665947829	3.53124958460527	2.57565086112319	3.09705576238267	3.2200195509249	2.95653946292954
CRUK0005	3.00558644786259	3.17106293064998	2.86276899861968	3.36513840885817	2.66869352041149	3.00558644786259	3.13387114289233	2.78906007001913
CRUK0009	4.15655399575179	4.15655399575179	4.15655399575179	4.15655399575179	4.15655399575179	4.15655399575179	4.15655399575179	4.15655399575179
CRUK0010	3.04763209753173	3.04763209753173	3.04763209753173	3.04763209753173	3.04763209753173	3.04763209753173	3.04763209753173	3.04763209753173
CRUK0012	2.57173076812021	2.57173076812021	2.57173076812021	2.57173076812021	2.57173076812021	2.57173076812021	2.57173076812021	2.57173076812021
CRUK0013	2.90668013861397	3.64012182538899	2.36610589899004	3.74239741963437	2.26383030474465	2.90668013861397	3.49299860311637	2.60315036855637
CRUK0014	3.69010109884281	3.69010109884281	3.69010109884281	3.69010109884281	3.69010109884281	3.69010109884281	3.69010109884281	3.69010109884281
CRUK0017	3.61931089078878	3.99184685399295	3.36251252873774	4.16513846935369	3.18922091337699	3.61931089078878	3.74863569464083	3.36079647685246
CRUK0018	3.40072269496413	3.86963193696255	2.92917894062025	4.05735223145949	2.74145864612331	3.40072269496413	3.61451573201093	3.01317430349633
CRUK0019	2.71047202429094	2.71047202429094	2.71047202429094	2.71047202429094	2.71047202429094	2.71047202429094	2.71047202429094	2.71047202429094
CRUK0020	3.03285821089971	3.18991781689409	2.87579860490533	3.2707721919486	2.79494422985082	3.03285821089971	3.17941609885148	2.88630032294795
CRUK0021	4.69414789478921	4.91128047119395	4.47701531838447	4.92641372551252	4.4618820640659	4.69414789478921	4.90818945756766	4.48010633201075
CRUK0023	3.91118399637545	4.09268856675132	3.72967942599957	4.14835204157645	3.67401595117445	3.91118399637545	4.06652027168763	3.75584772106326
CRUK0024	3.63232435196388	4.10647323296277	3.26900891311724	4.2542623105259	3.1212198355541	3.63232435196388	4.09104151294795	3.27800249397881
CRUK0025	3.46171244854111	3.54780080705453	3.37562409002769	3.64753713705258	3.27588776002964	3.46171244854111	3.49874224997531	3.42468264710691
CRUK0026	2.93817080421137	2.93817080421137	2.93817080421137	2.93817080421137	2.93817080421137	2.93817080421137	2.93817080421137	2.93817080421137
CRUK0027	3.01305317342293	3.2111418527769	2.81496449406895	3.2474442598428	2.77866208700306	3.01305317342293	3.09242760065416	2.9336787461917
CRUK0028	2.7131650802005	2.7131650802005	2.7131650802005	2.7131650802005	2.7131650802005	2.7131650802005	2.7131650802005	2.7131650802005
CRUK0029	4.56047821976535	5.00426666506303	4.04920099310554	5.09219101164136	3.96127664652721	4.56047821976535	4.91583452196175	4.09109541130719
CRUK0030	3.8679681600743	4.06009059488216	3.67584572526643	4.1027671837916	3.633169136357	3.8679681600743	4.0643156094366	3.67162071071199
CRUK0031	3.35736993226521	3.35736993226521	3.35736993226521	3.35736993226521	3.35736993226521	3.35736993226521	3.35736993226521	3.35736993226521
CRUK0032	2.22621379348105	2.22621379348105	2.22621379348105	2.22621379348105	2.22621379348105	2.22621379348105	2.22621379348105	2.22621379348105
CRUK0033	2.51297314486877	2.56113586582784	2.46481042390971	2.56604217772268	2.45990411201486	2.51297314486877	2.55796229336893	2.46798399636861
CRUK0035	2.81028364836584	3.02805657226392	2.55894737023349	3.16214399275897	2.42485994973844	2.81028364836584	2.89786375019545	2.69257615382834
CRUK0036	3.83535521399246	4.26394622750122	3.45997248355794	4.38534136743507	3.3385773436241	3.83535521399246	4.15014242828596	3.62527219374436
