m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	18.5474597924647	20.3077493916605	17.1400657867755	25.3142155486396	12.1335996297964	18.5474597924647	20.350661719418	17.3606800884912
250854	16.7442993589978	18.3340865669737	14.4903398754937	23.1685963045119	9.65583013795552	16.7442993589978	18.1110873947737	14.4783267719295
270881	17.7948283496381	19.7898681338515	16.0361265747612	23.9758888226922	11.8501058859205	17.7948283496381	19.3025125085491	16.226934196938
831868	22.9133219074679	25.004153781456	20.9374696664841	28.9046871718437	17.0369362760964	22.9133219074679	23.6767394580315	21.8377098537072
832461	20.9904361822668	21.5773039913208	20.4035683732129	24.1494086298714	17.8314637346623	20.9904361822668	21.2073170733104	20.7735552912233
833190	20.4569866616963	21.5085129799379	19.3810048226407	25.294585316973	15.5949324856056	20.4569866616963	21.6019683493937	19.8094870268277
833625	21.2066920759945	22.211816749035	20.1500066327414	25.7089851110508	16.6528382707256	21.2066920759945	21.4396159059478	21.0815114822895
838180	24.7370685795616	25.773737854151	23.7003993049722	28.0320023902489	21.4421347688742	24.7370685795616	25.4611520167071	24.0129851424161
840550	13.9622118480859	14.7659687375853	13.1584549585865	15.8509236511779	12.0735000449938	13.9622118480859	14.5926691858545	13.3317545103173
840674	22.3752616764006	23.294349865219	21.4561734875822	25.1934387713889	19.5570845814123	22.3752616764006	22.6224896053033	22.1280337474979
841808	21.1110972833261	22.6858261578747	19.2221371505791	28.3857222161807	13.5222410922731	21.1110972833261	22.3239827260806	19.3171742737425
858752	19.0893644271902	20.9531264661419	16.6741281834418	26.5224950763496	11.1047595732341	19.0893644271902	21.4142043356028	16.2105489520025
875099	22.8959409466886	24.3215602068404	21.4419648517525	28.5099831527658	17.2535419058271	22.8959409466886	23.4558440015605	22.1017505771571
886403	18.0410187074283	19.4294584776505	16.4570099633814	24.7940928957901	11.0923755452419	18.0410187074283	19.3340716039441	16.9183264121721
852845	25.4291425290098	26.4020113021438	24.4562737558758	31.5953549919882	19.2629300660314	25.4291425290098	26.4763072146287	24.3819778433909
888712	19.5225741844196	21.3506215319176	17.6867352017981	26.768782997748	12.2685737359677	19.5225741844196	20.2391587209132	18.4182102081758
170547	19.0542922945618	19.7282202337389	18.3803643553847	22.4131549325276	15.695429656596	19.0542922945618	19.1755543590508	18.9330302300728
191645	20.9425386498138	21.6661401951344	20.2189371044933	24.7847583947248	17.1003189049029	20.9425386498138	21.4087937106372	20.4762835889905
213109	22.8252407286142	24.2475746233533	19.473514360093	34.7906660170977	8.9304229663486	22.8252407286142	24.8364166386185	18.8728551689009
260856	14.0871484931711	18.0253988846094	6.41905163628364	33.3137747139201	-8.86932419302707	14.0871484931711	17.971972020442	6.54775560475518
250813	17.0514092351469	17.3845210775573	16.7182973927366	18.8137395852383	15.2890788850556	17.0514092351469	17.132155465536	16.9706630047579
317699	16.0568132939872	17.330259911585	14.7833666763894	20.5524955200087	11.5611310679657	16.0568132939872	16.7997570852943	15.3138695026801
834243	23.282997567259	24.1092039714449	22.4567911630732	27.2141226217954	19.3518725127227	23.2829975672591	23.3152508965577	23.2507442379604
849616	21.5313982236949	26.5271136725982	14.0286093106201	40.4253856223851	0.130337360833233	21.5313982236949	25.8248132657181	14.2635481826854
873708	21.16312338293	21.895253603954	20.430993161906	25.213317506499	17.112929259361	21.16312338293	21.7351731223744	20.5910736434857
