m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	22.0483125269961	22.0483125269961	22.0483125269961	22.0483125269961	22.0483125269961	22.0483125269961	22.0483125269961	22.0483125269961
CRUK0004	19.3144921679505	20.8613166740124	17.6915335764888	26.660338750499	11.8925115000023	19.3144921679505	19.843891380074	18.954418379156
CRUK0005	21.6240396307499	22.6059875144178	20.1479174178241	27.8912793147197	14.8626256175222	21.6240396307499	22.7006308363209	20.4880609819661
CRUK0009	21.9964142270567	21.9964142270567	21.9964142270567	21.9964142270567	21.9964142270567	21.9964142270567	21.9964142270567	21.9964142270567
CRUK0010	20.4238305027775	20.4238305027775	20.4238305027775	20.4238305027775	20.4238305027775	20.4238305027775	20.4238305027775	20.4238305027775
CRUK0012	16.3330397217278	16.3330397217278	16.3330397217278	16.3330397217278	16.3330397217278	16.3330397217278	16.3330397217278	16.3330397217278
CRUK0013	21.2952843601726	21.9626642849852	20.8016497792529	29.5846446651704	13.1796693990677	21.2952843601726	21.469164749825	20.9940622939612
CRUK0014	19.1269775073345	19.1269775073345	19.1269775073345	19.1269775073345	19.1269775073345	19.1269775073345	19.1269775073345	19.1269775073345
CRUK0017	21.467346257221	22.1890129355947	20.5244422949957	28.2565528746583	14.4569023559321	21.467346257221	22.6336043845394	20.7873743882627
CRUK0018	21.5234105794266	23.2036162276254	19.5292330356961	32.7332464995381	9.99960276378334	21.5234105794266	22.5314626949195	19.6319947195539
CRUK0019	18.1806626866784	18.1806626866784	18.1806626866784	18.1806626866784	18.1806626866784	18.1806626866784	18.1806626866784	18.1806626866784
CRUK0020	20.3368617517235	21.0751594381883	19.5985640652587	23.8173645248134	16.8563589786336	20.3368617517235	20.6111766843044	20.0625468191427
CRUK0021	22.2750345606862	23.0522542481113	21.4978148732611	27.5908899997646	16.9591791216078	22.2750345606862	22.6274012179425	21.9226679034299
CRUK0023	19.582182065961	20.129172103857	19.035192028065	24.7649363486524	14.3994277832696	19.582182065961	20.4860396212738	18.6783245106482
CRUK0024	19.6036403393879	20.6717470513997	18.9462723755714	26.2742386321231	13.343780794848	19.6036403393879	20.0410994031877	18.8152254552517
CRUK0025	21.8302475396028	22.5524740256055	21.1080210536002	24.6507500575625	19.0097450216432	21.8302475396028	22.4729722550176	21.1875228241881
CRUK0026	18.536276491322	18.536276491322	18.536276491322	18.536276491322	18.536276491322	18.536276491322	18.536276491322	18.536276491322
CRUK0027	20.6941096823427	21.0432735255411	20.3449458391442	24.7134263214735	16.6747930432119	20.6941096823427	20.6944236117578	20.6937957529275
CRUK0028	20.8977013954111	20.8977013954111	20.8977013954111	20.8977013954111	20.8977013954111	20.8977013954111	20.8977013954111	20.8977013954111
CRUK0029	25.5609190140458	26.8112350262416	24.7648746852239	34.2358624703463	17.3402472411192	25.5609190140458	27.1782344113969	24.8802756383894
CRUK0030	21.8805788301899	22.5533107820989	21.2078468782809	25.5399043494116	18.2212533109683	21.8805788301899	22.4261036640239	21.335053996356
CRUK0031	21.4082052432264	21.4082052432264	21.4082052432264	21.4082052432264	21.4082052432264	21.4082052432264	21.4082052432264	21.4082052432264
CRUK0032	13.7920044133215	13.7920044133215	13.7920044133215	13.7920044133215	13.7920044133215	13.7920044133215	13.7920044133215	13.7920044133215
CRUK0033	21.1210748249285	21.4257639670077	20.8163856828493	22.2493720442929	19.992777605564	21.1210748249285	21.612982426471	20.6291672233859
CRUK0035	18.9797589002536	19.9317118774248	18.9002164364637	26.2565814905869	12.5753468233016	18.9797589002536	19.8430925611501	18.0532893133073
CRUK0036	23.6324256413453	26.3162752172713	20.4330934368355	32.1721437608813	14.5772248932255	23.6324256413453	24.7562312942656	21.2827091586517
CRUK0037	19.012368788305	20.6704055136899	16.5718912412578	27.7164812694934	9.5258154854543	19.012368788305	20.0924015448055	17.7003842529575
CRUK0039	23.8492706479864	24.4219675605758	23.425125944007	28.1839299939137	19.6631635106691	23.8492706479863	24.1296398111435	23.6391454909036
CRUK0041	22.8594426196977	23.5339057511503	21.2371303408397	30.4734071953963	14.2976288965937	22.8594426196978	23.7372043932756	22.0427170021001
CRUK0042	21.6557292628374	21.6557292628374	21.6557292628374	21.6557292628374	21.6557292628374	21.6557292628374	21.6557292628374	21.6557292628374
CRUK0044	20.7082775399541	20.7082775399541	20.7082775399541	20.7082775399541	20.7082775399541	20.7082775399541	20.7082775399541	20.7082775399541
CRUK0046	18.3998889476789	19.0507230148053	17.5623888464506	22.7749781149694	13.8381337462864	18.3998889476789	18.9185352185956	17.9248473605818
CRUK0047	21.4791382065914	21.853511444245	21.1047649689378	24.1066706521109	18.8516057610719	21.4791382065914	21.7790441043287	21.1792323088542
CRUK0048	20.7554623489372	20.7554623489372	20.7554623489372	20.7554623489372	20.7554623489372	20.7554623489372	20.7554623489372	20.7554623489372
CRUK0050	21.2302212184225	23.2646985102044	19.5667034985845	27.6791236325076	15.1522783762813	21.2302212184225	22.5192917375426	20.2718765327085
CRUK0052	21.391162182595	23.0286568668629	20.3551495401146	28.3936385819574	14.9901678250201	21.391162182595	22.3702656008039	20.6033237506684
CRUK0053	22.0859101346136	22.0859101346136	22.0859101346136	22.0859101346136	22.0859101346136	22.0859101346136	22.0859101346136	22.0859101346136
CRUK0055	21.9392689915517	21.9392689915517	21.9392689915517	21.9392689915517	21.9392689915517	21.9392689915517	21.9392689915517	21.9392689915517
CRUK0057	20.7911106577302	21.3673443989971	20.2148769164632	24.8103304672636	16.7718908481968	20.7911106577302	21.4936697841418	20.0885515313185
CRUK0060	18.3725776014517	18.3725776014517	18.3725776014517	18.3725776014517	18.3725776014517	18.3725776014517	18.3725776014517	18.3725776014517
CRUK0061	21.0097224142804	21.8392607016267	20.180184126934	26.6587535464829	15.3606912820778	21.0097224142804	21.20380031131	20.8156445172507
CRUK0095	25.1101293199277	24.9371786087479	25.2830800311075	28.2543357212829	21.9659229185725	25.1101293199277	25.1134772751148	25.1067813647406
CRUK0096	21.557446123622	22.7261089801502	20.0865281541494	29.2723161482742	13.5403209860255	21.557446123622	22.0052613332992	20.9559013725788
CRUK0099	21.695936745892	22.0217002436027	21.3701732481813	24.6770691158763	18.7148043759077	21.695936745892	22.4377819850669	20.9540915067171
CRUK0094	21.77956641641	22.360655968028	20.9647924318751	27.3238253363101	16.001623063593	21.77956641641	22.6966189889437	20.8988747069163
CRUK0098	24.5524944333958	25.3969323231845	23.566438834066	32.3138951183666	16.6494760388839	24.5524944333958	25.0515657139948	24.1785102962475
CRUK0097	20.0165958934296	20.0165958934296	20.0165958934296	20.0165958934296	20.0165958934296	20.0165958934296	20.0165958934296	20.0165958934296
CRUK0100	18.1311054794887	18.3914159961551	17.871657459672	25.1226793390014	11.1403941168257	18.1311054794887	19.1807320240347	17.2355983675679
CRUK0062	21.2814652550857	22.5692360272317	20.4959185497079	32.732437125322	10.3327174516177	21.2814652550857	22.6765910246631	20.4953957605305
CRUK0065	21.9253721693231	23.0814665639133	21.1360997954304	30.6967464251807	13.520819934163	21.9253721693231	22.8386622365774	21.3447527221821
CRUK0067	19.5405986576643	20.1098108230996	18.9713864922289	25.4605264509308	13.6206708643977	19.5405986576643	20.0335800903216	19.0476172250069
CRUK0069	22.0870692709476	24.4537807025478	15.5129914219274	43.147806025591	-3.18103390111576	22.0870692709476	24.3434925596995	15.4260240458227
CRUK0070	22.7757483903171	23.2934346572905	22.0616878087459	30.7258549015089	14.6292675645275	22.7757483903171	23.4081549888497	22.2938885266183
CRUK0075	21.8811738837017	21.8811738837017	21.8811738837017	21.8811738837017	21.8811738837017	21.8811738837017	21.8811738837017	21.8811738837017
CRUK0076	20.3153015421554	21.0132780721387	19.6173250121721	22.6873498054932	17.9432532788176	20.3153015421554	21.2552466902321	19.3753563940788
