m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	1.61451457337185	1.61451457337185	1.61451457337185	1.61451457337185	1.61451457337185	1.61451457337185	1.61451457337185	1.61451457337185
CRUK0004	1.15091239385738	1.4210178179719	1.110718079304	1.78122316995214	0.750512727323763	1.15091239385738	1.25462432266247	1.09879614418389
CRUK0005	1.25815438357268	1.27249493969788	1.11910831693853	1.61122968415098	0.780373572485425	1.25815438357268	1.28956284503958	1.23141643120433
CRUK0009	1.56977833520795	1.56977833520795	1.56977833520795	1.56977833520795	1.56977833520795	1.56977833520795	1.56977833520795	1.56977833520795
CRUK0010	1.0932378706605	1.0932378706605	1.0932378706605	1.0932378706605	1.0932378706605	1.0932378706605	1.0932378706605	1.0932378706605
CRUK0012	0.949162161678313	0.949162161678313	0.949162161678313	0.949162161678313	0.949162161678313	0.949162161678313	0.949162161678313	0.949162161678313
CRUK0013	1.54705586302471	1.62618342859602	1.6891153847424	2.2953897195745	1.01990909376392	1.54705586302471	1.76459476144706	1.39784700718395
CRUK0014	1.27781409672743	1.27781409672743	1.27781409672743	1.27781409672743	1.27781409672743	1.27781409672743	1.27781409672743	1.27781409672743
CRUK0017	1.26758041340985	1.59356984602284	0.941480786402583	1.85632335175082	0.678727280674603	1.26758041340985	1.54999127412544	1.04867518888002
CRUK0018	1.25351360850829	1.79308167443554	0.940082056194512	2.24053390969682	0.49262982093323	1.25351360850829	1.58068948641039	0.871162671168564
CRUK0019	1.10131781793597	1.10131781793597	1.10131781793597	1.10131781793597	1.10131781793597	1.10131781793597	1.10131781793597	1.10131781793597
CRUK0020	1.72363090280276	1.71515054990936	1.73211125569616	2.01918255662428	1.42807924898124	1.72363090280276	1.85570490774042	1.59155689786511
CRUK0021	1.78406537685816	1.8267867644983	1.74134398921801	2.10769701468005	1.46043373903626	1.78406537685816	1.99479777411507	1.57333297960125
CRUK0023	1.36372361522904	1.36913811890686	1.35830911155122	1.56636474967184	1.16108248078624	1.36372361522904	1.37784232940096	1.34960490105712
CRUK0024	1.387486321097	1.45398134248172	1.2965392800974	1.73345869630221	1.01706192627692	1.387486321097	1.4236730600298	1.33833027652443
CRUK0025	1.13455228329322	1.23028464382572	1.03881992276071	1.30615940313886	0.962945163447568	1.13455228329322	1.17501642473275	1.09408814185368
CRUK0026	0.863760125754909	0.863760125754909	0.863760125754909	0.863760125754909	0.863760125754909	0.863760125754909	0.863760125754909	0.863760125754909
CRUK0027	1.2307098129971	1.24870014830086	1.21271947769335	1.45077760086589	1.01064202512832	1.2307098129971	1.29127087323283	1.17014875276138
CRUK0028	0.559656635745345	0.559656635745345	0.559656635745345	0.559656635745345	0.559656635745345	0.559656635745345	0.559656635745345	0.559656635745345
CRUK0029	2.06703087982881	2.34478340752133	1.7847237021432	2.73660095194216	1.39290615772237	2.06703087982881	2.26438804195416	1.91508384425503
CRUK0030	1.79155362288826	1.88147892396953	1.70162832180698	2.13554795632448	1.44755928945203	1.79155362288826	1.91411889954454	1.66898834623198
CRUK0031	1.68471603764495	1.68471603764495	1.68471603764495	1.68471603764495	1.68471603764495	1.68471603764495	1.68471603764495	1.68471603764495
CRUK0032	0.964301169166752	0.964301169166752	0.964301169166752	0.964301169166752	0.964301169166752	0.964301169166752	0.964301169166752	0.964301169166752
CRUK0033	0.799070920868336	0.876892592320682	0.721249249415989	0.895186214474097	0.702955627262574	0.799070920868336	0.889907705221553	0.708234136515118
CRUK0035	1.22219893344156	1.19759014161616	1.34813691462012	1.74502994393352	0.800697112302762	1.22219893344156	1.42161500866617	0.939289103093889
CRUK0036	2.08082897552238	2.39498346438141	1.72753718594743	2.84760857979288	1.27491207053596	2.08082897552238	2.23206265895043	1.88076324600595
CRUK0037	1.09948825798795	1.56430340775589	0.828006593248845	2.04107791371772	0.351232087287009	1.09948825798795	1.32450902023283	0.916064085724149
CRUK0039	1.65875186605414	1.8201125731071	1.55278872184188	1.95433493002315	1.41856636492583	1.65875186605414	1.68508943266519	1.64228536680565
CRUK0041	1.50485081255863	1.68485231530262	1.19854046078062	2.0480411135146	0.835351662568635	1.50485081255863	1.6785157780287	1.21278673180143
CRUK0042	1.16665868805587	1.16665868805587	1.16665868805587	1.16665868805587	1.16665868805587	1.16665868805587	1.16665868805587	1.16665868805587
CRUK0044	1.8044130428435	1.8044130428435	1.8044130428435	1.8044130428435	1.8044130428435	1.8044130428435	1.8044130428435	1.8044130428435
CRUK0046	0.988843689094199	1.03235415911699	0.959469455990262	1.19674975028077	0.795073864826485	0.988843689094199	1.14460484331789	0.890365698754367
CRUK0047	1.62803642848729	1.69927499852042	1.55679785845416	1.74636863000995	1.50970422696463	1.62803642848729	1.64082888509336	1.61524397188122
CRUK0048	1.46996123238246	1.46996123238246	1.46996123238246	1.46996123238246	1.46996123238246	1.46996123238246	1.46996123238246	1.46996123238246
CRUK0050	0.921300162733907	1.10411696289113	0.820248945516069	1.55072416911573	0.373641739291474	0.921300162733907	1.01569466850561	0.838251771931694
CRUK0052	2.14294173663433	2.32868983450299	2.08277593843032	2.6681341635639	1.74333160936941	2.14294173663433	2.4027573954981	2.00479078535703
CRUK0053	1.37979729591208	1.37979729591208	1.37979729591208	1.37979729591208	1.37979729591208	1.37979729591208	1.37979729591208	1.37979729591208
CRUK0055	1.44920276098027	1.44920276098027	1.44920276098027	1.44920276098027	1.44920276098027	1.44920276098027	1.44920276098027	1.44920276098027
CRUK0057	1.60279647291126	1.70682624406595	1.49876670175658	1.79264222492016	1.41295072090237	1.60279647291126	1.73673173457007	1.46886121125246
CRUK0060	1.21946568610215	1.21946568610215	1.21946568610215	1.21946568610215	1.21946568610215	1.21946568610215	1.21946568610215	1.21946568610215
CRUK0061	0.798505306453252	0.851669790792356	0.745340822114147	1.27581531692623	0.321195295980274	0.798505306453251	0.900853065937878	0.696157546968625
CRUK0095	2.02341258730463	2.08583930117287	1.9609858734364	2.1605937116064	1.88623146300286	2.02341258730463	2.04909872688328	1.99772644772598
CRUK0096	2.23003794438324	2.30524863474748	2.02721783553378	2.70529417823182	1.62717229204943	2.23003794438324	2.37562154973379	2.04028904487155
CRUK0099	1.72315717512465	1.90677241510122	1.53954193514808	1.93576709953249	1.51054725071681	1.72315717512465	1.77540232285935	1.67091202738995
CRUK0094	2.0108163088163	2.26893121908572	1.76251506565625	2.36675839187239	1.66468789286958	2.0108163088163	2.15695022145921	1.92076166320498
CRUK0098	1.74241865235413	1.98596022794557	1.62334858544831	2.30255445210357	1.30675436129031	1.74241865235413	1.84819237503403	1.57997020136624
CRUK0097	1.64491602174677	1.64491602174677	1.64491602174677	1.64491602174677	1.64491602174677	1.64491602174677	1.64491602174677	1.64491602174677
CRUK0100	1.64853776813519	1.744194561657	1.53053992586969	2.08546605753608	1.18926842999061	1.64853776813519	1.69227000828799	1.58987660492169
CRUK0062	2.14649378324452	2.49112646145627	1.7715806014127	3.08086556180925	1.18184150105972	2.14649378324452	2.27327180225971	1.93356039501168
CRUK0065	2.34447742568585	2.24339613011316	2.28163928861111	2.87501082151998	1.65002459720428	2.34447742568585	2.49890432721535	2.17335796994231
CRUK0067	2.40240346937889	2.61345353668535	2.19135340207244	2.83472861995494	1.97007831880284	2.40240346937889	2.52636781602911	2.27843912272867
CRUK0069	1.73380302202157	2.01136099770936	1.10584567575174	3.47090074297012	-0.353694069509019	1.73380302202157	2.12532736916353	1.02896316974058
CRUK0070	1.91503051623474	1.97093672120035	1.90862053664426	2.63057204603696	1.24898521180765	1.91503051623474	2.0980620548491	1.65343685777851
CRUK0075	2.19588999771335	2.19588999771335	2.19588999771335	2.19588999771335	2.19588999771335	2.19588999771335	2.19588999771335	2.19588999771335
CRUK0076	2.16093798861157	2.22965122566835	2.09222475155479	2.33220648035916	1.98966949686397	2.16093798861157	2.30941966628509	2.01245631093805
CRUK0077	2.27920289784893	2.53945620013761	2.05138806375821	2.82774992231369	1.76309434158212	2.27920289784893	2.44432547105728	2.18896112206686
CRUK0078	2.34668880718804	2.38937725980418	2.30400035457191	2.65252184756636	2.04085576680972	2.34668880718804	2.35483224782817	2.33854536654791
CRUK0079	1.70257443888707	1.88441256605222	1.70306132163823	2.15368464644308	1.43378924124737	1.70257443888707	1.99808756481887	1.5353676873366
CRUK0081	2.0902045046905	2.0902045046905	2.0902045046905	2.0902045046905	2.0902045046905	2.0902045046905	2.0902045046905	2.0902045046905
CRUK0082	2.12267316821031	2.18072189579782	2.0646244406228	2.32976428093399	1.91558205548663	2.12267316821031	2.16024590750513	2.08510042891549
CRUK0083	1.87403735639657	2.01571523598902	1.57015124357501	2.45442110901726	1.13144537054677	1.87403735639657	2.06184743575613	1.53876181486722
CRUK0084	2.13098896876642	2.17824095512081	2.07812660953904	2.2794005950219	1.97696696963794	2.13098896876642	2.21659066948783	2.08052201621173
CRUK0086	2.08255847398595	2.41106504113574	1.84470849202759	2.58548465122401	1.67028888193931	2.08255847398595	2.46839038628923	1.7861591536697
CRUK0090	2.38791408382793	2.41880436428075	2.35702380337511	2.59036993433569	2.18545823332017	2.38791408382793	2.41367245339829	2.36215571425757
