m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	3.20076031092217	3.27271332977196	3.11373808310559	3.50236434943872	2.88408706343883	3.20076031092217	3.27019428435266	3.11373808310559
250854	2.30221039459386	2.35958266559404	2.26978708427845	2.80648222581551	1.82288752405698	2.30221039459386	2.38384208790348	2.25300201159965
270881	2.85131924408072	2.94132589186108	2.77823641940309	3.39285726461227	2.32670504665189	2.85131924408072	2.90044314307365	2.80727402180563
831868	3.96504662665021	4.0107589490459	3.82727971437878	4.30692306783037	3.5311155955943	3.96504662665021	4.17799135955392	3.73955994598247
832461	2.79316227732548	2.74760841054029	2.83871614411067	3.15149389339278	2.43483066125819	2.79316227732548	2.89709850452904	2.68922605012192
833190	3.51147905071207	3.60266546452458	3.49342242507351	3.80461617057895	3.29147171901914	3.51147905071207	3.5414826378749	3.47519457416093
833625	3.39494966110878	3.54778441346442	3.21496908502722	3.67486351703324	3.0878899814584	3.39494966110878	3.4940373694301	3.30642530986482
838180	3.47550172952319	3.40433283394484	3.54667062510154	3.81119538278656	3.13980807625982	3.47550172952319	3.62090993778871	3.33009352125766
840550	2.98173575041425	2.98464492800532	2.97882657282318	3.04882551345293	2.91464598737556	2.98173575041425	3.00889881205572	2.95457268877278
840674	2.66520408036774	2.71953613072585	2.61087203000963	2.92878657497252	2.40162158576296	2.66520408036774	2.68604381197865	2.64436434875683
841808	3.72990408828392	3.72330576096435	3.6729317601376	4.14975061251639	3.24648690858556	3.72990408828392	3.82186443774073	3.6729317601376
858752	3.73672291002735	3.7922532436087	3.58506729814804	4.25506548512158	3.12225505663516	3.73672291002735	3.92175738189052	3.47854270329551
875099	3.69201031348844	3.77262111626516	3.60415789572592	3.8953335120317	3.48144549995938	3.69201031348844	3.76503303578294	3.60315921725573
886403	2.95083930426161	2.85153672303097	2.81693519444523	3.52700523920265	2.14146667827355	2.95083930426161	3.28010114846216	2.75548156987745
852845	3.20033655048995	3.31213391997284	3.08853918100705	3.49693329246741	2.90373980851248	3.20033655048995	3.33457461903403	3.06609848194586
888712	3.30880027226246	3.42026242840812	3.23779688999276	3.72901773385632	2.92904158454456	3.30880027226246	3.36027234550095	3.24175268197223
170547	3.40798401679723	3.50118775594087	3.3147802776536	3.54475172603302	3.27121630756144	3.40798401679723	3.54475172603302	3.27121630756144
191645	3.80681208613286	3.79844768507132	3.81517648719439	3.91607034382234	3.69755382844337	3.80681208613286	3.85947057358266	3.75415359868306
213109	2.96498066802689	3.05980899994333	2.77419267486496	3.35538262342657	2.47861905138172	2.96498066802689	3.06094032927238	2.84633409658711
260856	1.90975460456867	2.42514281502779	0.863094463168678	3.47653972641153	-0.188302448215062	1.90975460456867	2.5353653044373	0.863094463168678
250813	2.69498783409239	2.82725257576715	2.56272309241763	2.87362009001775	2.51635557816702	2.69498783409239	2.82725257576715	2.56272309241763
317699	2.9707602691774	2.99260665309379	2.948913885261	3.20195876702448	2.73956177133032	2.9707602691774	3.1940843272006	2.74743621115419
834243	3.61390386756258	3.57848886589988	3.64931886922527	4.00717897652313	3.22062875860203	3.61390386756258	3.66908193706249	3.55872579806266
849616	2.94292486648485	3.11043308235598	2.64144513565493	4.47976056676799	1.27211765124291	2.94292486648485	3.21596920257131	2.4896041815359
873708	3.28587008215971	3.51702368664843	3.05471647767099	3.55421897520326	3.01752118911617	3.28587008215971	3.54933279374796	3.02240737057146
