m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	3.36608541979619	3.36608541979619	3.36608541979619	3.36608541979619	3.36608541979619	3.36608541979619	3.36608541979619	3.36608541979619
CRUK0004	3.28975366841315	3.35888282291064	3.27314201622159	3.85769517577393	2.7743296633583	3.28975366841315	3.48021366050328	3.17183210706139
CRUK0005	3.32007671262611	3.40816858339478	3.17545883853653	3.57360304832089	3.01002437361042	3.32007671262611	3.46245171695167	3.05491688181275
CRUK0009	3.92862913069188	3.92862913069188	3.92862913069188	3.92862913069188	3.92862913069188	3.92862913069188	3.92862913069188	3.92862913069188
CRUK0010	3.01466360273039	3.01466360273039	3.01466360273039	3.01466360273039	3.01466360273039	3.01466360273039	3.01466360273039	3.01466360273039
CRUK0012	3.04464695959056	3.04464695959056	3.04464695959056	3.04464695959056	3.04464695959056	3.04464695959056	3.04464695959056	3.04464695959056
CRUK0013	3.96793326404655	4.24295653594521	3.76503746555255	4.50511103122777	3.50288297026999	3.96793326404655	4.09784919115017	3.89272885491794
CRUK0014	2.85406915165726	2.85406915165726	2.85406915165726	2.85406915165726	2.85406915165726	2.85406915165726	2.85406915165726	2.85406915165726
CRUK0017	3.36363919976138	3.51964202252596	3.14800155975539	3.70554103564129	2.96210254664006	3.36363919976138	3.54849212756524	3.22815016076544
CRUK0018	3.69711375526258	4.11606617434629	3.00381857863263	4.61835591733514	2.50152883564378	3.69711375526258	4.0286623858931	2.98479437168655
CRUK0019	3.51123811906261	3.51123811906261	3.51123811906261	3.51123811906261	3.51123811906261	3.51123811906261	3.51123811906261	3.51123811906261
CRUK0020	3.57662327500826	3.66709033729448	3.48615621272204	3.71209336869503	3.44115318132149	3.57662327500826	3.64852816333855	3.50471838667797
CRUK0021	3.89780427437075	3.92369084262074	3.87191770612075	4.20897395705957	3.58663459168192	3.89780427437075	3.92369084262074	3.87191770612075
