m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	2.73158331946253	3.03200257091521	2.33517448218298	3.4253357600349	1.94184129306329	2.73158331946253	2.84482048171977	2.53184841069507
250854	2.33356726383526	2.63096667038288	2.15749697308416	2.8740740943254	1.91438954914164	2.33356726383526	2.54805306302251	2.22333685032293
270881	2.67996282402463	3.02508681750357	2.30310849906946	3.35892010628876	1.96927521028428	2.67996282402463	2.91086386764106	2.43087788568448
831868	4.31930632257742	5.00410388333938	3.79671086893876	5.19753959049546	3.60327516178268	4.31930632257742	4.7204273337064	4.08425415763022
832461	4.40660826131957	4.74358073539206	4.06963578724708	4.84482910836812	3.96838741427102	4.40660826131957	4.45262403899852	4.36059248364062
833190	3.05885138687615	3.61616602430696	2.48560527661923	3.81904209099189	2.2827292099343	3.05885138687615	3.35674356599171	2.65659311881034
833625	2.95689784294813	3.32646578351057	2.64043331877749	3.69160744485642	2.27529165743164	2.95689784294813	3.06494466060257	2.89159860148906
838180	3.65051356931857	3.97393326171591	3.32709387692123	4.15661002527353	3.14441711336362	3.65051356931857	3.8617960167628	3.43923112187435
840550	2.41528334044677	2.46548899358209	2.36507768731144	2.52901178330928	2.30155489758425	2.41528334044677	2.42206761844181	2.40849906245173
840674	2.73898054256119	2.81322114774478	2.66473993737761	3.00931358848704	2.46864749663534	2.73898054256119	2.79765726639234	2.68030381873005
841808	3.15225613063439	3.62702103178906	2.71842493614627	4.00075433598548	2.34469163194985	3.15225613063439	3.44909647379103	2.95045046100585
858752	3.14554990111737	3.56399037657031	2.69012450229626	3.8305501506703	2.42356472819628	3.14554990111737	3.38601048467938	2.68692289321969
875099	3.46596196579242	3.74277817219192	3.02408615088188	4.10207244441601	2.66479187865779	3.46596196579242	3.67707340744286	3.14527289357448
886403	2.94928043787393	3.21816509983348	2.61821687285925	3.61932903338288	2.21705293930985	2.94928043787393	3.16841862132552	2.52055314255951
852845	3.54059852507129	3.64953209100333	3.43166495913926	3.82583175059159	3.255365299551	3.54059852507129	3.56371741178899	3.5174796383536
888712	2.93009843432999	3.12883922139442	2.80440395713239	3.66764622179482	2.26559695673199	2.93009843432999	3.03923985655294	2.86448980536115
170547	2.70775458665093	3.02628201992964	2.38922715337222	3.16507225624529	2.25043691705657	2.70775458665093	2.75015024767341	2.66535892562845
191645	3.74323178149932	3.93550085993318	3.55096270306546	4.16399079037354	3.3224727726251	3.74323178149932	3.7936783734397	3.69278518955894
213109	3.11225717692977	3.5733117423147	2.69469881021886	4.14404356006331	2.12396699247025	3.11225717692977	3.2256398060476	2.92786276209191
260856	1.43964481912607	2.05149917714548	0.422032516401003	3.0951195974152	-0.621587903868716	1.43964481912607	1.99465587814624	0.435273687791551
250813	2.2022612874123	2.25583926319947	2.14868331162512	2.37566350622872	2.02885906859588	2.2022612874123	2.20880195705411	2.19572061777048
317699	3.03452863098049	3.22113195084312	2.84792531111786	3.55166048398147	2.51739677797951	3.03452863098049	3.0514395477307	3.01761771423028
834243	2.65721386207524	2.79335468647262	2.52107303767786	3.02833173333253	2.28609599081795	2.65721386207524	2.71644843149318	2.5979792926573
849616	3.06040856436201	3.70799660066569	1.94369659180802	4.25055059457897	1.40114259789474	3.06040856436201	3.5716464933987	2.11629949160042
873708	3.30812266417037	3.52930804241808	3.08693728592266	3.77228055891058	2.84396476943015	3.30812266417037	3.45254056679897	3.16370476154176
