m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	1.43821852081679	1.52089016945518	1.33599435388331	1.71330285975329	1.1435816635852	1.43821852081679	1.53341283266635	1.26861095897843
250854	1.86970721241266	2.00648250512168	1.67664977153209	2.18613984953854	1.49699242711523	1.86970721241266	2.08695702527053	1.70621698976525
270881	1.58965768965659	1.72567842133235	1.44995947946946	1.87946288368731	1.29617501711449	1.58965768965659	1.69100696858178	1.49854677881103
831868	2.06140870277676	2.02426959890191	2.08968358861527	2.2556495117123	1.85830367580488	2.06140870277676	2.16384247086281	1.98327144597048
832461	1.81836068230934	1.8543282732278	1.78239309139088	1.9846235379699	1.65209782664878	1.81836068230934	1.9020825201844	1.73463884443428
833190	1.80101283546767	2.00240508926692	1.6724524151686	2.13760189429922	1.5372556101363	1.80101283546767	1.98003703276368	1.61560564701674
833625	2.13680747814024	2.223341011473	2.04186929801915	2.42896781016913	1.83624249932302	2.13680747814024	2.25000534879144	2.00771963110423
838180	3.30392031094415	3.34521746230771	3.26262315958059	3.49607946481598	3.11176115707232	3.30392031094415	3.37371506013736	3.23412556175094
840550	1.59556906820282	1.65584132878602	1.53529680761962	1.68925020019157	1.50188793621407	1.59556906820282	1.65205859264751	1.53907954375813
840674	2.26144469604299	2.25915648872019	2.26373290336579	2.43641665497226	2.08647273711372	2.26144469604299	2.31944849670152	2.20344089538447
841808	2.292109787899	2.54303569343428	2.09941226273682	2.7001670599173	1.9422808962538	2.292109787899	2.53935828432525	2.12247160652609
858752	2.36656994822965	2.63246660155513	1.92441403464254	2.88456325190395	1.67231738429372	2.36656994822965	2.61568881011041	1.88038204317126
875099	2.98881588043145	3.14582610161289	2.90816818567602	3.40138633671701	2.6526079505719	2.98881588043145	3.20198500224007	2.87119636479537
886403	1.09814119294612	1.17836213613047	0.890192322760691	1.41051119150673	0.658043267384425	1.09814119294612	1.25615785424139	0.859775677297842
852845	2.81901531342787	2.83906747166972	2.79896315518602	3.06807107241238	2.56995955444336	2.81901531342787	2.92215933768204	2.7158712891737
888712	2.49301427631995	2.64751203049461	2.28550360766159	2.90111352033299	2.03190211782321	2.49301427631995	2.63922735230361	2.22494708963073
170547	3.00850555075449	3.16016495328371	2.85684614822527	3.24953481688355	2.76747628462543	3.00850555075449	3.08598262543334	2.93102847607564
191645	2.28442401666542	2.35371937403146	2.21512865929939	2.43971784705165	2.12913018627919	2.28442401666542	2.34974598620322	2.21910204712763
213109	1.89027703513054	2.05134876095448	1.42392767046263	2.61511463769028	0.860161793726834	1.89027703513054	2.24432720067549	1.2365717492091
260856	1.90335067400481	2.56937585539654	0.623990584519895	3.11587099737966	0.0774954425367753	1.90335067400481	2.56959149480332	0.623990584519895
250813	1.58776619006253	1.66726341751316	1.50826896261189	1.67893986343668	1.49659251668838	1.58776619006253	1.6235285614714	1.55200381865366
317699	2.38148972317226	2.55491074508924	2.20806870125528	2.70327563048828	2.05970381585624	2.38148972317226	2.5942651627815	2.16871428356302
834243	2.17254568044545	2.20104214457606	2.14404921631484	2.33940263631033	2.00568872458057	2.17254568044545	2.21997776067409	2.12511360021682
849616	2.05484876071285	2.7435977114717	0.684080534505919	3.11992651007171	0.307751735905907	2.05484876071285	2.81815296691752	0.632940450426011
873708	2.12600240403548	2.29190797504628	1.96009683302467	2.40457354117289	1.84743126689806	2.12600240403548	2.36266878504838	1.88933602302258
