m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	2.64899746877637	2.86696404133534	2.42289572746316	3.10427441067871	2.1855853581198	2.64899746877638	2.79091494251535	2.42621470366677
250854	1.28742631675554	1.24407458410767	1.25354723170612	1.50091624847857	0.99670556733522	1.28742631675554	1.3067124334911	1.2741394931417
270881	2.25965402818442	2.51143630830102	1.96784496666963	2.72387841823046	1.7554028567402	2.25965402818442	2.62262192341369	1.89372033599291
831868	3.52119158266482	3.71385078078483	3.27191128940526	4.05353752403644	2.93222454615365	3.52119158266482	3.72439193731567	3.27191128940526
832461	2.83508456842844	2.9018135241686	2.76835561268829	3.22798142852708	2.4421877083298	2.83508456842844	2.99491238743447	2.67525674942241
833190	2.79987440354281	2.94428655013921	2.6652162109883	3.15207291342777	2.45742984769973	2.79987440354281	3.0369874612441	2.64369999355652
833625	2.52308063244529	2.68340460340666	2.25582436588685	2.99123378791812	1.94799518137538	2.52308063244529	2.68066780835282	2.23967620457503
838180	3.04430285081966	3.32803801098829	2.76056769065104	3.70724317942749	2.38136252221184	3.04430285081966	3.32803801098829	2.76056769065104
840550	1.03206197080504	0.995564886699953	1.06855905491012	1.13822253826693	0.925901403343144	1.03206197080504	1.06850895497536	0.995614986634716
840674	3.05933760393642	3.25419819934107	2.86447700853176	3.6038579290372	2.51481727883563	3.05933760393642	3.17230845333354	2.94636675453929
841808	3.0013577842144	3.03715160292153	2.86826982605227	3.70883480090056	2.19658662807324	3.0013577842144	3.24000684111217	2.81111024671252
858752	2.75719487472733	2.99455435592686	2.39765993565005	3.50476737003336	1.88744692154355	2.75719487472733	2.99455435592686	2.39765993565005
875099	3.48711970110048	3.60472147747251	3.47735663695991	3.87712741638829	3.20495069804413	3.48711970110048	3.51612368847191	3.44026441138926
886403	2.03878617558008	1.98638973855774	1.99117398402903	2.45512003869138	1.52244368389539	2.03878617558008	2.08048075494845	1.96890820830925
852845	2.90760229258363	3.1013584950863	2.71384609008095	3.88380834735207	1.93139623781519	2.90760229258363	2.97680234813051	2.83840223703675
888712	2.58245882621895	2.62025037970341	2.503155130834	2.92623468644736	2.19717082409005	2.58245882621895	2.72514617638057	2.47746970099123
170547	3.14965819773797	3.14675962395438	3.15255677152157	3.47081463397524	2.8285017615007	3.14965819773797	3.26770954056181	3.03160685491413
191645	3.16414902272262	3.24392991423231	3.08436813121293	3.29514389154087	3.03315415390436	3.16414902272262	3.29514389154087	3.03315415390436
213109	3.20981343508841	3.52240082501897	2.90611571695456	4.45298271723118	1.97553382474235	3.20981343508841	3.28124647163359	3.14727007033994
260856	0.990052544854976	1.2437941100839	0.506338450136899	1.81011202324675	-0.0599794630259576	0.990052544854976	1.28429129346454	0.506338450136899
250813	0.904612028695534	0.887690453818726	0.921533603572342	1.03817822136877	0.771045836022294	0.904612028695534	0.922115718165972	0.887108339225096
317699	2.44462293314315	2.70225032023131	2.18699554605498	3.24476106771379	1.6444847985725	2.44462293314315	2.54768285251055	2.34156301377574
834243	2.85026967879164	2.78302594702232	2.91751341056095	3.05729577639155	2.64324358119172	2.85026967879164	2.91881596742746	2.78172339015581
849616	2.62124684898439	3.01147607663677	2.0415056860586	5.83957411555806	-0.786592352862693	2.62124684898439	2.97044328584636	2.0415056860586
873708	3.09086197024164	3.0569234470792	3.12480049340407	3.29275337096478	2.8889705695185	3.09086197024164	3.27470252951444	2.90702141096883
