m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	1.96955033188554	1.96955033188554	1.96955033188554	1.96955033188554	1.96955033188554	1.96955033188554	1.96955033188554	1.96955033188554
CRUK0004	1.73823429052835	1.8854271777486	1.44382399154101	2.90138915585842	0.427862013431186	1.73823429052835	1.92036083297083	1.41464392943642
CRUK0005	2.39798582745523	2.72006056503306	2.02794165680835	5.41972832402091	-0.6717261021795	2.39798582745523	2.71555918105646	2.05349200773349
CRUK0009	3.88383937639922	3.88383937639922	3.88383937639922	3.88383937639922	3.88383937639922	3.88383937639922	3.88383937639922	3.88383937639922
CRUK0010	2.00369692046715	2.00369692046715	2.00369692046715	2.00369692046715	2.00369692046715	2.00369692046715	2.00369692046715	2.00369692046715
CRUK0012	1.14951848712104	1.14951848712104	1.14951848712104	1.14951848712104	1.14951848712104	1.14951848712104	1.14951848712104	1.14951848712104
CRUK0013	3.4428679766513	3.70368524197929	3.25926674606455	6.47065812113157	0.492293866912265	3.4428679766513	3.73530666965392	3.25926674606455
CRUK0014	1.83723307528539	1.83723307528539	1.83723307528539	1.83723307528539	1.83723307528539	1.83723307528539	1.83723307528539	1.83723307528539
CRUK0017	2.35245268681178	2.59723311308385	1.88787149673892	5.01111217319697	-0.526007563374198	2.35245268681178	2.59723311308385	2.01804211488588
CRUK0018	1.51556434139201	1.71525794721651	1.08883916487245	4.79622430274519	-1.99212719065623	1.51556434139201	1.77417980535504	1.02933578461126
CRUK0019	1.23696522762992	1.23696522762992	1.23696522762992	1.23696522762992	1.23696522762992	1.23696522762992	1.23696522762992	1.23696522762992
CRUK0020	2.63944414417197	2.79889570307808	2.47999258526586	4.01873038071585	1.26015790762809	2.63944414417197	2.80803475997569	2.47085352836825
CRUK0021	4.421774583274	4.48279466475195	4.36075450179606	5.20706371641153	3.63648545013648	4.421774583274	4.63708582117834	4.20646334536967
CRUK0023	2.18016343927808	2.07464160280872	2.28568527574745	3.31557466414766	1.04475221440851	2.18016343927809	2.25312393189383	2.10720294666234
CRUK0024	2.64240094151968	2.94833619431893	2.45538550284924	4.26954203157703	1.13417966559114	2.64240094151968	2.92247253170228	2.37718809298009
CRUK0025	2.1410170003264	2.20323909960865	2.07879490104414	2.79839818796718	1.48363581268562	2.1410170003264	2.15886624218339	2.1231677584694
CRUK0026	2.10284028797454	2.10284028797454	2.10284028797454	2.10284028797454	2.10284028797454	2.10284028797454	2.10284028797454	2.10284028797454
CRUK0027	2.43909033298589	2.90765952693961	1.97052113903218	4.88327495804023	-0.00509429206844314	2.43909033298589	2.88313742580594	1.99504324016585
CRUK0028	1.25721819507437	1.25721819507437	1.25721819507437	1.25721819507437	1.25721819507437	1.25721819507437	1.25721819507437	1.25721819507437
CRUK0029	4.06027197106622	4.32867367690638	3.6917559470962	7.56939945897318	0.451030165029408	4.06027197106622	4.32867367690638	3.38769236507314
CRUK0030	3.06177986372471	3.47249942305306	2.65106030439635	4.62618699215167	1.49737273529775	3.06177986372471	3.46406163073588	2.65949809671354
CRUK0031	2.7679321181183	2.7679321181183	2.7679321181183	2.7679321181183	2.7679321181183	2.7679321181183	2.7679321181183	2.7679321181183
CRUK0032	1.40694324312674	1.40694324312674	1.40694324312674	1.40694324312674	1.40694324312674	1.40694324312674	1.40694324312674	1.40694324312674
CRUK0033	1.3602168090299	1.26043048973084	1.46000312832897	2.02947312415089	0.690960493908917	1.3602168090299	1.59193667096165	1.12849694709815
CRUK0035	1.70902319522664	1.77442933591788	1.60455372144609	2.92279136771442	0.456191689649554	1.70902319522664	1.79031457013349	1.63378176415107
CRUK0036	4.07125505666048	4.20835841673161	4.03243846008322	6.276048664822	1.96474821199283	4.07125505666048	4.29629262207537	3.8502543728135
CRUK0037	2.48085670850241	3.13741451890021	2.09582048203613	4.87837546872585	0.354859532210481	2.48085670850241	3.13993875057914	1.96428830105576
CRUK0039	2.83565223527081	2.93256471983338	2.87215970013366	3.98826098351183	1.81646343645522	2.83565223527081	3.02823627764203	2.68370469626031
CRUK0041	4.12036755224602	4.08530208369818	3.89657935445614	6.1053076511392	1.87657378701513	4.12036755224602	4.28908636142901	3.97226607557437
CRUK0042	1.51769402306771	1.51769402306771	1.51769402306771	1.51769402306771	1.51769402306771	1.51769402306771	1.51769402306771	1.51769402306771
CRUK0044	2.79364841137106	2.79364841137106	2.79364841137106	2.79364841137106	2.79364841137106	2.79364841137106	2.79364841137106	2.79364841137106
