m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	3.5755532153588	3.7386605358504	3.39289909245704	4.11948068835527	3.01207893995217	3.57555321535879	3.86880655171062	3.17170861054257
250854	3.04111614433461	3.31289559249899	2.60860690527522	3.52303638794857	2.39846610982563	3.04111614433461	3.28763445869839	2.59113017311096
270881	3.42354529443732	3.63129952957653	3.19548244196724	3.89892610067585	2.92785587086792	3.42354529443732	3.57005063632918	3.28153009889003
831868	4.73746972434086	4.99066966387992	4.47986216944704	5.16957036208488	4.30096147124207	4.73746972434086	4.94127440775573	4.57655805258779
832461	3.86875499787107	3.95239537434666	3.78511462139548	4.09426923595804	3.6432407597841	3.86875499787107	3.98175221293599	3.75575778280614
833190	3.88255310552533	4.06224087231774	3.64331988385668	4.23277568514254	3.47278507103188	3.88255310552533	4.06624553391542	3.74470558820865
833625	4.19078562866577	4.31515586883828	4.09859868408563	4.53049098938693	3.88326356353697	4.19078562866577	4.35442721087584	4.09951353283035
838180	4.4387050939354	4.67826575149611	4.19914443637469	4.75009279716421	4.12731739070659	4.4387050939354	4.66528383810099	4.21212634976981
840550	2.9900261328215	3.05317197093605	2.92688029470695	3.15252939721814	2.82752286842486	2.9900261328215	2.99976562518751	2.98028664045549
840674	3.96289134899589	4.20764836003386	3.71813433795792	4.26156898884114	3.66421370915064	3.96289134899589	4.22158841364801	3.70419428434377
841808	4.32835437792778	4.52252786587571	3.99843463480862	4.76026093338741	3.76070156729693	4.32835437792778	4.55784588047653	3.99997139756206
858752	3.73065675767803	4.30570210581835	3.19489891279543	4.46805584851049	3.03254517010329	3.73065675767803	4.37182711306274	3.14776562018012
875099	4.7476530211456	4.92418400073014	4.5666959030166	5.07705531651197	4.41382458723477	4.74765302114561	4.96975778299025	4.52808149698178
886403	3.34038232206595	3.54277689151846	3.12317338712592	3.93400118741222	2.73194909123216	3.34038232206595	3.46606696814502	3.1935627191628
852845	4.95498544017329	5.16315122350151	4.74681965684507	5.29732815784716	4.61264272249941	4.95498544017329	5.23912672509757	4.670844155249
888712	3.4983575042298	3.7265567557488	3.2782312450701	3.9444197218866	3.06036827893231	3.4983575042298	3.6612637420523	3.2150474137852
170547	4.0221138568458	4.11253897185692	3.93168874183468	4.2490228640211	3.7952048496705	4.0221138568458	4.03878896655679	4.00543874713481
191645	3.87640311456308	3.98562080820455	3.76718542092161	4.26535191727597	3.48745431185019	3.87640311456308	3.9382953971081	3.81451083201807
213109	4.36897180410025	4.54804850359338	4.18195389887858	4.87913241940935	3.85086998306261	4.36897180410025	4.46123661540629	4.28652058443782
260856	2.76925923604497	3.60654897783612	1.14516075161583	4.71700217086369	0.0347075585882642	2.76925923604497	3.61292243491778	1.14516075161583
250813	3.29441962472576	3.3115199894455	3.27731926000603	3.35908401050628	3.22975523894525	3.29441962472576	3.3000798663405	3.28875938311102
317699	3.28134718579393	3.40088854013237	3.16180583145549	3.51126853832006	3.0514258332678	3.28134718579393	3.34707277763994	3.21562159394792
834243	4.17587612586709	4.37626387577294	3.97548837596124	4.49936027609823	3.85239197563595	4.17587612586709	4.36428341348366	3.98746883825053
849616	4.08090197036068	5.03911006263635	2.50946961964162	5.38609799250704	2.16248168977093	4.08090197036068	5.08839632648483	2.47388738454971
873708	4.80778054263919	4.89866613694897	4.71689494832942	4.96964036890237	4.64592071637601	4.80778054263919	4.87143919010621	4.74412189517217
