m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	4.44097446973587	4.44097446973587	4.44097446973587	4.44097446973587	4.44097446973587	4.44097446973587	4.44097446973587	4.44097446973587
CRUK0004	3.79940468168848	3.96079516692015	3.59838751744987	4.23510030434551	3.32408238002451	3.79940468168848	3.92985292458626	3.54442486114086
CRUK0005	3.70848253114932	3.80050064536595	3.57775954160002	4.01053798525998	3.36772220170599	3.70848253114932	3.92393888093396	3.47224408656453
CRUK0009	4.4698919752359	4.4698919752359	4.4698919752359	4.4698919752359	4.4698919752359	4.4698919752359	4.4698919752359	4.4698919752359
CRUK0010	4.01799022355969	4.01799022355969	4.01799022355969	4.01799022355969	4.01799022355969	4.01799022355969	4.01799022355969	4.01799022355969
CRUK0012	3.32919537006052	3.32919537006052	3.32919537006052	3.32919537006052	3.32919537006052	3.32919537006052	3.32919537006052	3.32919537006052
CRUK0013	4.87032733011994	5.1313990331908	4.49731751495016	5.40062245926743	4.22809408887352	4.87032733011994	5.07897129107949	4.50240147003809
CRUK0014	3.86225396456956	3.86225396456956	3.86225396456956	3.86225396456956	3.86225396456956	3.86225396456956	3.86225396456956	3.86225396456956
CRUK0017	3.6548458975701	3.78350809287202	3.54892628426651	4.17495609282901	3.15747828430952	3.6548458975701	3.8434807658328	3.53294341341005
CRUK0018	3.93223448634525	4.3180495557352	3.50002188917464	4.73092127226277	3.08715017264707	3.93223448634525	4.28843724858558	3.45849969862195
CRUK0019	3.61483493025754	3.61483493025754	3.61483493025754	3.61483493025754	3.61483493025754	3.61483493025754	3.61483493025754	3.61483493025754
CRUK0020	4.38247136416385	4.48980184853391	4.27514087979378	4.6432175728345	4.12172515549319	4.38247136416385	4.51633031403984	4.24861241428785
CRUK0021	4.92632243883652	5.0649553128204	4.78768956485264	5.19538532288886	4.65725955478417	4.92632243883652	5.17295306494247	4.67969181273056
CRUK0023	4.07392038597932	4.22707927685108	3.92076149510756	4.44490945101992	3.70293132093872	4.07392038597932	4.16354464532299	3.98429612663565
CRUK0024	3.81953339378873	3.8735109029038	3.75484961318027	4.15676033409397	3.47160018199009	3.81953339378873	3.87495795603252	3.76274952269393
