m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
244136	57.954033394525	58.1266346652423	41.5807937447971	40.9446298432607	64.5584921588757	50.9846865598187	53.8911778416262	48.9060939044361
250854	71.5792022919436	67.9501818039406	67.2586249320492	65.3875338923985	72.9992873520565	67.765137005803	72.7475660833283	65.2636564112998
270881	91.1524949671096	85.8425855875404	83.89818854116	79.599889538182	95.007541389524	80.3382893565002	91.1508867913574	68.9969423090044
831868	-9.10942078423409	-8.82568168992742	-9.4559676277127	-7.64549390722035	-10.5132420994969	-8.9967750956058	-8.54046388247214	-9.5521269886663
832461	-3.15636003578393	-3.06440262943231	-3.41937784909192	25.8462232180938	-7.83279318252498	-3.19372122533195	-2.67471558774295	-3.71272686292096
833190	43.2684085122507	45.1551869928487	28.9736403016226	38.7795027425719	41.8733363029167	35.9977248858547	44.7016077617416	22.9982556734221
833625	29.2156654323887	28.8035739529001	25.1295600099988	38.5258198300182	25.2040922255697	26.830289895293	36.0089531333743	21.9167392584864
838180	-5.60017400694543	-5.5362240849614	-6.03247253025215	-2.75537037776324	-8.72948503214057	-5.53811411658881	-4.72559863611006	-6.35062959706756
840550	75.6488354582872	71.6923458617089	74.2479477976104	99.3321213615674	38.6897852158901	72.9901126629338	74.2300798083611	71.7501455175066
840674	32.0111397250974	30.9402630621862	28.7731484032582	65.317630397082	-3.57839327129596	28.3884369475846	36.8278096248635	19.9490642703058
841808	-9.92794192596188	-9.59374766378771	-9.86373633196434	-9.77382615216843	-9.62639431009697	-9.23290497620595	-8.62950403465206	-10.3321299574836
858752	-4.71438700650169	-6.12541105844038	-3.5894577581534	-6.23767143491119	-3.29998806817446	-4.8690241275522	-2.98008445225294	-6.93721557691424
875099	-7.84539540982685	-7.59894537684939	-8.27903753055382	-5.96717785734724	-9.66378191327021	-7.87999780679279	-7.54425312941887	-8.21525406372576
886403	89.14844862412	84.0849288368264	82.9499486119031	70.7451760566675	100.471279791197	81.2076083130243	82.1535686922988	80.4410764180643
852845	-8.34847107517944	-8.18747355737715	-8.14153906219294	-7.90892230822705	-8.86764512067591	-7.79947679924878	-7.43701546016573	-8.16193813833183
888712	3.71626887786094	4.89491149670971	-2.18644062074948	-4.25881672189219	27.6873547167422	8.0091124687059	29.7915304091547	-3.20289315507613
170547	-4.57561878054283	-4.71621505771992	-4.83253244303973	9.20952459353009	-9.40547971925078	-4.79557327783876	-4.53561082517612	-5.05553573050141
191645	-6.62455045535454	-5.01818498280176	-8.0819506623535	-3.67574951763691	-9.46017220883587	-6.55731074319725	-4.88112467821462	-8.23349680817988
213109	-6.84413488490257	-6.20893445998259	-5.95012640811016	-11.8267771368759	25.1889612419991	-4.92020047183726	-4.50669982247428	-5.33601447725987
260856	68.2177391929807	64.1496276737738	68.7436156774324	-9.27220739997853	142.89695793946	65.6099317626619	69.0350195178302	62.6210915000581
250813	76.7549766626869	74.8128816547437	73.1310194376746	99.4542972434933	40.3633537684544	74.0166930608605	75.9566344367011	72.07675168502
317699	25.8775612713629	26.6919978007342	19.0895080571793	39.6073112331893	13.5651892001009	23.6330157992277	28.0028638068412	19.2631677916142
834243	25.6658287768508	26.0671918054793	17.6665799124664	49.2752245466125	-4.19444177026793	18.2997601690853	19.3219681159037	17.2775522222669
849616	-4.90245898563383	-7.23507239307112	46.7039078494737	-14.4794991211111	132.947771386023	14.1367368010613	59.3435372804465	-9.51505792666699
873708	-6.42354690511766	-5.79100044627389	-7.02360749298175	-4.05702702454054	-8.75134343001032	-6.28180126626177	-5.95301042223084	-6.61059211029269
