m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	19.0225386271059	14.9452168828386	18.4291749379484	59.1243509367829	-8.14835902266901	29.8734853271021	29.8734853271021	29.8734853271021
CRUK0004	112.862551854021	112.077804708313	103.74101027839	74.6667474110038	136.029772660805	110.362407267824	123.505974435712	102.044299243678
CRUK0005	57.3409140566205	54.3743790628591	52.4610593167229	14.5687496629132	91.8611803473767	66.5720151498573	84.1190003994552	35.7694330522769
CRUK0009	-7.2976639419045	-7.37875813077421	-7.28798022028464	3.65442983035295	-12.3086769851964	-5.74687146191941	-5.74687146191941	-5.74687146191941
CRUK0010	64.418077418346	64.0958778525742	63.8184108783222	103.048726122808	17.034820889303	75.1214551329283	75.1214551329283	75.1214551329283
CRUK0012	130.571303738603	130.573584937235	129.707864853003	148.670009736949	97.4142530705554	132.669742686511	132.669742686511	132.669742686511
CRUK0013	28.4148337952615	27.3099266527699	29.0792494121478	-4.53770183431928	67.79886207066	37.1718361677846	47.5801809867205	29.8450924868024
CRUK0014	84.7607954301274	85.3549030741879	83.4660600870878	115.995744305379	38.1024952587681	91.0612636949226	91.0612636949226	91.0612636949226
CRUK0017	39.3682685507108	35.7965616242274	36.3111717129175	-1.27560301782837	72.4725701482658	51.3882787680385	64.7299297004392	42.4920530629756
CRUK0018	83.8220201396102	61.9752137487287	97.8207950252539	-3.23447163154066	149.199816611106	81.8751497276889	117.599010919766	53.6119878698827
CRUK0019	131.055529917948	131.032514386991	130.01815841421	149.066612505656	96.6344711075715	132.787498647891	132.787498647891	132.787498647891
CRUK0020	10.0156017058521	6.80424003637309	12.4910401898314	12.0954846823097	-4.33015906923852	15.1368784240823	16.8937867114909	13.3799701366737
CRUK0021	-5.5631508851692	-5.60459584010706	-5.51528576220965	-5.51234255304499	-5.53243868453889	3.9694841643982	14.9562193404498	-7.01725101165337
CRUK0023	31.0621147704006	29.5219518661978	30.7363921468038	9.13884639720085	44.9305495006241	41.8849736460132	47.117127864822	36.6528194272044
CRUK0024	57.3918316598579	52.3985659199502	55.5936285026169	28.155665622811	83.609901838576	67.3950579106013	81.8634543593656	49.3096754042168
CRUK0025	68.6779428449126	64.6579623167213	68.5959256319213	75.1569741637288	55.0299255007255	75.5107288551996	83.8210334981452	67.200424212254
CRUK0026	103.713644236667	105.024410418437	101.447331525702	134.491669620449	51.5259242390126	110.021250134045	110.021250134045	110.021250134045
CRUK0027	47.9395257906643	43.3350843371609	49.2231160796072	49.2016135123712	40.8465367798115	59.7026317792824	69.8932493560349	49.5120142025299
CRUK0028	113.456859752553	113.55772694389	112.497147648632	137.582978039705	72.2433999357667	117.600926674817	117.600926674817	117.600926674817
CRUK0029	-11.2098686195715	-10.6820648993128	-11.6450976532731	-14.4103283689517	-5.9885626406563	-8.6115465921859	-6.31543607510879	-10.1780488656022
CRUK0030	-2.310576973324	-2.96867334639627	1.42148522730137	6.61026013255518	-4.3088370922155	12.1335166279484	18.9736573414494	5.29337591444749
CRUK0031	-2.82996126010429	-2.92915118297118	-2.87686610278661	30.059919890789	-8.11183294714649	6.09351174330423	6.09351174330423	6.09351174330423
CRUK0032	78.0753879134925	77.2112730759982	78.6427216203342	105.724755023193	43.5813558090715	84.180088389507	84.180088389507	84.180088389507
CRUK0033	110.071314950256	110.340408896346	107.876149922751	128.055337155312	82.6185066027286	116.031810078518	119.011870675475	113.051749481561
CRUK0035	57.1167791050423	61.3651178228469	29.7010762744367	17.6109179066288	87.8929313154336	66.2113183777232	84.0213125084031	27.361677917488
CRUK0036	-8.1621385955553	-7.85091932326482	-7.25578606560512	-12.296162479061	-1.48974383307609	-5.28649421164779	2.73003543984874	-10.0716660618645
CRUK0037	76.2885876025744	79.575575578422	72.8913892596743	28.4557091285644	119.274093229676	84.8185327901957	104.26237633441	72.9530050835818
CRUK0039	-4.40182933076671	-4.69801109580685	-4.35230780445788	-5.32445238450741	-3.89054276151395	-2.92000705952911	-1.79816280008496	-4.82564651663
CRUK0041	-7.86594783184895	-7.05083731209611	-7.31658151011108	-11.1227857290695	-2.40368797439751	-5.37714050084373	-3.66433456008808	-8.13681895577424
CRUK0042	79.6991617328078	79.65281480083	78.114208702017	114.198640136263	28.3307172618531	86.9137830482058	86.9137830482058	86.9137830482058
CRUK0044	-3.18584760759041	-3.1455459424849	-3.09986185594504	48.5482307428814	-8.64513467649206	4.5488794883987	4.5488794883987	4.5488794883987
CRUK0046	103.060098762982	102.702064816246	100.456447601551	97.6181616672772	105.061755268701	109.509104137778	112.463910303923	107.744561536835
CRUK0047	70.4703758075144	70.6058691947856	69.1873701455549	86.4778391931186	50.9544999164152	82.3701291614488	92.9079229151393	71.8323354077583
CRUK0048	92.2774499849691	91.0787998401775	91.7282073488299	123.246978272313	43.4740147605474	99.3387240309865	99.3387240309865	99.3387240309865
CRUK0050	59.965086383375	51.6836077270157	60.560668037074	37.2939080754129	73.4004291028478	71.2042215274076	87.7640594148586	51.7061264269475
CRUK0052	-11.8568002932436	-11.0640915481896	-12.0887113897087	-13.6984659605089	-8.79571206506952	-9.03534599322357	-5.7101535582632	-12.5680973419998
CRUK0053	54.4593539107093	54.2096830277644	52.9843630773442	94.6170237131505	19.1268367525614	65.9982682789813	65.9982682789813	65.9982682789813
CRUK0055	41.5385043437354	40.7492088226727	40.0777517933953	92.1851297610478	-3.61911879897809	55.5424337816536	55.5424337816536	55.5424337816536
CRUK0057	16.6986708202024	12.0904176824828	21.7735225607279	20.9281416779575	13.5033939727474	33.8024117122423	53.3641131492478	14.2407102752368
CRUK0060	59.5432294587349	60.2089445784942	56.3421268374375	109.751088224812	-2.38044524286828	72.182367653331	72.182367653331	72.182367653331
CRUK0061	115.876262697482	116.562284281767	106.489610422425	88.3609559047728	131.678899547366	113.752788284203	121.511182756822	105.994393811584
CRUK0095	-7.36147284047789	-7.33790995405368	-7.40740904609017	-5.86572792342809	-8.86655835486124	-5.49970150549143	-4.68386482133899	-6.31553818964387
CRUK0096	-13.2077116305594	-12.2884941870431	-13.0491816697561	-15.0854712939487	-9.25180554820557	-11.0632719793416	-8.99782236146509	-12.828631705156
CRUK0099	-6.29287276585473	-6.36555714315892	-6.11987415937602	-4.51845326674432	-8.16069557427277	-3.96742975017199	-2.95358963791614	-4.98126986242785
CRUK0094	-9.49856760456986	-9.4216724546559	-9.43971186381756	-10.2732111328238	-8.38683677375339	-7.94920266844575	-7.55974627733498	-8.40999109449117
