NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
170547-T3-T	-5.44028610366955	-3.04936457360742	6.63743119219519	-14.740978367167	-4.21269305288324	1.33409268607782	-18.1065287586702	-3.67099377053385	-19.286566892628	1.38207192495257	-8.7335313214722	-10.6180395077999	0	0	0	0	0	0	0	0	0	0	0	0
170547-T6-T	-5.01004422007783	-2.76959644663555	6.61926895672343	-13.4867889397446	-5.34389422656378	1.39677344909057	-16.1024062260291	-3.34167963617137	-18.8966280845487	1.76357985913402	-8.86499993451712	-11.2483663092451	0	0	0	0	0	0	0	0	0	0	0	0
191645-T5-T	1.1022635736785	1.27597705531682	1.97841582380986	0.405283870255312	1.36613413187201	3.01752575955188	1.04802520427882	1.03592768257664	0.749225005224435	1.95749891433698	1.49573169559777	-4.32309582875991	0	0	0	0	0	0	0	0	0	0	0	0
191645-T6-T	-6.03671309689014	-4.24082528458682	-1.33920757155026	-8.96899380665912	-2.93578149395965	1.23439555981699	0.995610950716393	-5.97345520080852	0.643630935502102	1.14280973588635	0.892214746205391	-7.99117390368663	0	0	0	0	0	0	0	0	0	0	0	0
213109-T2-T	2.23885661282857	2.10615065752349	4.75402279583426	0.579586000660128	2.24024865500632	4.04102215321834	1.20030981310339	2.11586346871829	0.81451990685022	2.62249865840033	0.873655074651482	-2.03219168355819	0	0	0	0	0	0	0	0	0	0	0	0
213109-T3-T	-9.55897815356347	-8.86140022726161	-1.98927510107399	-10.1861776823565	-21.6303822875605	-14.5208074823517	-32.9270025505138	-9.97275552271589	-23.1043594178127	-12.0463066741999	-5.84893694192761	-4.23753996728809	0	0	0	0	0	0	0	0	0	0	0	0
213109-T8-T	3.70635164831542	3.05560928691798	5.69193230141099	1.26408473958671	2.99817927119072	4.64230645144237	1.59172575259307	2.55449276202113	1.14823482541292	3.17094199112292	1.31360856288245	1.16452146759586	0	0	0	0	0	0	0	0	0	0	0	0
244136-T2-T	4.27847606676256	2.7263613448693	12.2879372811656	2.81688889042233	3.13058743992483	3.10975277355676	0.757678984896615	2.94501959634056	-13.6272026903001	1.11211505211453	1.10519185760741	3.44978412415541	0	0	0	0	0	0	0	0	0	0	0	0
244136-T6-T	1.6025791898649	0.71586961680205	5.55331018128295	1.3273755075562	0.7333128205502	-4.01024551153845	-53.3908425167865	-5.35440377686601	-36.9662376047361	-8.20797072002993	0.595497128433646	1.81037697126464	0	0	0	0	0	0	0	0	0	0	0	0
244136-T8-T	3.07494084973801	1.78054007400472	7.13305013314255	1.38613775624637	2.12788689146302	3.27887139950237	-23.2359632100282	1.66389522380424	-21.1008248847242	0.907482838032756	1.32159438560456	1.93973311281878	0	0	0	0	0	0	0	0	0	0	0	0
250813-T1-T	-7.07527651664653	-8.31531820842296	5.89117746230729	-15.4120832599492	-17.7335947610203	-15.9548645905362	-88.8010003064347	-20.3226807044854	-60.9102047377487	-15.2739664878488	-28.5594511412288	0.955184339927903	0	0	0	0	0	0	0	0	0	0	0	0
250813-T3-T	-5.96143785279726	-7.23295804750118	6.35031197727909	-13.8920141849673	-14.9869546212392	-13.5578681022252	-86.0521301019475	-17.9406289803979	-60.7249469870531	-13.3009084907966	-28.2849151644745	1.05634497802394	0	0	0	0	0	0	0	0	0	0	0	0
250854-T1-T	-3.12167074237762	-4.36950200849157	6.80974365937994	-7.33388034046218	-7.46349756252786	-11.9705950883249	-82.8385670194643	-15.5610369788159	-57.8550115867236	-12.1383542071338	-20.4125913035967	2.50169589902842	0	0	0	0	0	0	0	0	0	0	0	0
250854-T2-T	-2.15759305156823	-3.0800762127591	7.69268354616445	-4.28286116281463	-5.86764263402987	-10.4969043837939	-79.1716756272971	-13.3944852688096	-55.9328533835811	-11.9096507860803	-20.6400519458275	2.99953155485882	0	0	0	0	0	0	0	0	0	0	0	0
250854-T3-T	-3.21033985994712	-4.31042781558194	7.26865588684003	-7.85163127931395	-5.68167623687633	-11.2026939460732	-70.5113316113115	-13.8581695457121	-47.0986101179084	-9.71122775624439	-20.9743859985426	1.96064415864197	0	0	0	0	0	0	0	0	0	0	0	0
260856-T1-T	-4.95300325963292	-5.5182630908214	6.17920473499364	-12.7147082549306	-14.0166382611021	-12.9658929903105	-88.4857372666108	-19.1067236858922	-52.713295492035	-13.0907305629619	-21.3707520052365	1.07743450912359	0	0	0	0	0	0	0	0	0	0	0	0
260856-T2-T	-4.73027372660675	-4.39502435032415	7.06799041168326	-14.1313167660886	-9.31760247811079	-6.45261424208402	-66.611173890133	-15.0535046790016	-39.2110139589552	-7.45289190949245	-19.3721788540548	-2.29168861072204	0	0	0	0	0	0	0	0	0	0	0	0
