NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
EGAF00002382144-CRUK0029	1.86509459419125	2.3929888782958	4.88748413982394	-5.933069992394	2.82078034086978	6.12420392538	1.34587442975483	3.10691164737251	1.01485262602562	3.30016222308115	1.28622352394598	-4.19534237371902	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382145-CRUK0029	-3.03780388529501	-2.40544784215928	-0.615848563822175	0.843600745984172	2.11975884757582	2.7022553524174	1.37267425128716	2.46775095686873	0.612344889671332	1.28792512392528	1.62824942842663	0.678738047792545	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382146-CRUK0029	1.26118197472433	0.86865641161772	5.26669984163289	1.26024454918392	2.41071398276601	3.05827642576613	1.25934184197335	2.87255335151051	-18.0558440768303	1.10526684341478	1.40450845368946	1.46095373843231	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382147-CRUK0029	-7.23073886917778	-5.81507414760246	3.83134698950716	-9.0667742224903	0.918625583019275	-3.83744076118778	0.568073169005378	-6.19313803570921	-17.8726125005291	-2.85713026393999	0.789842445924129	-4.63186771810803	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382148-CRUK0029	4.77098851007308	3.95267497578259	12.2915341083354	2.7076630214408	3.69952654959948	5.39330523204264	1.16212525149711	3.2647793056312	0.528893901376955	2.36068446476084	1.75394529389927	2.8447221156527	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382149-CRUK0029	2.46838705854312	2.16992570531849	6.65763867337985	1.7539821135581	2.97205345452752	3.5726085334633	1.17583868525128	2.71966345243042	-18.2311064136323	1.54977613685851	1.61130049001504	1.84443676620859	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382150-CRUK0030	1.53887502938959	1.37546771416913	8.60228840410174	-6.48797335518505	0.689768225395922	1.21958730344635	-21.5461220269547	-6.81259174762685	-26.5284803493304	1.16676236250635	-6.18123289715072	-3.75084842825113	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382151-CRUK0030	1.3785682644214	1.40339373670716	8.1725708841611	-8.28624015307648	0.961366181578642	1.41393265061877	-37.8869643279158	-6.95150734571489	-29.5790634368387	1.18213012217897	-7.48454709225029	-2.49783422354852	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382152-CRUK0031	-2.78176816902017	-4.47702103374755	6.58511632563322	-9.5901099629245	-15.958364638499	-13.2401141500464	-63.0754339569125	-11.1177698365618	-52.9610559392899	-8.09635203240319	-9.8810636868151	0.814662819678787	0	0	0	0	0	0	0	0	0	0	0	0
EGAF00002382153-CRUK0032	-3.32735368543003	-5.82564637994003	4.47461041660419	0.518670053781769	-18.9094530574713	-18.8877143848243	-133.348988616794	-19.4697414645561	-96.1171449272696	-18.8404057653163	-13.2216809752281	1.85341212059045	0	0	0	0	0	0	0	0	0	0	0	0
