NavB	MemB	CD8T	CD4T	Monocyte	oracle	wtgs	paceg
170547-T3-T	1.10839895140786	1.04383121380096	1.00378419687137	4.55671675275893	2.27528326485317	1.25722124014123	0.995204639153662	0.855106796853874
170547-T6-T	1.12992181374046	1.04723683358205	1.01167985310836	4.08794520634365	2.39632740941968	1.18958534357341	0.995129233675327	0.865559073259983
191645-T5-T	1.29557326778986	1.06841685046272	1.60290060323806	0.758170831968533	1.61438499359686	1.09033309806082	0.995154528131462	0.88699157760148
191645-T6-T	1.40064312886384	0.959534512113092	1.6972887748684	2.17722769456071	1.85576586433873	1.17438705455976	0.99466845345119	0.927904997152047
213109-T2-T	1.28153826436238	1.09084619476692	1.52716228248109	0.803773447421731	1.46978283647	1.11468420160806	0.995149196501504	0.781315816628525
213109-T3-T	0.971415274093393	1.01754708764654	1.08771397146809	0.511432520749554	0.426539076995409	0.963141301244811	0.995088557800114	0.733136270609927
213109-T8-T	1.26635747935294	1.04729241295367	1.51075325259643	0.789661637520618	1.20939352356233	1.13110916561397	0.995208832326854	0.760912258653392
244136-T2-T	1.24685631761456	1.1099169989579	1.01194798292115	0.510724913776587	0.905274439743834	0.871165298403845	1.00371486414405	0.972327160594959
244136-T6-T	0.67268159007774	0.676270059817355	0.728040893944838	0.198016553454736	0.598920641146984	0.803207150742489	1.00316875659205	1.17273955206091
244136-T8-T	0.949112070863513	1.07950789304151	0.960771256395409	0.593266825401591	1.02853054651454	0.937901054078931	1.00298592475007	0.909731768354897
250813-T1-T	0.484640230576243	0.433742771454079	0.456290154434559	0.657456011475896	0.259335218099121	0.651041219231439	1.00637852749392	1.1191592597051
250813-T3-T	0.494737772069746	0.478971891432451	0.454181987849263	0.692834078505609	0.308415627066155	0.68477054494438	1.00694773299954	1.12378417367741
250854-T1-T	0.498314172025355	0.458306625982281	0.476073575192205	0.356112185857828	0.311491304355941	0.627980552156336	1.00647691757218	1.14201537894844
250854-T2-T	0.515158322281674	0.489434790005825	0.486301244619979	0.251576665317489	0.335222533817834	0.571229571346816	1.00537977799766	1.44895592675037
250854-T3-T	0.578010951120678	0.521061188859965	0.580889535341156	0.50947224177949	0.343958713914843	0.642321868308792	1.00538278636419	1.12424479732203
260856-T1-T	0.475251807806743	0.380980296072989	0.531588317405893	0.614920076367225	0.321999573556649	0.666626084637806	1.00536659537885	1.02188078669388
260856-T2-T	0.615806953972505	0.477828346087193	0.678626132486941	1.45053220875748	0.678325304532642	0.471772227205299	1.00593250946251	2.4537070821938
260856-T3-T	0.476624981630556	0.379540038819075	0.532440805912849	0.739477785610685	0.338738425073578	0.649185799500148	1.00499266431228	0.998612307078547
270881-T6-T	0.61856956902908	0.474071987459188	0.645537084889547	0.264490228634139	0.553167899494006	0.728985907137141	1.00592692734359	1.07168895264791
270881-T7-T	0.678347859559751	0.332519449670066	0.954202016085837	1.69205984975911	0.937245245730329	0.80232021576949	1.00766858472868	1.01433096270999
270881-T8-T	0.575877617100741	0.480216951828495	0.657494503081866	0.458548684349165	0.708374676934601	0.659962544212466	1.00917993519641	1.12674764817602
317699-T2-T	1.03019640903972	1.12437812616001	1.24381365672227	0.372168210684517	0.942168685514052	0.748697603259	0.998662334754906	1.15412826605974
317699-T4-T	1.21794113664379	0.980359590427092	1.29766083766861	0.713395855487594	1.15376297425801	0.772457774303123	0.999935128241472	1.10016321669137
831868-T4-T	1.39563068288479	1.58641140053799	1.59035942957149	1.84092539972631	1.6278909092598	1.10798498334864	0.994477324724539	0.673391845921645
831868-T6-T	1.34057197719892	1.4789712731806	1.06622970671343	0.332845395840995	0.605331864851462	0.985363196837727	0.994623956857669	0.702974617471223
831868-T8-T	1.2975714987433	1.57651798911969	1.35719587495861	0.383746663317409	0.87488513387673	1.08567914076005	0.994572171003133	0.615513649624959
832461-T4-T	0.754806408614788	0.985843690701781	0.8020107322532	1.86293335381453	1.43737526628447	0.963425786872	0.995474574369975	0.947979318504638
832461-T8-T	0.888161421479031	0.615535895340796	0.902416185019278	1.54761359479076	1.29134423832318	1.13106764837981	0.99532399491046	0.87306016181953
833190-T1-T	0.884309640762761	1.19450063399895	0.970859694580091	1.37088405153607	1.46226722028712	0.956414454908698	1.00237153911275	0.84659644660375
833190-T4-T	0.94979662786984	1.42286407105627	0.942901338576456	0.808727263811227	0.903763480114265	0.82685927437872	0.99920609072856	0.951803803391877
833190-T7-T	0.856208289932833	1.45900425340396	0.882609985486783	1.07973680063241	1.34224445216533	0.852164032694516	1.00172777558293	0.920431891441233
833625-T1-T	0.941031017768151	1.11358802740758	1.00244167994253	1.49752687377385	1.56951432580063	0.880332143676348	0.999143027789108	0.830658480706982
833625-T4-T	0.918585231578469	1.08279008251793	0.900996879577413	0.693470536841755	1.05857421336477	0.904517604239996	0.999048612579275	0.762224799894847
833625-T8-T	1.22008533951019	0.968514783077401	0.91987022459349	0.717259572482671	1.10981572042858	0.917707023177302	1.00110250752753	0.836398209897893
834243-T1-T	0.954605853453647	1.07969155396279	0.861173573491911	0.697814477770356	1.01287193108255	0.995689884004027	0.998373388317634	0.871243882045831
834243-T4-T	0.877218231620258	0.550159224166759	0.977274084817194	1.7209990106185	1.27277618266739	1.17874370918405	0.99867089264278	0.759492903425925
838180-T4-T	0.879593405059785	0.762953624595592	0.77878561075409	1.24269217415339	1.29335373627208	0.991899296501524	0.995177084277868	0.802780038311206
838180-T8-T	0.886640683127782	0.743749013986355	0.759177242057179	1.46343452126228	0.773703970848187	1.21240640548952	0.994941429135354	0.680616218068408
840550-T1-T	0.471560397591704	0.426735356124951	0.486966932466241	0.611727133379858	0.351759067707969	0.589409859803829	1.00669439580643	1.25743787508847
840550-T4-T	0.499221571973795	0.446678436271534	0.515379300708223	0.75493147661659	0.3764103395516	0.593692117412432	1.00633062680637	1.24854660384287
840674-T5-T	1.38309942527977	1.55781031144194	1.68506855614842	2.48830383904588	1.67021918939511	0.855993757955625	1.0012219829566	0.965954676563709
840674-T7-T	1.39853625456881	1.0909702180408	1.70227537090067	2.61222970014176	1.15579856778665	0.923518359023139	0.998762165724555	0.800017647376565
841808-T1-T	1.38078591840541	1.07874840004568	1.73603442475775	1.07385557769608	1.45507124917958	1.08677438913666	0.994611050362269	0.742270842167684
841808-T4-T	1.2874070910082	1.28479517945344	1.50792896820967	0.63390561545658	1.43822029930336	0.902293248706527	0.994595457162321	0.867284740709825
841808-T8-T	1.34230574001972	0.872708437730774	1.31030321092569	0.393094678730917	0.863504082849544	1.01949375605627	0.99436428455596	0.707782965593254
849616-T3-T	1.29217849753394	1.29499533243906	1.04696050319355	0.289280510854519	0.488465319038886	1.30193697247874	0.994482697194482	0.676873085676425
849616-T7-T	1.03906390312416	2.42283392684609	0.831007952051227	0.147658498889254	0.302723262425654	1.48328036626282	0.994786634950291	0.583393325872889
849616-T8-T	0.619552435685091	0.806751594129281	0.51798483677427	0.16713450190354	0.514303013741936	0.643801664043884	1.00451273707478	1.51218252670746
852845-T4-T	1.290122041452	1.22311341730279	1.03156852645149	0.262851987817717	0.421445748349472	1.24482354724546	0.994678826566545	0.67923896716983
852845-T8-T	0.952087857363597	1.08655465603264	0.784845659615028	0.235280718889584	0.231932232560341	1.49622742363444	0.994783917158978	0.552222789120557
858752-T1-T	1.01845318523389	1.1463047434445	1.06157316104688	0.312314889844338	0.831314014336297	0.925471526452347	0.995182280283198	0.977215827423495
858752-T4-T	1.276492693102	1.1435360438434	1.06518040410525	0.325403354811398	0.622958362244022	1.03805823852108	0.994856378615944	0.757408592625991
858752-T8-T	1.02670659416428	1.00922598478264	0.995678088056158	0.288679084504025	0.610264202871164	0.779795547790984	0.995430273566591	1.18301323928048
873708-T1-T	0.972880080952206	0.822964023562333	0.955672480246727	0.825590823725497	0.722114637807171	0.994735919651559	0.994903735644949	0.661346843821622
873708-T4-T	1.00858587413347	1.13042475446312	0.96467593916335	0.703485254844969	1.13547951661405	1.00156514471452	0.994999085035588	0.631373504418303
875099-T1-T	1.03426059221299	0.976323018323458	1.03322732894165	0.537944506824665	0.524381470117419	1.35326494938405	0.994768370428575	0.609159917706193
875099-T4-T	1.16507217615026	1.78144044004618	0.992848937188213	0.42809337120276	0.884428083051995	1.21471670633039	0.994719626769336	0.661106472162898
875099-T8-T	1.3643182619686	1.57923318558953	1.03965453235338	0.464239770997502	0.895117045520487	1.16830514401136	0.994671097901651	0.715499186056854
886403-T1-T	0.873077423647348	1.05731997832636	0.96417520926334	0.301982410557882	0.923645202068552	0.844145778794604	1.00785753372847	1.0943893265026
886403-T4-T	0.938201268819255	0.710157205180603	1.18846812383182	0.610338147027674	1.26865199511443	0.955343329633766	1.00769224909252	1.05349138978757
886403-T8-T	0.628221667609921	0.569031658157811	0.630263607042716	0.179964289534561	0.434786174557598	0.791258630321659	1.00760603261376	1.16344008574833
888712-T1-T	0.909197819665069	0.86501515467228	0.885256189141226	0.968756587988554	1.17387735660037	0.971263613868326	0.99549102844339	0.981180281769655
888712-T4-T	0.849443704376558	0.938747846497594	0.800337058523857	0.539760617647482	0.873528521255933	0.805434099261734	1.00019581811944	1.15436970019142
888712-T8-T	1.02807144499439	0.952348755346634	0.988952569492908	0.571078618157606	0.921851323339274	0.850759987941766	0.995397951264621	0.996490437145564
