m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	3.2729912500725	3.59959954563225	2.89121357485725	3.82228057480985	2.66853254567965	3.2729912500725	3.56454778014086	2.9059982598047
CRUK0117	0.680995190398522	0.814637104648164	0.54735327614888	0.900234309052886	0.461756071744158	0.680995190398522	0.845762032089091	0.516228348707953
CRUK0128	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403
CRUK0134	3.29655312865572	3.56985886091769	2.9627335908477	3.76854532328472	2.76404712848068	3.29655312865572	3.66352736930388	2.99818163535605
CRUK0146	3.75809125453844	4.04678820569436	3.46832747612132	4.13452854109	3.38058714072568	3.75809125453844	4.0059440819549	3.57038547700034
CRUK0196	3.80710765728719	3.90315948411237	3.71105583046201	4.02667122500273	3.58754408957165	3.80710765728719	4.01633822308016	3.59787709149422
CRUK0124	2.4914484934059	2.58260039686216	2.40029658994963	2.62021791989522	2.36267906691657	2.4914484934059	2.57556078739776	2.40733619941404
CRUK0199	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782
CRUK0182	1.71241265430229	1.72929243764349	1.6955328709611	2.03846656097351	1.38635874763108	1.71241265430229	1.77810670124146	1.64671860736313
CRUK0183	3.28950111101583	3.28950111101583	3.28950111101583	3.28950111101583	3.28950111101583	3.28950111101583	3.28950111101583	3.28950111101583
CRUK0129	2.80457985839751	3.19317923276271	2.4307714816527	3.34484256632386	2.27910814809156	2.80457985839751	3.10818512459049	2.45482234529186
CRUK0157	2.93579047138534	3.49445298524057	2.50624573898831	3.62257831218176	2.37812041204712	2.93579047138534	3.49477710698611	2.51403347315488
CRUK0118	2.8286934587697	3.06215930521497	2.59522761232442	3.10300907614804	2.55437784139135	2.8286934587697	3.0922403117106	2.5651466058288
CRUK0142	2.39671925991119	2.55468766194262	2.23875085787976	2.59961167010504	2.19382684971733	2.39671925991119	2.51288950862107	2.2805490112013
CRUK0115	3.79413110247067	3.86055481626403	3.7277073886773	3.91550299876543	3.6727592061759	3.79413110247067	3.80392520243167	3.78433700250966
CRUK0178	2.29638255451348	2.83396993059944	1.7417188735208	3.03826217876522	1.53742662535501	2.29638255451348	2.80593560085338	1.9214887125175
CRUK0259	2.93415794203999	3.2536197604861	2.61469612359389	3.31358418160058	2.55473170247941	2.93415794203999	3.04558637691238	2.82272950716761
CRUK0270	3.29497653610703	4.02092904437838	2.59065741384756	4.1815718048127	2.43001465341324	3.29497653610703	3.63990220614633	2.78356382477266
CRUK0235	1.05262840358808	1.3911139637027	0.72242662495423	1.50339463732464	0.610145951332289	1.05262840358808	1.24350228711156	0.699764425029984
CRUK0296	3.00695386991313	3.12287307344091	2.89103466638535	3.13893382818772	2.87497391163853	3.00695386991313	3.00894053753483	3.00496720229142
CRUK0253	1.50635353820962	2.1381436977566	0.941973875710846	2.39870225088469	0.681415322582754	1.50635353820962	1.96963762102693	0.959801406955354
CRUK0290	3.07768786159102	3.51659387921898	2.63878184396306	3.64165634575341	2.51371937742863	3.07768786159102	3.51711685775847	2.63825886542357
CRUK0285	1.5503820277013	1.5503820277013	1.5503820277013	1.5503820277013	1.5503820277013	1.5503820277013	1.5503820277013	1.5503820277013
CRUK0272	2.52402971618641	2.82323319464422	2.11769997892649	3.01178411075795	1.92914906281275	2.52402971618641	2.86184772066713	2.19532938150979
CRUK0279	1.49816593864234	1.49816593864234	1.49816593864234	1.49816593864234	1.49816593864234	1.49816593864234	1.49816593864234	1.49816593864234
CRUK0223	3.51566752978781	4.80829162140895	2.46513515524109	5.40108052211021	1.87234625453982	3.51566752978781	4.19427131929988	3.15702731831297
CRUK0293	3.30663286593429	3.86957159528588	2.7436941365827	3.92726817755076	2.68599755431782	3.30663286593429	3.91290745277305	2.70035827909553
CRUK0232	3.22026365151816	3.33196659335374	3.10856070968258	3.40630238166093	3.03422492137539	3.22026365151816	3.33261079681664	3.10791650621968
CRUK0287	2.77193130372734	2.8449582733126	2.69890433414208	2.85354961210436	2.69031299535033	2.77193130372734	2.77766961494044	2.76619299251425
CRUK0271	4.10991283032077	4.66514640072677	3.53529438437889	4.78302451170303	3.41741627340264	4.10991283032077	4.58325757393284	3.54824237828121
CRUK0273	2.8037910808015	3.15686927538832	2.45071288621467	3.18924757111884	2.41833459048415	2.8037910808015	2.82330773521196	2.78427442639103
CRUK0276	3.05271516353068	3.48670604960864	2.66359205022387	3.6346305847827	2.51566751504981	3.05271516353068	3.15739835451983	2.87060917584056
CRUK0242	3.241166985937	3.78382724392762	2.79993943074176	3.90890306819514	2.67486360647423	3.241166985937	3.71715173441701	2.92710725435883
CRUK0245	3.23818119933712	3.32199187315167	3.15437052552257	3.34810212791436	3.12826027075988	3.23818119933712	3.27067046003955	3.20569193863468
CRUK0201	2.24018841500347	2.24018841500347	2.24018841500347	2.24018841500347	2.24018841500347	2.24018841500347	2.24018841500347	2.24018841500347
CRUK0206	3.19232853390538	3.6129433259927	2.84316765141388	3.74794927868184	2.70816169872474	3.19232853390538	3.31346941531978	2.94589882675938
CRUK0241	3.44182860889761	4.04402254861729	2.86975876347985	4.19010144906895	2.72367986302818	3.44182860889761	3.99933057274438	3.08946143481817
CRUK0297	0.823820865825991	0.823820865825991	0.823820865825991	0.823820865825991	0.823820865825991	0.823820865825991	0.823820865825991	0.823820865825991
CRUK0284	2.49501387660739	3.08736488646281	1.67503195098569	3.33229080086886	1.43010603657964	2.49501387660739	2.94298426020487	1.80214858845147
CRUK0233	1.79499814796692	1.93113327366636	1.65886302226749	1.99968285921012	1.59031343672372	1.79499814796692	1.83678883401618	1.75320746191767
CRUK0280	2.66148348639112	3.07213158883762	2.26152755210425	3.20344846408719	2.13021067685468	2.66148348639112	2.98547329698941	2.29819599530546
CRUK0247	1.46821835662435	1.53496775715476	1.40146895609395	1.61883653204713	1.31760018120157	1.46821835662435	1.47634188995462	1.46009482329409
CRUK0213	2.68952130728765	2.68952130728765	2.68952130728765	2.68952130728765	2.68952130728765	2.68952130728765	2.68952130728765	2.68952130728765
CRUK0286	2.31766030350556	2.56042293389596	2.00735083202664	2.68411933314553	1.88365443277707	2.31766030350556	2.61258620351452	1.92865444036219
CRUK0256	3.02473080365009	3.02473080365009	3.02473080365009	3.02473080365009	3.02473080365009	3.02473080365009	3.02473080365009	3.02473080365009
CRUK0274	1.94907101553578	2.64151723455445	1.4321582823301	2.93127028761915	1.1424052292654	1.94907101553578	2.59006583567736	1.49146328929075
CRUK0244	3.33951389303219	3.33951389303219	3.33951389303219	3.33951389303219	3.33951389303219	3.33951389303219	3.33951389303219	3.33951389303219
CRUK0212	2.59332528701632	2.59332528701632	2.59332528701632	2.59332528701632	2.59332528701632	2.59332528701632	2.59332528701632	2.59332528701632
CRUK0299	2.96419893425368	3.17987535221707	2.74852251629028	3.4136657631887	2.51473210531866	2.96419893425368	3.12623414756969	2.80216372093767
CRUK0240	3.43278922965928	3.62338758019552	3.24219087912304	3.80053108886566	3.0650473704529	3.43278922965928	3.44128929789522	3.42428916142334
CRUK0392	2.45330575663533	2.95550878935521	2.01631737463652	3.14800007804077	1.82382608595096	2.45330575663533	2.95550878935521	1.98490594328979
CRUK0381	2.8821815739096	3.66588773820354	2.01474043718011	3.89057930359682	1.79004887178682	2.8821815739096	3.64196831230056	2.01024428260813
CRUK0372	0.9613937661778	0.9613937661778	0.9613937661778	0.9613937661778	0.9613937661778	0.9613937661778	0.9613937661778	0.9613937661778
CRUK0361	2.73930962710418	4.1977654371453	1.66449352817321	4.48479910251678	1.37745986280174	2.73930962710418	4.16896127737401	1.64047752938641
CRUK0380	3.1260654351868	3.6005821044602	2.68258337221259	3.75112522954635	2.53204024712644	3.1260654351868	3.53798040222563	2.80119818243338
CRUK0329	2.51947721316232	2.73631934034686	2.30263508597777	2.97453270370955	2.06442172261508	2.51947721316232	2.65066958068816	2.38828484563648
CRUK0315	3.49809654821411	3.60607730957875	3.39011578684948	3.63489026635366	3.36130283007457	3.49809654821411	3.59576392508626	3.40042917134197
CRUK0352	3.87191878999302	4.25911436419225	3.48472321579379	4.58595344433647	3.15788413564958	3.87191878999302	3.95024762180762	3.79358995817843
CRUK0310	2.73458607125351	2.90725669786682	2.56191544464021	2.97471922684459	2.49445291566244	2.73458607125351	2.77915440841963	2.6900177340874
CRUK0371	3.04014032880334	3.10944681804965	2.97083383955704	3.1892017967832	2.89107886082349	3.04014032880334	3.07878661369203	3.00149404391466
CRUK0331	3.49455887857578	4.1228355477802	2.82719839911732	4.40294109363844	2.54709285325908	3.49455887857578	4.11771722883377	2.92357848879736
CRUK0344	3.33147681175602	3.66237522367085	3.00057839984119	3.7047002896175	2.95825333389454	3.33147681175602	3.65003139974969	3.01292222376234
CRUK0313	1.02597801772537	1.02597801772537	1.02597801772537	1.02597801772537	1.02597801772537	1.02597801772537	1.02597801772537	1.02597801772537
CRUK0369	3.10658034239623	4.35086201317039	1.58783328600338	4.76784444080043	1.17085085837334	3.10658034239623	4.06797319963153	1.48901870801057
CRUK0312	4.15720049691004	4.41868730927724	3.89571368454283	4.46500759161623	3.84939340220384	4.15720049691004	4.41672711667243	3.89767387714765
CRUK0328	3.52826008216005	3.52826008216005	3.52826008216005	3.52826008216005	3.52826008216005	3.52826008216005	3.52826008216005	3.52826008216005
CRUK0375	0.613454533361864	0.97209116363588	0.254817903087849	1.14983068775543	0.0770783789682949	0.613454533361865	0.97209116363588	0.254817903087849
CRUK0388	2.36633273831353	3.09657292306529	1.73733249969468	3.26009412423805	1.57381129852192	2.36633273831353	3.12681695261116	1.91885833778445
CRUK0308	2.41070627786523	2.90360403043716	1.9178085252933	2.96501004258939	1.85640251314107	2.41070627786523	2.95612601931031	1.86528653642015
CRUK0370	1.77914185332709	1.88077448073097	1.67750922592322	1.91999846764879	1.63828523900539	1.77914185332709	1.85024113393279	1.7080425727214
CRUK0386	2.34594888591328	2.34594888591328	2.34594888591328	2.34594888591328	2.34594888591328	2.34594888591328	2.34594888591328	2.34594888591328
CRUK0322	2.12512954550464	2.85069322220814	1.20782548061863	2.99941551955433	1.05910318327244	2.12512954550464	2.86076286680849	1.18945458876287
CRUK0316	2.69670006092256	2.87518215981999	2.50154926665961	2.93944111092344	2.43729031555616	2.69670006092256	2.87077553304254	2.59576675511662
CRUK0301	1.812186106876	1.812186106876	1.812186106876	1.812186106876	1.812186106876	1.812186106876	1.812186106876	1.812186106876
CRUK0333	1.86352011671227	2.28592806401202	1.42796915979052	2.48388664091567	1.23001058288686	1.86352011671227	2.24892004293157	1.44387727937173
CRUK0379	2.57422430146036	3.54174537628815	1.51495991219431	3.81866413100354	1.23804115747893	2.57422430146036	3.52261422551449	1.51495991219431
CRUK0377	1.94461880187767	1.94461880187767	1.94461880187767	1.94461880187767	1.94461880187767	1.94461880187767	1.94461880187767	1.94461880187767
CRUK0394	3.65399088674422	3.90696390383448	3.44019312142683	4.0460786229364	3.30107840232492	3.65399088674421	3.89620102286629	3.47140492594183
CRUK0393	2.95333815146463	3.49032024599748	2.38996653580609	3.58178493018036	2.29850185162321	2.95333815146464	3.42589652956211	2.39162245528739
CRUK0368	1.85439935736871	2.29117364968758	1.41762506504983	2.353330442092	1.35546827264541	1.85439935736871	2.2681672373929	1.44063147734452
CRUK0319	0.944582522943687	0.944582522943687	0.944582522943687	0.944582522943687	0.944582522943687	0.944582522943687	0.944582522943687	0.944582522943687
CRUK0318	2.50765795342368	2.50765795342368	2.50765795342368	2.50765795342368	2.50765795342368	2.50765795342368	2.50765795342368	2.50765795342368
CRUK0396	2.68296885957324	3.03900273780217	2.32693498134431	3.06451311774763	2.30142460139885	2.68296885957324	2.74398265758866	2.62195506155782
CRUK0303	2.18211521145892	2.64518120414448	1.71904921877336	2.6895134558153	1.67471696710254	2.18211521145892	2.64853579047954	1.7156946324383
CRUK0350	3.29987621669047	3.36718920996206	3.23256322341888	3.44731586879213	3.15243656458881	3.29987621669047	3.31240022149975	3.2873522118812
CRUK0334	2.77125999880731	2.77125999880731	2.77125999880731	2.77125999880731	2.77125999880731	2.77125999880731	2.77125999880731	2.77125999880731
CRUK0384	3.32769173771306	3.52457844461244	3.13080503081369	3.62420289289611	3.03118058253001	3.32769173771306	3.52099305596991	3.13439041945622
