m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	3.10821949796312	3.12248176542677	3.09395723049948	3.5104025868617	2.70603640906455	3.10821949796313	3.21384184129821	3.00259715462804
CRUK0045	1.25136346841727	1.55683193515799	0.945895001676543	2.01037892888192	0.492348007952606	1.25136346841726	1.55683193515799	0.945895001676543
CRUK0005	3.10992579320684	3.25876095231402	2.8831201851027	3.53420185379506	2.60767928362167	3.10992579320684	3.29557493833925	2.79078276941101
CRUK0028	3.16235591509115	3.2217306615683	3.10298116861399	3.40678249993659	2.9179293302457	3.16235591509115	3.17356009438287	3.15115173579943
CRUK0117	1.57441875894191	1.54634871033295	1.60248880755088	1.84612875748932	1.3027087603945	1.57441875894191	1.59006319792654	1.55877431995729
CRUK0024	3.28112834382324	3.47903662229232	2.98922216212689	3.83622348831575	2.63203529610346	3.28112834382324	3.48729432690363	2.92666246767842
CRUK0128	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405
CRUK0051	2.39428053522276	2.76106253297752	1.71788204026809	3.14712297067746	1.33182160256815	2.39428053522276	2.76263089669465	1.7444940674735
CRUK0042	3.56654704113582	3.71598976278224	3.41710431948941	3.82040868863824	3.3126853936334	3.56654704113582	3.73854234669651	3.39455173557514
CRUK0004	3.38588249170647	3.7833549312184	2.85438813263298	4.17732475267138	2.46041831118001	3.38588249170647	3.71239678666555	2.84823988003307
CRUK0057	3.71200269378842	4.13264012984789	3.29136525772895	4.30601609945021	3.11798928812663	3.71200269378842	4.13350216711462	3.29050322046222
CRUK0003	2.91694372218427	3.12663921983852	2.69607428786471	3.53447031654679	2.28824319115644	2.91694372218427	3.07100676852225	2.6430807496708
CRUK0026	3.10263735172944	3.14758271150071	3.05769199195818	3.23256278425057	2.97271191920832	3.10263735172944	3.10469894996471	3.10057575349418
CRUK0039	3.69310075617215	3.83357596892788	3.55262554341642	4.12280933703455	3.26339217530975	3.69310075617215	3.83357596892788	3.55262554341642
CRUK0016	3.32818535680723	3.37496997728065	3.28140073633381	3.55720049717799	3.09917021643646	3.32818535680723	3.34662613925628	3.30974457435818
CRUK0018	3.71385518981122	4.08612485657553	3.48335607555461	4.41215187830351	3.15732905382663	3.71385518981122	4.03819057586248	3.49902785423395
CRUK0053	3.46121393671585	4.04987230763946	2.87255556579224	4.40470792942226	2.51771994400944	3.46121393671585	4.06007296933637	2.86235490409533
CRUK0017	3.31672590737993	3.55378088070475	3.00230784750042	4.27083193838979	2.28525678981538	3.31672590737993	3.54111336266922	3.00717877464302
CRUK0021	4.47545401717121	4.59683214940834	4.35407588493408	4.72306167092845	4.22784636341397	4.47545401717121	4.70115427965462	4.2497537546878
CRUK0060	3.44331634787166	3.50821370310587	3.37841899263744	3.64402962527442	3.2426030704689	3.44331634787166	3.4701037768661	3.41652891887722
CRUK0032	2.44507244074412	2.70923265602557	2.18156720406201	3.169829980837	1.72096987925058	2.44507244074412	2.66193558512137	2.252474034742
CRUK0055	2.91088600007592	3.5374250612861	1.87296945472115	4.65709453588353	0.753299980123723	2.91088600007592	3.53745044276921	1.87296945472115
CRUK0020	3.8808908027995	4.04002986924487	3.72175173635412	4.19895662383538	3.56282498176361	3.8808908027995	4.05489266827034	3.70688893732865
CRUK0027	3.6021693274319	3.79661698053776	3.40772167432604	3.90195458716208	3.30238406770171	3.6021693274319	3.81190394281086	3.39243471205293
CRUK0124	3.41534904779232	3.53229340579635	3.29840468978829	3.64958058382851	3.18111751175613	3.41534904779232	3.53229340579635	3.29840468978829
CRUK0008	3.57734087141084	3.8239204145068	3.33076132831487	4.07461235135558	3.08006939146609	3.57734087141084	3.8239204145068	3.33076132831487
CRUK0199	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044
CRUK0182	2.36284725827239	2.45868963481936	2.26700488172541	2.70734675363937	2.0183477629054	2.36284725827239	2.47142738219726	2.25426713434751
CRUK0029	4.39820669956931	4.72503868571452	3.80678063713071	5.12431370141321	3.40750562143202	4.39820669956931	4.76764262831039	3.63289063968214
CRUK0061	4.22791239853894	4.22791239853894	4.22791239853894	4.22791239853894	4.22791239853894	4.22791239853894	4.22791239853894	4.22791239853894
CRUK0023	3.53843976302315	3.72842121097908	3.34845831506723	3.98376484417699	3.09311468186932	3.53843976302315	3.70389999888924	3.37297952715707
CRUK0035	3.3878808276217	3.46442872000681	3.32873673880919	3.58380233179631	3.20936312701969	3.3878808276217	3.55947609304368	3.26602459151141
CRUK0044	3.07674320827343	3.29951354604262	2.85397287050425	3.4589144043994	2.69457201214747	3.07674320827344	3.44114285005005	2.71234356649682
CRUK0050	3.975077560705	4.13823745764275	3.80134492757298	4.32290753754381	3.61667484767193	3.97507756070499	4.12346966899074	3.82954748901034
CRUK0030	3.56487304369825	4.10945984524978	3.05896898459048	4.42992152351703	2.73850730632323	3.56487304369825	4.1335364484825	2.9985940532575
CRUK0157	3.51729631328372	3.98299488088303	3.12604799082899	4.41611996137934	2.69292291033268	3.51729631328372	3.98229655155112	3.11318989321432
CRUK0052	4.00863525694662	4.3570549142478	3.86545237986791	4.67728184125746	3.54522545285825	4.00863525694662	4.44513178213831	3.68560019676566
CRUK0010	3.50945987062081	3.50945987062081	3.50945987062081	3.50945987062081	3.50945987062081	3.50945987062081	3.50945987062081	3.50945987062081
CRUK0046	3.83969152557334	3.97158767666995	3.58438824217735	4.27079831328763	3.28517760555966	3.83969152557334	3.97366990265843	3.58438824217735
CRUK0142	3.57623463610652	3.71088898164074	3.4415802905723	3.89862542724295	3.2538438449701	3.57623463610652	3.65548218585959	3.49698708635346
CRUK0115	3.93117613988552	3.92134821134072	3.94100406843032	4.04908268934718	3.81326959042387	3.93117613988552	3.97112996563121	3.89122231413984
CRUK0041	4.0732722757603	4.57319252793194	3.40612038980756	5.05846525591493	2.92084766182457	4.0732722757603	4.54685770315989	3.38373384103516
CRUK0036	3.80677413577845	4.23214537512996	3.38055539656009	4.51447317880806	3.09822759288199	3.80677413577845	4.24229782335808	3.4315566582956
CRUK0012	2.94219393712787	2.94219393712787	2.94219393712787	2.94219393712787	2.94219393712787	2.94219393712787	2.94219393712787	2.94219393712787
CRUK0001	2.66482262564059	2.95856528727735	2.37107996400384	3.03323919978158	2.2964060514996	2.66482262564059	2.9852745425005	2.34437070878068
CRUK0047	3.61611089763984	3.65287164419175	3.57935015108793	3.7236912220151	3.50853057326458	3.61611089763984	3.65773496268281	3.57448683259687
CRUK0033	3.481498086941	3.55576954111443	3.40722663276758	3.66643253734973	3.29656363653228	3.481498086941	3.55489698109242	3.40809919278958
CRUK0009	3.43361742431992	3.85150425782365	3.01573059081618	4.15126976291561	2.71596508572422	3.43361742431992	3.85866980082686	3.00856504781298
CRUK0178	4.07049671040311	4.44930148166956	3.79408185779847	5.03997565600769	3.20340768346034	4.07049671040311	4.52817654054554	3.79059002539016
