m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	-3.50149245709942	2.79112090812317	-3.87665134228255	-6.23219480881349	6.96521935216986	-1.52959090284069	1.08492177989923	-3.15336937835244
CRUK0117	31.8249565240824	32.7725865457226	28.3757225997612	32.4420023437668	29.263611365034	31.3843820968655	33.2171950216841	29.5515691720469
CRUK0128	35.6945286400694	36.0351783249628	33.8994851817481	53.5504415782503	1.00896687494762	36.1039603910522	36.1039603910522	36.1039603910522
CRUK0134	-11.9890054006815	-10.8476011066153	-12.2467447691566	-14.4182412520239	-8.00844860359944	-10.7570758663572	-8.02959544691971	-11.9739846483558
CRUK0146	-12.6385085059822	-13.1896617329111	-12.0708028613458	-10.5726645151602	-14.9907498309619	-11.1895562805759	-10.2871613079683	-12.0985977169687
CRUK0196	-14.1617989321302	-13.9394163788403	-14.6657845524323	-9.09566820367405	-19.2990162496007	-13.4957489554776	-13.2066915391888	-13.7848063717664
CRUK0124	52.214920650892	52.5215297787173	50.3059103497474	60.5457745902849	38.0248974817118	52.4243722748442	52.7656494102694	52.083095139419
CRUK0199	41.0979736957682	41.5657152603145	39.2835599010338	57.6332676284907	14.0381848972281	41.4301258472492	41.4301258472492	41.4301258472492
CRUK0182	24.0315255301753	23.0591597961002	23.8608547044307	29.6469872815405	16.4379808131733	24.5578783219719	25.9248009356939	23.1909557082499
CRUK0183	-12.9555194161024	-13.3280604376431	-12.9575083000039	0.369097438561593	-21.5187777558969	-12.3731621074569	-12.3731621074569	-12.3731621074569
CRUK0129	-4.62805586018492	-4.04596909202709	-5.12932718299674	-8.6452429377448	6.8274193746903	-4.12148127727226	-3.50878820158737	-4.69588622178007
CRUK0157	-8.08195039038603	-10.1374390431213	-6.11759141820756	-11.6226198608122	-4.87637246707082	-6.86929182067735	-5.06756886687031	-9.50279035082904
CRUK0118	-4.29421145481153	-5.08606602710017	-3.5856957348704	16.5240162857925	-11.0615580088215	2.67959769300884	10.7200559811109	-5.36086059509325
CRUK0142	19.6432570223676	19.308454613469	17.8568475606189	28.5096223135516	8.30077952257424	20.8531764219713	23.4704109069333	18.2359419370094
CRUK0115	15.6351782878259	17.515812513719	12.6349901432176	38.8756111985545	-6.47784852154307	16.6040244633974	16.9443632434688	16.2636856833261
