m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	2.98775254269508	3.21585609107088	2.75964899431929	3.25816006250814	2.71734502288203	2.98775254269508	3.11106338798095	2.86444169740922
CRUK0045	0.879345540674413	1.2660149188528	0.492676162496028	1.41825902772175	0.340432053627073	0.879345540674413	1.2660149188528	0.492676162496028
CRUK0005	2.19365958800224	2.45140638726265	1.95367866319332	2.61377644632726	1.79130860412872	2.19365958800224	2.45059816742867	1.8970701835907
CRUK0028	2.1342571163164	2.26289262477125	2.00562160786155	2.26980431431014	1.99870991832266	2.1342571163164	2.15659146177212	2.11192277086067
CRUK0117	0.680995190398522	0.814637104648164	0.54735327614888	0.900234309052886	0.461756071744158	0.680995190398522	0.845762032089091	0.516228348707953
CRUK0024	2.84400678351862	3.42499043548855	2.12002306802798	3.5856205969347	1.95939290658183	2.84400678351862	3.38181525452967	2.05317160396011
CRUK0128	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403	2.35963516696403
CRUK0051	1.46651820177548	1.69873801982268	1.18228478451732	1.94809015508287	0.932932649257123	1.46651820177548	1.63342554886359	1.1582022861753
CRUK0042	3.10955455629228	3.37541538008813	2.84369373249643	3.39218115430367	2.82692795828089	3.10955455629228	3.37337528340781	2.84573382917674
CRUK0004	2.59250809776939	3.0391147746672	1.97968845593171	3.27938099159459	1.73942223900432	2.59250809776939	2.97777500032931	1.9462405433517
CRUK0057	2.58702966598246	2.82406738051484	2.34999195145009	2.99980434326732	2.17425498869761	2.58702966598246	2.81462399814065	2.35943533382428
CRUK0003	1.91951420787372	2.20447373858406	1.56681148830097	2.43895249253548	1.33233273434955	1.91951420787372	2.17389449652405	1.64102549395368
CRUK0026	2.2695373568769	2.31084855640718	2.22822615734661	2.38879585436901	2.15027885938478	2.2695373568769	2.32927489283849	2.20979982091531
CRUK0039	3.16558134533415	3.35794778101599	2.97321490965232	3.46535685774168	2.86580583292663	3.16558134533415	3.33167784498117	2.99948484568714
CRUK0016	2.21885653453792	2.35726317367448	2.08044989540136	2.39114745138336	2.04656561769248	2.21885653453792	2.33717896328141	2.10053410579443
CRUK0018	3.11012308414112	3.54936437865539	2.72827911356721	3.66385408600633	2.61378940621627	3.11012308414112	3.30079877015608	2.99686672781371
CRUK0053	2.67438625254479	3.13442330728899	2.21434919780058	3.30577636758697	2.04299613750261	2.67438625254479	3.11525329911297	2.2335192059766
CRUK0017	3.11814296309018	3.6604469894845	2.62352374659101	3.81413048139098	2.46984025468453	3.11814296309018	3.49709448129929	2.64075274544336
CRUK0021	4.13667548914052	4.31016983163416	3.96318114664689	4.33175326862909	3.94159770965195	4.13667548914052	4.30896406657849	3.96438691170256
CRUK0060	2.51438707468303	2.60801933701447	2.42075481235159	2.64006550965707	2.38870863970899	2.51438707468303	2.57641846788871	2.45235568147735
CRUK0032	2.16869505047223	2.56510063201151	1.71206568867914	2.68457917024565	1.592587150445	2.16869505047223	2.50711931250113	1.85280190208349
CRUK0055	1.79338179749834	2.68310096928481	0.667664440228873	3.05563797825006	0.295127431263622	1.79338179749834	2.71558582268431	0.667664440228873
CRUK0020	2.40992324783712	2.59584131410842	2.22400518156583	2.68325381786776	2.13659267780648	2.40992324783712	2.5928681015597	2.22697839411454
CRUK0027	2.61299570637432	2.816150541356	2.40984087139264	2.85271446658483	2.37327694616381	2.61299570637432	2.72118017692677	2.50481123582187
CRUK0124	2.4914484934059	2.58260039686216	2.40029658994963	2.62021791989522	2.36267906691657	2.4914484934059	2.57556078739776	2.40733619941404
CRUK0008	2.64567357953307	2.8934384648904	2.39790869417574	2.99146821880891	2.29987894025724	2.64567357953307	2.90064385273462	2.39070330633152
CRUK0199	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782	1.36023272239782
CRUK0182	1.71241265430229	1.72929243764349	1.6955328709611	2.03846656097351	1.38635874763108	1.71241265430229	1.77810670124146	1.64671860736313
CRUK0029	3.81094919124923	4.34111962221013	2.85383646355717	4.49775494811264	2.69720113765466	3.81094919124923	4.36363067621293	2.71227827498431
CRUK0061	2.44013964545168	2.44013964545168	2.44013964545168	2.44013964545168	2.44013964545168	2.44013964545168	2.44013964545168	2.44013964545168
CRUK0023	3.28106750325175	3.58239086802145	2.97974413848205	3.59522919822262	2.96690580828087	3.28106750325175	3.5566919667577	3.00544303974579
CRUK0035	2.2816695414892	2.39085547512916	2.17689388415286	2.4706267649164	2.09712259436563	2.2816695414892	2.37607136866804	2.20647876741153
CRUK0044	2.12405069533123	2.52951188702764	1.71858950363483	2.57033300388914	1.67776838677332	2.12405069533123	2.45569033104415	1.79241105961832
CRUK0050	2.80735987922096	3.14455754154747	2.51027510262721	3.31164441404481	2.34318823012987	2.80735987922096	2.9329424854823	2.60174479436552
CRUK0030	2.82845311492657	3.41151286683901	2.14276578112646	3.4925289350679	2.06174971289756	2.82845311492657	3.41201389040692	2.26046790646822
CRUK0157	2.93579047138534	3.49445298524057	2.50624573898831	3.62257831218176	2.37812041204712	2.93579047138534	3.49477710698611	2.51403347315488
CRUK0052	3.01946176191221	3.45420728531219	2.59102437256872	3.57895681696008	2.46627484092082	3.01946176191221	3.46208530795828	2.75647214673718
CRUK0010	2.47259846922189	2.47259846922189	2.47259846922189	2.47259846922189	2.47259846922189	2.47259846922189	2.47259846922189	2.47259846922189
