m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	4.30049979986757	4.49240120458757	4.04797570125302	4.94961368542178	3.59076322041881	4.30049979986757	4.52850989286336	4.0035268047126
CRUK0117	1.57441875894191	1.54634871033295	1.60248880755088	1.84612875748932	1.3027087603945	1.57441875894191	1.59006319792654	1.55877431995729
CRUK0128	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405	2.82435332331405
CRUK0134	4.41066386321725	4.65304367825555	4.01711621064941	5.00355988333576	3.6666000055692	4.41066386321725	4.67337560224182	4.11495843994327
CRUK0146	4.60308360658709	4.75798530450909	4.45126747443876	4.9989916702706	4.21026110867725	4.60308360658709	4.83853608939975	4.35696187231166
CRUK0196	4.49812322132858	4.52240170706394	4.47384473559322	4.57486016734095	4.42138627531621	4.49812322132858	4.52810881700628	4.46813762565087
CRUK0124	3.41534904779232	3.53229340579635	3.29840468978829	3.64958058382851	3.18111751175613	3.41534904779232	3.53229340579635	3.29840468978829
CRUK0199	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044	2.66967595844044
CRUK0182	2.36284725827239	2.45868963481936	2.26700488172541	2.70734675363937	2.0183477629054	2.36284725827239	2.47142738219726	2.25426713434751
CRUK0183	3.96064735771099	3.96064735771099	3.96064735771099	3.96064735771099	3.96064735771099	3.96064735771099	3.96064735771099	3.96064735771099
CRUK0129	3.9797900052578	4.35184809987483	3.59501385932791	4.86595749123034	3.08090446797239	3.9797900052578	4.22021211841783	3.73504924788822
CRUK0157	3.51729631328372	3.98299488088303	3.12604799082899	4.41611996137934	2.69292291033268	3.51729631328372	3.98229655155112	3.11318989321432
CRUK0118	3.9606565518604	4.16222050624653	3.75909259747427	4.25768752318799	3.66362558053281	3.9606565518604	4.21016013778254	3.71115296593827
CRUK0142	3.57623463610652	3.71088898164074	3.4415802905723	3.89862542724295	3.2538438449701	3.57623463610652	3.65548218585959	3.49698708635346
CRUK0115	3.93117613988552	3.92134821134072	3.94100406843032	4.04908268934718	3.81326959042387	3.93117613988552	3.97112996563121	3.89122231413984
CRUK0178	4.07049671040311	4.44930148166956	3.79408185779847	5.03997565600769	3.20340768346034	4.07049671040311	4.52817654054554	3.79059002539016
CRUK0259	3.5485674457408	3.5193053231434	3.57782956833821	3.78094943535613	3.31618545612548	3.5485674457408	3.55751824468895	3.53961664679266
CRUK0270	3.83956606057345	4.26048870346719	3.50775841884063	4.84265171912761	2.92559540318021	3.83956606057345	4.12643381556364	3.50038709201915
CRUK0235	2.24156464923756	2.74286194076123	1.84224807688126	2.92493322695959	1.6601767906829	2.24156464923756	2.63910062337668	1.81126417853051
CRUK0296	4.15714688009074	4.15484306495036	4.15945069523111	4.2323963953863	4.08189736479516	4.15714688009073	4.17589966251714	4.13839409766433
CRUK0253	2.88160544724048	3.38645129410517	2.27382882577871	4.04070173147659	1.61957838840729	2.88160544724048	3.22795478265845	2.27382882577871
CRUK0290	4.25262294259532	4.52657274636057	3.97867313883007	4.99453143581656	3.51071444937408	4.25262294259532	4.52657274636057	3.97867313883007
CRUK0285	2.05774386936863	2.05774386936863	2.05774386936863	2.05774386936863	2.05774386936863	2.05774386936863	2.05774386936863	2.05774386936863
CRUK0272	3.91577959178807	4.44367415762457	3.36181102274628	4.84797258743296	2.95751259293789	3.91577959178807	4.48172605983658	3.34844257594463
CRUK0279	2.16275346983882	2.16275346983882	2.16275346983882	2.16275346983882	2.16275346983882	2.16275346983882	2.16275346983882	2.16275346983882
CRUK0223	4.37888007277666	5.38320263202707	3.68295483161755	6.34960696326334	2.71655050038129	4.37888007277665	5.4182221453006	3.87513482616959
CRUK0293	4.48135093643841	5.01073319596268	3.95196867691414	5.42497999964549	3.53772187323133	4.48135093643841	5.11078685571253	3.85191501716429
CRUK0232	4.33784612725907	4.54987430258985	4.12581795192829	4.77984006857567	3.89585218594248	4.33784612725907	4.54987430258985	4.12581795192829
