m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	4.59475387157846	4.59475387157846	4.59475387157846	4.59475387157846	4.59475387157846	4.59475387157846	4.59475387157846	4.59475387157846
CRUK0004	4.38378493658444	4.86286250011745	3.87208225598312	5.19697279509689	3.53797196100368	4.38378493658444	4.59802980542249	4.13455021071835
CRUK0005	4.04852557940439	4.26621611119067	3.72405032852832	4.89718525882539	3.09308118089359	4.04852557940439	4.24617187547464	3.82892267354963
CRUK0009	4.9898893426098	4.9898893426098	4.9898893426098	4.9898893426098	4.9898893426098	4.9898893426098	4.9898893426098	4.9898893426098
CRUK0010	4.90412490846727	4.90412490846727	4.90412490846727	4.90412490846727	4.90412490846727	4.90412490846727	4.90412490846727	4.90412490846727
CRUK0012	4.47947695265537	4.47947695265537	4.47947695265537	4.47947695265537	4.47947695265537	4.47947695265537	4.47947695265537	4.47947695265537
CRUK0013	4.44609876718703	5.12136469783894	3.92697474937454	5.63635436591369	3.41198508129979	4.44609876718703	4.96162011103956	4.09845856452789
CRUK0014	4.03625799274375	4.03625799274375	4.03625799274375	4.03625799274375	4.03625799274375	4.03625799274375	4.03625799274375	4.03625799274375
CRUK0017	4.13413379235338	4.7228106559482	3.68970790332745	5.22696443145541	3.18555412782025	4.13413379235338	4.73020503816405	3.74963060133323
CRUK0018	4.13284200931275	4.40138396878521	3.56588209226812	5.31886126548552	2.64840479556781	4.13284200931275	4.70953433810224	3.54324713988329
CRUK0019	4.70599226890596	4.70599226890596	4.70599226890596	4.70599226890596	4.70599226890596	4.70599226890596	4.70599226890596	4.70599226890596
CRUK0020	4.3827203684654	4.47207298830289	4.2933677486279	5.03550672277522	3.72993401415557	4.3827203684654	4.60860052439278	4.15684021253801
CRUK0021	4.9277763485444	5.20738000535816	4.64817269173065	5.54876437219734	4.30678832489147	4.9277763485444	5.13628760589505	4.71926509119375
CRUK0023	4.06707371997969	4.40694423696135	3.72720320299804	4.75080259976197	3.38334484019742	4.06707371997969	4.33876827154672	3.79537916841267
CRUK0024	4.09577638174123	4.22288553490524	3.86153068178275	4.78034677853031	3.30406943815768	4.09577638174123	4.21210258547178	3.98176713731354
CRUK0025	4.04939408299758	4.17506221432514	3.92372595167002	4.52803435018573	3.57075381580943	4.04939408299758	4.17558659317405	3.92320157282111
CRUK0026	4.28605832886236	4.28605832886236	4.28605832886236	4.28605832886236	4.28605832886236	4.28605832886236	4.28605832886236	4.28605832886236
CRUK0027	4.27421238580363	4.67202549743291	3.87639927417436	4.79982364303859	3.74860112856868	4.27421238580363	4.58082416546833	3.96760060613893
CRUK0028	3.56276701375168	3.56276701375168	3.56276701375168	3.56276701375168	3.56276701375168	3.56276701375168	3.56276701375168	3.56276701375168
CRUK0029	5.84622051638895	6.31785185422974	5.48556784791129	6.91799375345249	4.88542594868855	5.84622051638895	6.21163763219968	5.34640606838143
CRUK0030	4.52363237769955	4.69843897054782	4.34882578485128	4.87755947872795	4.16970527667115	4.52363237769955	4.69771362098718	4.34955113441192
CRUK0031	4.53244165564103	4.53244165564103	4.53244165564103	4.53244165564103	4.53244165564103	4.53244165564103	4.53244165564103	4.53244165564103
CRUK0032	2.67177869613281	2.67177869613281	2.67177869613281	2.67177869613281	2.67177869613281	2.67177869613281	2.67177869613281	2.67177869613281
CRUK0033	3.51336272758011	3.59597895470177	3.43074650045845	3.64961365412625	3.37711180103397	3.51336272758011	3.51781063606452	3.50891481909569
CRUK0035	4.10468965311831	4.29724883997848	3.88446131103286	4.85495558509029	3.32675456592106	4.10468965311831	4.20651016770011	3.93645708288472
CRUK0036	5.09404231569051	5.82196016685245	4.40696494153093	6.45180780832481	3.77711730005857	5.09404231569051	5.50702672699979	4.8185276431328
