m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0002	5.06730692681743	5.06730692681743	5.06730692681743	5.06730692681743	5.06730692681743	5.06730692681743	5.06730692681743	5.06730692681743
CRUK0004	4.150544293246	4.54901525346796	3.770232310397	4.71066118242778	3.60858638143718	4.150544293246	4.31646849228132	4.0330791181202
CRUK0005	4.45251995059913	4.76012130388813	4.20252271335186	4.90639332074299	4.056250696497	4.45251995059913	4.49554226316922	4.3785340127387
CRUK0009	4.60121285335654	4.60121285335654	4.60121285335654	4.60121285335654	4.60121285335654	4.60121285335654	4.60121285335654	4.60121285335654
CRUK0010	4.31165971511868	4.31165971511868	4.31165971511868	4.31165971511868	4.31165971511868	4.31165971511868	4.31165971511868	4.31165971511868
CRUK0012	4.20186524016213	4.20186524016213	4.20186524016213	4.20186524016213	4.20186524016213	4.20186524016213	4.20186524016213	4.20186524016213
CRUK0013	4.25698597405685	4.63238822165457	3.82867008430392	4.8308940912831	3.63016421467539	4.25698597405685	4.55213464808768	4.05816871081118
CRUK0014	4.23381108366076	4.23381108366076	4.23381108366076	4.23381108366076	4.23381108366076	4.23381108366076	4.23381108366076	4.23381108366076
CRUK0017	4.82094502025323	4.98185814276108	4.64289457719127	5.1460451991303	4.47870752082205	4.82094502025323	4.9473634915309	4.72685233430939
CRUK0018	4.34273929428295	4.82090585047746	3.7546568671349	4.93486967453012	3.64069304308224	4.34273929428295	4.63960784916883	3.94799075498321
CRUK0019	3.93260429001783	3.93260429001783	3.93260429001783	3.93260429001783	3.93260429001783	3.93260429001783	3.93260429001783	3.93260429001783
CRUK0020	4.48337157370723	4.64557751975219	4.32116562766228	4.73926064567238	4.22748250174209	4.48337157370723	4.69621119527274	4.27053195214173
CRUK0021	4.72643838388327	4.90871698078038	4.54415978698617	5.03158302545832	4.42129374230823	4.72643838388327	4.9388656368276	4.51401113093894
CRUK0023	4.33050924128627	4.49735350438757	4.16366497818497	4.53632692674537	4.12469155582717	4.33050924128627	4.42706888632359	4.23394959624895
CRUK0024	4.67730081773566	4.99849954979164	4.42687792263802	5.17489460509993	4.25048286732973	4.67730081773566	4.85046701759367	4.44958489666674
CRUK0025	4.13916002106941	4.17899759624547	4.09932244589335	4.24771101971558	4.03060902242324	4.13916002106941	4.18397379136749	4.09434625077133
CRUK0026	4.10556708837035	4.10556708837035	4.10556708837035	4.10556708837035	4.10556708837035	4.10556708837035	4.10556708837035	4.10556708837035
CRUK0027	4.47208476222344	4.57166287446617	4.37250664998072	4.70361924729309	4.2405502771538	4.47208476222344	4.67504140412202	4.26912812032487
CRUK0028	4.16004469191327	4.16004469191327	4.16004469191327	4.16004469191327	4.16004469191327	4.16004469191327	4.16004469191327	4.16004469191327
CRUK0029	4.6618917017366	5.19705463659677	4.21708773203296	5.41780268557476	3.99633968305497	4.6618917017366	4.95847423408788	4.3040695144131
CRUK0030	4.37162201942888	4.44759055581321	4.29565348304456	4.55701861999031	4.18622541886746	4.37162201942888	4.47773618137821	4.26550785747955
