m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	15.1395548729483	16.3687484847281	13.6144087354473	23.887771694837	6.09538552533849	15.1395548729483	16.5292674185251	13.6620644803362
CRUK0117	7.66237995026019	8.24760150145404	7.07715839906635	11.1196195945215	4.20514030599891	7.66237995026019	7.96572996429735	7.35902993622304
CRUK0128	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139
CRUK0134	19.0956007155545	20.307418706115	17.7509319066466	27.5914264772062	10.4669241355554	19.0956007155545	20.0981232417924	18.4294046868103
CRUK0146	15.7166705089729	15.2002321085408	15.8858298821647	21.1024258566712	9.98363613403429	15.7166705089729	16.0753463318903	15.0621384401846
CRUK0196	18.4223775241319	18.8724500939983	17.9723049542656	20.8279669193334	16.0167881289305	18.4223775241319	18.8303385606517	18.0144164876121
CRUK0124	13.1465028928909	13.404216704125	12.8887890816569	15.9106023585016	10.3824034272802	13.1465028928909	13.4340732085303	12.8589325772515
CRUK0199	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164
CRUK0182	12.0045301748849	11.9595755601244	12.0494847896455	15.3552391328113	8.65382121695853	12.0045301748849	12.1505070901535	11.8585532596163
CRUK0183	14.0904343687278	14.0904343687278	14.0904343687278	14.0904343687278	14.0904343687278	14.0904343687278	14.0904343687278	14.0904343687278
CRUK0129	12.8214591929117	13.2051337660617	12.4113061548378	22.3153754809078	3.30106443999172	12.8214591929117	13.4079980349554	12.3385929183802
CRUK0157	15.3063114575822	17.5555782098933	13.4984895554578	25.1559738248864	5.89809394046466	15.3063114575822	17.2455683338033	14.3142044836723
CRUK0118	15.4140698244463	16.2792231938228	14.5489164550699	18.5426344793185	12.2855051695742	15.4140698244464	16.0399915490937	14.788148099799
CRUK0142	13.5974264694273	14.0597997249523	13.1350532139024	16.8397334487139	10.3551194901408	13.5974264694273	13.6112992689403	13.5835536699144
CRUK0115	15.4048512450062	15.7067456004994	15.102956889513	17.1084753778031	13.7012271122094	15.4048512450062	15.5834695348317	15.2262329551808
CRUK0178	12.0311479036407	14.4349786537056	10.0172819263543	23.1084461322067	1.34381444785316	12.0311479036407	13.1635386808038	10.1620875862099
CRUK0259	13.6205239442291	14.0520568053499	13.1889910831083	17.673878091623	9.56716979683519	13.6205239442291	14.1451217142285	13.0959261742297
CRUK0270	14.3037562679939	15.3104506637237	12.99423335142	23.7607048613268	4.54397915381688	14.3037562679939	15.386461573804	13.1898021819282
CRUK0235	10.3497792565542	12.3663075319126	8.3310139043013	17.5971593963496	3.10016203986422	10.3497792565542	11.4246830805001	8.95491603763472
CRUK0296	16.4150787121975	16.6802243801541	16.149933044241	18.2998347464252	14.5303226779699	16.4150787121975	16.4998415319022	16.3303158924929
CRUK0253	10.4769215109662	12.3605328294755	8.7424374576783	22.7504857952833	-1.64751550812949	10.4769215109662	11.6420029856637	8.67154791743582
CRUK0290	14.5558997288388	16.2908734541832	12.8209260034944	21.8006643361671	7.31113512151053	14.5558997288388	16.2505240108768	12.8612754468007
CRUK0285	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755
CRUK0272	13.8827264930865	15.4970389223348	13.2223311958893	23.8816746936651	4.83769542455904	13.8827264930865	15.2297533049019	13.4008921254775
CRUK0279	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481
CRUK0223	16.5942456136841	21.1386094885559	13.1121968562592	37.5460772685867	-3.29527092377161	16.5942456136841	19.5537862268883	15.0271470407647
CRUK0293	17.1512903476813	19.4044880836236	14.8980926117391	26.6968347006866	7.60574599467609	17.1512903476814	19.2130822762572	15.0894984191055
CRUK0232	17.0769725788925	17.4387389329234	16.7152062248617	21.3789056174083	12.7750395403768	17.0769725788925	17.5159755994824	16.6379695583026
CRUK0287	13.0975575127769	13.7032665047918	12.491848520762	15.0748401468642	11.1202748786897	13.0975575127769	13.3723318306582	12.8227831948956
CRUK0271	19.3694370841202	20.4226103723497	18.6853988178078	27.7863546647546	11.3216545254029	19.3694370841202	20.2702020896956	18.2373253350601
CRUK0273	15.5611131019755	17.1706860500414	13.9515401539096	19.9551467746627	11.1670794292883	15.5611131019755	15.8999228070566	15.2223033968944
CRUK0276	16.8618413749791	18.8564541448245	14.5119864599658	24.6831008908937	8.68533971389656	16.8618413749791	17.8137932136902	15.4230912598694
CRUK0242	14.1665700708198	15.0217196132419	13.6612713858423	22.1086645842519	6.57432641483224	14.1665700708198	15.3622030854445	13.3349226533649
CRUK0245	14.990595239143	15.4511453939167	14.5300450843694	17.6885176199889	12.2926728582972	14.990595239143	15.4741277952933	14.5070626829927
CRUK0201	13.658010203195	13.658010203195	13.658010203195	13.658010203195	13.658010203195	13.658010203195	13.658010203195	13.658010203195
CRUK0206	14.7888979454989	16.0065049408193	13.4870810252087	22.3727574577164	7.12082850831158	14.7888979454989	16.3323195068994	13.3789622795955
CRUK0241	16.6217696670417	19.1274101268477	13.447785643049	28.1556725389367	4.41952323096003	16.6217696670417	19.5663221570085	14.4936961676207
CRUK0297	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235
CRUK0284	12.610184527144	16.0223356396704	9.63698835533978	26.6504305736839	-0.991106578673698	12.610184527144	14.0652251225388	11.4769594955139
CRUK0233	10.6890715620016	11.5352807361395	9.8428623878636	13.8531603667967	7.52498275720645	10.6890715620016	11.1695025302295	10.2086405937736
CRUK0280	13.6386821032145	14.6172152573903	12.477418618726	21.7961112303413	5.29852264577502	13.6386821032145	14.4163481755438	12.7890343581964
CRUK0247	9.90144531946152	10.5867513607315	9.21613927819156	13.1319515989443	6.67093903997877	9.90144531946152	10.6506686725858	9.15222196633725
CRUK0213	10.1364371129782	10.1364371129782	10.1364371129782	10.1364371129782	10.1364371129782	10.1364371129782	10.1364371129782	10.1364371129782
CRUK0286	11.6149233835759	13.2436070888479	9.70709226600209	16.698550001233	6.25214935361695	11.6149233835759	12.172066297315	10.6239953556765
CRUK0256	16.551021139958	16.551021139958	16.551021139958	16.551021139958	16.551021139958	16.551021139958	16.551021139958	16.551021139958
CRUK0274	12.8834193408214	15.316853642705	10.8736397934411	26.5665713115083	-0.376077875362229	12.8834193408214	15.5018365790077	11.3682625126769
CRUK0244	12.6788789596109	12.6788789596109	12.6788789596109	12.6788789596109	12.6788789596109	12.6788789596109	12.6788789596109	12.6788789596109
CRUK0212	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962
CRUK0299	14.067878760868	15.0526680109113	13.0830895108247	20.8837281626773	7.25202935905862	14.067878760868	14.7936588911611	13.3420986305749
CRUK0240	15.8516581745462	16.6792188901582	15.0240974589341	20.6124631605599	11.0908531885324	15.8516581745462	16.9392905326129	14.7640258164794
CRUK0392	13.6273428713337	16.497421834231	11.0997198880226	27.3601315457227	0.237010176530847	13.6273428713337	15.9565089508909	11.5965228850945
CRUK0381	13.8988980660175	16.0922791608081	11.8593812447567	27.8762376493118	0.0754227562530139	13.8988980660175	15.9331632641799	11.8479167213382
CRUK0372	7.04541793156414	7.04541793156414	7.04541793156414	7.04541793156414	7.04541793156414	7.04541793156414	7.04541793156414	7.04541793156414
CRUK0361	14.5433070986353	19.1878570250588	10.069693787528	35.2073700737774	-5.94981926119058	14.5433070986353	19.220958625772	10.2062410785561
CRUK0380	15.5821755376814	16.6174506599326	14.041785639707	24.3055441169116	6.35369218272798	15.5821755376814	16.9708055287085	14.6615953908722
CRUK0329	13.9878683399551	14.8205384285015	13.1551982514087	20.6417122074049	7.33402447250528	13.9878683399551	14.8861358310585	13.0896008488517
CRUK0315	15.8055017026853	16.0048733269745	15.606130078396	18.4885838603206	13.1224195450499	15.8055017026853	15.9559866094721	15.6550167958984
CRUK0352	16.7458950915986	18.5392327393569	14.9525574438402	28.8088561829218	4.68293400027531	16.7458950915986	18.3505710516794	15.1412191315177
CRUK0310	11.7558161568748	12.3604228616303	11.1512094521193	14.8144342153329	8.69719809841673	11.7558161568748	11.7573387762167	11.754293537533
CRUK0371	14.7227582244566	15.2597272188038	14.1857892301093	16.2818160079187	13.1637004409945	14.7227582244566	14.9084802334608	14.5370362154523
CRUK0331	16.247480692343	18.1130441248263	14.3078335807058	29.4187941138247	3.00208359170733	16.247480692343	17.8102441918395	14.3315666976663
CRUK0344	15.4155991402345	16.6845298238751	14.1466684565939	22.9607993568217	7.87039892364737	15.4155991402345	15.5770942436056	15.2541040368635
CRUK0313	7.54554440902279	7.54554440902279	7.54554440902279	7.54554440902279	7.54554440902279	7.54554440902279	7.54554440902279	7.54554440902279
CRUK0369	16.8086166528603	19.6066104796916	11.2406615381257	41.15332721099	-10.3060551931727	16.8086166528603	20.0180385409821	10.5415324328389
CRUK0312	17.8248910859994	17.9594285981929	17.6903535738059	19.9116087050864	15.7381734669124	17.8248910859994	18.4802621157908	17.169520056208
CRUK0328	17.202287266609	17.202287266609	17.202287266609	17.202287266609	17.202287266609	17.202287266609	17.202287266609	17.202287266609
CRUK0375	6.61855790002247	7.82664517234378	5.41047062770115	16.0173219272342	-2.78020612718926	6.61855790002247	8.02908489952062	5.20803090052431
CRUK0388	11.0636253577619	12.8779656232285	8.34509422869492	23.8462977939498	-2.62323794202642	11.0636253577619	12.9193389386467	10.0307969505563
CRUK0308	13.8297401578265	15.6517584271862	12.0077218884669	20.0382838775153	7.62119643813782	13.8297401578265	15.5501554081129	12.1093249075402
CRUK0370	9.96747052841778	10.6660577611346	9.26888329570095	12.0463082387595	7.88863281807602	9.96747052841778	10.0055126353092	9.92942842152635
CRUK0386	12.8962124086627	12.8962124086627	12.8962124086627	12.8962124086627	12.8962124086627	12.8962124086627	12.8962124086627	12.8962124086627
CRUK0322	13.6433917018656	16.1156055160373	9.98845953461659	30.2606566036703	-4.15659155301645	13.6433917018656	16.1807998955979	9.77249906188513
CRUK0316	13.9629286810288	14.4404870103292	13.4844938163707	18.1630026690793	9.76197815762062	13.9629286810288	14.3668242337549	13.6809841522456
CRUK0301	12.347236353834	12.347236353834	12.347236353834	12.347236353834	12.347236353834	12.347236353834	12.347236353834	12.347236353834
CRUK0333	11.8569763876898	12.7831744810741	10.957880254589	19.4602538288729	4.28080090679016	11.8569763876898	12.6033880339565	11.2798091333059
CRUK0379	13.3654256546903	16.3822458007877	9.97184180805636	33.1131062023013	-6.75901859345723	13.3654256546903	15.4712395539865	9.95767395660185
CRUK0377	13.1194704690862	13.1194704690862	13.1194704690862	13.1194704690862	13.1194704690862	13.1194704690862	13.1194704690862	13.1194704690862
CRUK0394	19.0143527281251	19.9738969312227	18.6556136962359	24.9131055701022	13.7164050573563	19.0143527281251	19.6160717779617	17.9073375994611
CRUK0393	11.9237572226128	13.3320787604403	10.228170646729	21.3153058166019	2.24494359056746	11.9237572226128	12.6826544949101	10.7281242808444
CRUK0368	10.2052712452424	11.3883451455926	9.02219734489216	15.459691146332	4.95085134415266	10.2052712452424	10.7097915604572	9.70075093002747
CRUK0319	7.06156080780616	7.06156080780616	7.06156080780616	7.06156080780616	7.06156080780616	7.06156080780616	7.06156080780616	7.06156080780616
CRUK0318	12.7922454163333	12.7922454163333	12.7922454163333	12.7922454163333	12.7922454163333	12.7922454163333	12.7922454163333	12.7922454163333
CRUK0396	15.4731552972156	17.5111276010348	13.4351829933964	20.6871933880203	10.2591172064109	15.4731552972156	15.7515237644034	15.1947868300278
CRUK0303	9.18796507489853	9.519775425839	8.85615472395805	15.5996516684184	2.77627848137863	9.18796507489853	12.0062232683936	6.36970688140348
CRUK0350	14.4859580356519	14.8038951140687	14.168020957235	16.8765178864441	12.0953981848597	14.4859580356519	14.7440158461299	14.2279002251739
CRUK0334	12.1437856469676	12.1437856469676	12.1437856469676	12.1437856469676	12.1437856469676	12.1437856469676	12.1437856469676	12.1437856469676
CRUK0384	12.8839499273531	13.6007452583252	12.167154596381	16.6759357385611	9.09196411614505	12.8839499273531	13.8599479035741	11.907951951132
CRUK0337	15.1986023602617	15.1986023602617	15.1986023602617	15.1986023602617	15.1986023602617	15.1986023602617	15.1986023602617	15.1986023602617
CRUK0373	12.8774607963756	12.8774607963756	12.8774607963756	12.8774607963756	12.8774607963756	12.8774607963756	12.8774607963756	12.8774607963756
CRUK0359	13.1306734604876	14.0595734399519	12.2017734810233	19.4229420401535	6.83840488082177	13.1306734604876	14.6968098735068	11.5645370474684
CRUK0343	12.022701764151	13.4877193178635	9.24100678834136	24.8641061154136	-2.13538000920871	12.022701764151	13.2997964980185	9.18722879968471
CRUK0321	11.1274845333522	11.8509575191012	10.4040115476032	14.2821697293634	7.97279933734097	11.1274845333522	11.7622458841359	10.4927231825685
CRUK0385	13.0412327976379	13.7251423250933	12.5589926071746	22.463535363603	3.82059956866489	13.0412327976379	13.5965230392996	12.4777238433729
CRUK0311	8.70538223947146	10.8566604176513	6.14956868544695	23.4040505187632	-6.397821415665	8.70538223947146	11.0931625103756	6.7605695079443
CRUK0460	10.7179726038191	12.4861907804036	8.92513246517059	18.0683682472611	3.34295499831309	10.7179726038191	12.2738305984856	9.37583190044786
CRUK0492	10.1018332662651	10.1018332662651	10.1018332662651	10.1018332662651	10.1018332662651	10.1018332662651	10.1018332662651	10.1018332662651
CRUK0487	16.5977078261772	18.3354350748818	12.3825295053367	33.108656742932	-2.39069216271349	16.5977078261772	18.6849815617215	12.3342488061141
CRUK0495	15.5400752083467	17.1812769070825	14.6837603732203	27.6172360926989	4.24780118760399	15.5400752083467	16.2020159210616	15.030991104629
CRUK0408	14.752551558225	14.752551558225	14.752551558225	14.752551558225	14.752551558225	14.752551558225	14.752551558225	14.752551558225
CRUK0497	18.175784295836	19.8424461478103	15.6857342500412	26.44207755203	9.0861028458215	18.175784295836	18.2860827748395	18.1197343169458
CRUK0422	14.8434467043742	15.8149496673136	13.8719437414348	21.7644281078986	7.92246530084978	14.8434467043742	15.8003246389972	13.8865687697512
CRUK0410	13.9242374428521	17.9542708353953	10.6934616121588	30.6258893425569	-1.97815689500287	13.9242374428521	17.2754911804562	10.9743668417875
CRUK0412	14.8311181145223	16.5612653921745	12.6253748610909	22.8287104528896	6.3579298003758	14.8311181145223	16.2188695140698	12.6389799771302
CRUK0420	11.3992221322036	13.7907605609649	9.00768370344231	28.8269649856316	-6.02852072122435	11.3992221322036	13.8759141461193	8.92253011828798
CRUK0488	15.8896469636747	15.8896469636747	15.8896469636747	15.8896469636747	15.8896469636747	15.8896469636747	15.8896469636747	15.8896469636747
CRUK0401	11.5344726719065	12.6633215822735	10.4056237615396	15.7712297141666	7.29771562964647	11.5344726719065	12.507309601784	10.5616357420291
CRUK0448	13.9432261791375	14.9211334704781	12.7174376716399	20.6908538699563	6.9477172721617	13.9432261791375	14.6240829337093	13.5387458341958
CRUK0496	16.8273698551959	17.8132264654818	14.9214704770842	25.3207855737154	7.41391136885065	16.8273698551959	17.9035909285376	14.8134018952002
CRUK0452	11.5338051716416	12.2790534427854	11.0728328795561	19.9704847618764	3.38140156046512	11.5338051716416	11.9782988754116	11.1343165442517
CRUK0472	15.5331806945568	16.2191510152457	14.9519009315732	22.1600819433677	9.01097000345131	15.5331806945568	15.8256420897151	15.0098267039129
CRUK0434	14.005730626608	15.8634958040276	12.1319211271965	21.2232884538483	6.77212847737582	14.005730626608	15.2680766444088	12.7800096647449
CRUK0431	12.0263132431407	12.039667156679	12.0129593296025	14.8488676915316	9.20375879474983	12.0263132431407	12.2305058826389	11.8221206036425
CRUK0451	9.31987857011886	10.5429380172588	8.07438739741543	16.2033810689117	2.41394434576258	9.31987857011886	9.65824834242153	8.82829724534078
CRUK0447	15.1375249738022	15.1375249738022	15.1375249738022	15.1375249738022	15.1375249738022	15.1375249738022	15.1375249738022	15.1375249738022
CRUK0404	13.1554289711429	14.8311762603519	11.4796816819339	20.0540432541288	6.2568146881571	13.1554289711429	14.5649928121709	11.745865130115
CRUK0463	15.9155067230937	16.4436774245086	15.3873360216788	19.8721888783288	11.9588245678586	15.9155067230937	16.066673755289	15.7643396908984
CRUK0419	14.6572911595929	14.6572911595929	14.6572911595929	14.6572911595929	14.6572911595929	14.6572911595929	14.6572911595929	14.6572911595929
CRUK0484	12.7366360931804	14.9126049185786	10.9462437816419	25.4097920039372	0.449056696283277	12.7366360931804	13.964056199158	11.6161464852882
CRUK0450	9.5963005285654	9.97314278193528	9.21945827519551	14.4206929149823	4.77190814214854	9.5963005285654	10.1548146193162	9.0377864378146
CRUK0403	15.8060898118968	17.2464843894476	13.1641850440204	26.1710120787646	4.23965735470343	15.8060898118968	16.983955531463	13.2369224147648
CRUK0467	17.8413463163898	17.8413463163898	17.8413463163898	17.8413463163898	17.8413463163898	17.8413463163898	17.8413463163898	17.8413463163898
CRUK0485	9.36466669298449	10.8173183989932	7.93158625680584	17.4925457786523	1.25635887714669	9.36466669298449	10.6433365428257	8.34670917797955
CRUK0416	12.3411744016204	15.0232069168343	9.76653283483699	22.2340640377215	2.55567571394978	12.3411744016204	13.8327186722229	10.0149184653047
CRUK0462	10.8396674129019	12.5958018699905	9.23921382149098	19.9966085261906	1.83840716529089	10.8396674129019	12.432704177874	9.32274519393783
CRUK0476	15.8827795105086	19.1888318259536	13.9957415698019	27.8936442272613	5.29092916849427	15.8827795105086	16.9630786578072	14.2131739427808
CRUK0418	11.1800058542378	11.1800058542378	11.1800058542378	11.1800058542378	11.1800058542378	11.1800058542378	11.1800058542378	11.1800058542378
CRUK0465	9.86437249619785	9.86437249619785	9.86437249619785	9.86437249619785	9.86437249619785	9.86437249619785	9.86437249619785	9.86437249619785
CRUK0406	15.4774209737552	16.6031428354983	14.5975269635556	22.9482677683425	8.25240203071145	15.4774209737552	16.2680292326425	14.269682202558
CRUK0423	16.7162798309292	18.5819542492294	15.1631329955473	23.954119510441	9.79096773433568	16.7162798309292	17.5462992210368	15.7875480823428
CRUK0478	14.2361885557704	14.8791888092238	13.593188302317	17.4629353860638	11.0094417254771	14.2361885557704	14.4839931000227	13.9883840115181
CRUK0453	14.628270809116	14.628270809116	14.628270809116	14.628270809116	14.628270809116	14.628270809116	14.628270809116	14.628270809116
CRUK0444	13.7940805171434	14.9484964752779	12.639664559009	19.8657418565323	7.72241917775453	13.7940805171434	14.4823646444962	13.1057963897907
CRUK0594	21.0863839870737	21.0863839870737	21.0863839870737	21.0863839870737	21.0863839870737	21.0863839870737	21.0863839870737	21.0863839870737
CRUK0542	13.8812169951595	14.9285653189773	12.8338686713416	21.4512234524812	6.31121053783776	13.8812169951595	14.2664503926204	13.4959835976985
CRUK0573	15.554419376468	16.6991875562601	14.7055324492002	20.6201970834543	10.784522922006	15.554419376468	15.9581166111769	15.330474689572
CRUK0579	15.2989283379369	17.4417878818845	13.4729811684544	24.2921861910747	6.62258285926413	15.2989283379369	17.0196427999011	13.7672323404961
