m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	3.10769054439911	3.2732906106134	2.644138468239	3.77847973345405	2.13894934539834	3.10769054439911	3.34112705445933	2.62851339059336
CRUK0117	1.70628822879419	1.84451968942773	1.56805676816065	2.00191352823485	1.41066292935353	1.70628822879419	1.81132288253177	1.60125357505661
CRUK0128	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603
CRUK0134	3.4220089064509	3.55333090987422	3.2148416213834	4.03344362500952	2.73472890624811	3.4220089064509	3.59852375401273	3.2148416213834
CRUK0146	4.18376638182939	4.38350764182836	4.06826993501509	4.48633576033859	3.96544181650486	4.18376638182939	4.37946241695082	4.05951091014614
CRUK0196	3.72445961709281	3.77722238163318	3.67169685255243	3.86393808751343	3.58498114667218	3.72445961709281	3.7728274186713	3.67609181551431
CRUK0124	2.85551108529648	2.94439995502665	2.76662221556632	3.0704645543906	2.64055761620237	2.85551108529648	2.94439995502665	2.76662221556632
CRUK0199	2.55228504793904	2.55228504793904	2.55228504793904	2.55228504793904	2.55228504793904	2.55228504793904	2.55228504793904	2.55228504793904
CRUK0182	2.1890495406747	2.26166716450034	2.11643191684906	2.45431949653968	1.92377958480972	2.1890495406747	2.2219653399047	2.1561337414447
CRUK0183	3.59526405082295	3.59526405082295	3.59526405082295	3.59526405082295	3.59526405082295	3.59526405082295	3.59526405082295	3.59526405082295
CRUK0129	2.64891562054446	2.5371922077328	2.60098579445351	3.56775252784728	1.57042547433904	2.64891562054446	2.93213542205356	2.34856393209675
CRUK0157	2.89014958367153	3.32099192779229	2.61718564178971	3.90922150986379	2.02895605971822	2.89014958367153	3.1759404377648	2.53838679603336
CRUK0118	3.10281078760164	3.26474765799254	2.94087391721073	3.32935097208085	2.87627060312242	3.10281078760164	3.26474765799254	2.94087391721073
CRUK0142	3.02100665429838	3.17469886520891	2.86731444338785	3.39039032101225	2.65162298758451	3.02100665429838	3.12465900804007	2.91735430055669
CRUK0115	3.52779618332728	3.55874129993138	3.49685106672319	3.68476635429693	3.37082601235764	3.52779618332728	3.59061577829676	3.46497658835781
CRUK0178	2.69776417797259	2.88642294268002	2.53312405958869	3.34840884893872	2.07113815333	2.69776417797258	2.89866936455176	2.49850301867663
CRUK0259	2.93781861150563	3.18398711242982	2.69165011058144	3.19913235617554	2.67650486683572	2.93781861150563	2.93890569081974	2.93673153219152
CRUK0270	4.11608861570359	4.57534272617761	3.8111362101637	5.13258082639281	3.2538981099485	4.11608861570359	4.71583873655536	3.82047769931726
CRUK0235	2.080409900217	2.7657926851515	1.68060175419415	3.01859616150716	1.4277982778385	2.080409900217	2.61380217928992	1.61875663694257
CRUK0296	3.88586272471677	3.86971773325142	3.90200771618212	4.04861403164486	3.72311141778868	3.88586272471677	3.98728073372129	3.78444471571224
CRUK0253	2.60609302108222	3.08444829057401	2.2251878255318	3.85060834456105	1.45902777154475	2.60609302108222	2.80122301261299	2.27981903073368
CRUK0290	3.64472069373112	3.99779553474832	3.29164585271393	4.14376309433701	3.14567829312524	3.64472069373112	3.99779553474832	3.29164585271393
CRUK0285	2.19645811348287	2.19645811348287	2.19645811348287	2.19645811348287	2.19645811348287	2.19645811348287	2.19645811348287	2.19645811348287
CRUK0272	3.12176742252323	3.20017549384862	2.77235440972832	4.03810398803382	1.93442591554312	3.12176742252323	3.35569063262987	2.88841599324429
CRUK0279	2.29740775909578	2.29740775909578	2.29740775909578	2.29740775909578	2.29740775909578	2.29740775909578	2.29740775909578	2.29740775909578
CRUK0223	3.36470671241651	4.57275976768334	2.79346843675824	5.33367536603675	2.03255283840483	3.36470671241651	3.90953337316629	2.99831814188929
CRUK0293	3.88960962356316	4.38339431493666	3.39582493218966	4.72546913128675	3.05375011583957	3.88960962356316	4.38339431493666	3.39582493218966
CRUK0232	3.18130313648462	3.28605691162544	3.0765493613438	3.50918408127028	2.85342219169896	3.18130313648462	3.27535548094636	3.08725079202288
CRUK0287	2.92186627260421	2.88985321188074	2.95387933332769	3.03922242549068	2.80451011971775	2.92186627260422	3.02474637209017	2.81898617311826
