m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	3.02993027278237	3.2063815766176	2.80430553345163	3.73925367737363	2.2714334326956	3.02993027278237	3.25217724992524	2.77308860379804
CRUK0117	1.44095317843206	1.54493672374299	1.33696963312113	1.9469795982062	0.934926758657922	1.44095317843206	1.5137324649512	1.36817389191292
CRUK0128	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849
CRUK0134	2.57682174232022	2.63402910746876	2.46482570220463	3.26306860496022	1.83578620471317	2.57682174232022	2.69485117672585	2.42697877024827
CRUK0146	2.43304941639674	2.58408496534427	2.22599359609934	2.94227336210714	1.86780519933647	2.43304941639674	2.49098117935326	2.33527671117729
CRUK0196	2.81097669907433	2.90190215456516	2.7200512435835	3.02197600518399	2.59997739296467	2.81097669907433	2.86106081150218	2.76089258664648
CRUK0124	1.49278096001354	1.53634195905694	1.44921996097014	1.74696917681782	1.23859274320927	1.49278096001354	1.56537033737882	1.42019158264826
CRUK0199	1.50580344730476	1.50580344730476	1.50580344730476	1.50580344730476	1.50580344730476	1.50580344730476	1.50580344730476	1.50580344730476
CRUK0182	1.77442461867084	1.85717016720148	1.69167907014019	2.07458663471905	1.47426260262262	1.77442461867084	1.87870667385395	1.67014256348772
CRUK0183	2.23124516633612	2.23124516633612	2.23124516633612	2.23124516633612	2.23124516633612	2.23124516633612	2.23124516633612	2.23124516633612
CRUK0129	2.74056320928229	2.85912641546081	2.49593217999193	3.45267400837888	1.90238458707387	2.74056320928229	2.93640121357397	2.58581448409019
CRUK0157	2.33205275018709	2.78420932399915	1.95641692137022	3.18221435890323	1.55841188646614	2.33205275018709	2.7708844663767	2.07377051275138
CRUK0118	2.01486661289116	2.16599013296918	1.86374309281314	2.30046619005727	1.72926703572506	2.01486661289116	2.12330023695263	1.90643298882969
CRUK0142	1.87197870471562	1.86356420588448	1.88039320354675	2.21057208742596	1.53338532200528	1.87197870471562	1.95448691091113	1.78947049852011
CRUK0115	1.71962269548855	1.7891966210144	1.6500487699627	1.82742365254532	1.61182173843179	1.71962269548855	1.72583810371225	1.71340728726485
CRUK0178	1.9856457902967	2.52454876876011	1.41310992252112	2.93975510740068	0.997903583880546	1.9856457902967	2.38904633501337	1.44435545119305
CRUK0259	1.86496171811379	2.02717084546795	1.70275259075963	2.49436671906959	1.23555671715799	1.86496171811379	2.09861507442655	1.63130836180103
CRUK0270	1.96757995642039	2.00537882222988	2.01557791790737	2.84585348823622	1.17510325190103	1.96757995642039	2.05890409609437	1.83065934434069
CRUK0235	0.879403114390108	1.05855602317978	0.704554761996807	1.30880015693657	0.454310628240011	0.879403114390108	1.10086211864767	0.676845492192564
CRUK0296	1.54945196052065	1.5537331335941	1.54517078744721	1.78529998211328	1.31360393892803	1.54945196052065	1.6012710251184	1.4976328959229
CRUK0253	1.01759475149892	1.28638243178799	0.784002876428854	1.99267897088333	0.0777063373335133	1.01759475149892	1.26749785595259	0.784002876428854
CRUK0290	2.40697730556611	2.75540741259258	2.05854719853963	3.08635025788713	1.72760435324509	2.40697730556611	2.75313409620149	2.06082051493072
CRUK0285	0.84873132814134	0.84873132814134	0.84873132814134	0.84873132814134	0.84873132814134	0.84873132814134	0.84873132814134	0.84873132814134
CRUK0272	2.33870911593095	2.32953711936853	2.2757441920729	3.10273167932956	1.50254963211187	2.33870911593095	2.6605111523822	1.97600885851467
CRUK0279	1.60729299565955	1.60729299565955	1.60729299565955	1.60729299565955	1.60729299565955	1.60729299565955	1.60729299565955	1.60729299565955
CRUK0223	1.90516926471988	2.08097957302	1.20894473086573	3.41690014338739	-0.126975839501659	1.90516926471989	2.31753841407917	1.35494541463871
CRUK0293	2.00036762858748	2.31576190170933	1.68497335546563	2.52436616347102	1.47636909370394	2.00036762858748	2.19320778918259	1.80752746799237
CRUK0232	2.5861247028412	2.60931139233615	2.56293801334624	2.82009575345032	2.35215365223208	2.5861247028412	2.60558793647018	2.56666146921222
CRUK0287	1.83114166747776	1.8260221247798	1.83626121017572	2.08054604740315	1.58173728755237	1.83114166747776	1.84552720311984	1.81675613183568
CRUK0271	3.13152959260969	3.40815133445743	2.92733966645417	4.10029286048192	2.23519814042968	3.13152959260969	3.71734554042116	2.58478447577566
