m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	0.357738798222362	0.357446062918241	0.358031533526484	0.735725711899299	-0.0202481154545748	0.357738798222362	0.504085077964113	0.211392518480611
CRUK0045	0.244193764480062	0.321039158270697	0.167348370689427	0.685197359839242	-0.196809830879118	0.244193764480062	0.339844233047645	0.148543295912479
CRUK0005	0.519168839392586	0.56266821906148	0.544102911370742	0.891654421545563	0.21511670888666	0.519168839392586	0.719977757817887	0.406199678694908
CRUK0028	0.774859066145084	0.862684226787366	0.687033905502802	0.957784371135608	0.591933761154561	0.774859066145084	0.860755383869577	0.688962748420592
CRUK0117	0.202448895183372	0.117870372226703	0.287027418140042	0.412122693196798	-0.00722490283005321	0.202448895183372	0.268512564978423	0.136385225388322
CRUK0024	0.574106402279697	0.624224602129184	0.457750550437363	1.03553862128303	0.046436531283519	0.574106402279697	0.779493766371806	0.409527089195112
CRUK0128	0.454768319760184	0.454768319760184	0.454768319760184	0.454768319760184	0.454768319760184	0.454768319760184	0.454768319760184	0.454768319760184
CRUK0051	0.868542173457987	0.946014266712867	0.687994036773248	1.2798962476564	0.354112055829716	0.868542173457987	0.983923132857797	0.686505374967934
CRUK0042	0.959761717847559	0.972118974522481	0.947404461172637	1.19361466630973	0.725908769385384	0.959761717847559	1.10434669785695	0.815176737838166
CRUK0004	0.762198652531017	0.746074280628561	0.625975316529904	1.39126303351733	-0.0192134363588675	0.762198652531017	0.923449422704941	0.523219508120062
CRUK0057	0.844463783425726	0.966361767396629	0.722565799454823	1.12964502884242	0.559282538009033	0.844463783425726	0.969001016587774	0.719926550263678
CRUK0003	0.482554617643325	0.445735848865965	0.369351966501506	0.865138555912928	-0.0500507405454569	0.482554617643325	0.624877604966317	0.307927773738393
CRUK0026	0.498094528468486	0.464989261488773	0.5311997954482	0.637296211269339	0.358892845667634	0.498094528468486	0.566622972277909	0.429566084659064
CRUK0039	0.931298361926548	1.08386437400439	0.778732349848705	1.21746206485655	0.645134658996548	0.931298361926548	1.0566521501076	0.805944573745496
CRUK0016	0.748794806741401	0.672539779846181	0.825049833636621	0.884946652670754	0.612642960812048	0.748794806741401	0.766403755734036	0.731185857748767
CRUK0018	0.934547880341958	1.13515432559788	0.774602841065182	1.71493742223902	0.194819744424043	0.934547880341958	1.16964158393124	0.534581855199277
CRUK0053	0.812533554496693	0.789200954439472	0.835866154553913	1.15755645797652	0.467510651016869	0.812533554496692	0.848785334791152	0.776281774202233
CRUK0017	1.17854871685603	1.16042801028954	1.15630772346198	1.56229067301846	0.75444506073306	1.17854871685603	1.23014132860886	1.13663358294478
CRUK0021	1.37632357199696	1.4266349143799	1.32601222961402	1.60474473263406	1.14790241135986	1.37632357199696	1.44008655699901	1.31256058699491
CRUK0060	1.18002332930699	1.2034527166231	1.15659394199087	1.46877952679535	0.891267131818624	1.18002332930699	1.27204068764545	1.08800597096853
CRUK0032	0.254307709324257	0.285258819607397	0.130188750388031	0.616160566768782	-0.200712996773354	0.254307709324257	0.322158506683525	0.132360415379772
CRUK0055	0.774140338141641	0.891048405234809	0.558757788643129	1.71951158863808	-0.269705394760138	0.774140338141641	0.983234788459945	0.558757788643129
CRUK0020	1.20695774676334	1.16425314962044	1.24966234390623	1.47093490930774	0.942980584218933	1.20695774676334	1.22651958636553	1.18739590716114
CRUK0027	0.753858686841202	0.787469253433417	0.720248120248987	1.05880019779233	0.448917175890075	0.753858686841202	0.791258456687165	0.716458916995238
CRUK0124	0.48601055018121	0.51644538328374	0.455575717078681	0.665331607632797	0.306689492729624	0.48601055018121	0.51644538328374	0.455575717078681
CRUK0008	0.585134638168011	0.68791950892485	0.482349767411172	0.863960541454065	0.306308734881957	0.585134638168011	0.693964012149532	0.47630526418649
CRUK0199	0.855912898653413	0.855912898653413	0.855912898653413	0.855912898653413	0.855912898653413	0.855912898653413	0.855912898653413	0.855912898653413
CRUK0182	0.575690925235481	0.594027437696189	0.557354412774772	0.761750006731833	0.389631843739127	0.57569092523548	0.604678625242486	0.546703225228475
CRUK0029	1.58583169056915	1.52618603662089	1.68634567022518	2.24828051917476	0.964251187671308	1.58583169056915	1.72180585720078	1.44000965318136
CRUK0061	1.08083620094957	1.08083620094957	1.08083620094957	1.08083620094957	1.08083620094957	1.08083620094957	1.08083620094957	1.08083620094957
CRUK0023	0.849277193884094	0.766274046909763	0.932280340858425	1.16453720989628	0.534017177871904	0.849277193884094	0.966769113245501	0.731785274522687
CRUK0035	1.23074380690115	1.25261270669085	1.18406182185055	1.38318084291566	1.05349368562574	1.23074380690115	1.30364504703716	1.18355244145236
CRUK0044	0.831974359060418	0.812323749616637	0.851624968504199	1.11993631667394	0.544012401446894	0.831974359060418	0.960701289060724	0.703247429060112
CRUK0050	0.831030252101073	0.927159196270149	0.709776565724709	1.24601958877458	0.390916173220279	0.831030252101073	0.934479351498552	0.606290046108431
CRUK0030	0.882838816198841	1.13858279759199	0.658127974366039	1.49846944188785	0.298241330070176	0.882838816198841	1.17402767585529	0.659393380845005
CRUK0157	0.894035438679892	1.03802239699199	0.750372579623732	1.38060079154886	0.407794185066862	0.894035438679892	1.12272493611691	0.745034839754761
CRUK0052	1.57271660497514	1.5449955449161	1.53065754481015	1.9822981154849	1.09335497424135	1.57271660497514	1.82108402446518	1.38788704002716
CRUK0010	1.08443886775175	1.08443886775175	1.08443886775175	1.08443886775175	1.08443886775175	1.08443886775175	1.08443886775175	1.08443886775175
CRUK0046	0.946070147036385	0.951447512667592	0.885124800309028	1.25042841878593	0.586143894190691	0.946070147036385	1.06459873838421	0.801375531834172
CRUK0142	1.1252336427236	1.07902637975263	1.17144090569457	1.38052524997885	0.869942035468342	1.1252336427236	1.17490409759241	1.07556318785478
CRUK0115	1.14491107328259	1.18522288170896	1.10459926485623	1.24542288335191	1.04439926321327	1.14491107328259	1.22855381282849	1.0612683337367
CRUK0041	0.89907202477283	1.1051194613403	0.789754150772724	1.55839831810805	0.336475294004972	0.89907202477283	1.11304880196472	0.789754150772724
CRUK0036	1.38681093053374	1.42316384440127	1.33791633991112	1.8030879430518	0.957992241260589	1.38681093053374	1.46762608175958	1.31087509822985
CRUK0012	0.868284680422624	0.868284680422624	0.868284680422624	0.868284680422624	0.868284680422624	0.868284680422624	0.868284680422624	0.868284680422624
CRUK0001	0.774697178296897	0.998256949623673	0.55113740697012	1.15626445889184	0.393129897701952	0.774697178296896	1.12011678612669	0.429277570467103
CRUK0047	0.800132804656432	0.877665687380451	0.722599921932413	0.939418905208527	0.660846704104337	0.800132804656432	0.881806653895442	0.718458955417422
CRUK0033	0.969960308223557	1.01804323723491	0.921877379212199	1.07157650861242	0.868344107834692	0.969960308223557	0.975859212608464	0.964061403838649
CRUK0009	1.19780526609931	1.30537050717351	1.0902400250251	1.6366023264968	0.759008205701809	1.19780526609931	1.26776615178271	1.1278443804159
CRUK0178	2.52318462140798	2.56437202827056	2.54913428602599	2.88700604370909	2.22650027058746	2.52318462140798	2.60049812271867	2.42028701049413
CRUK0049	0.566773338218806	0.566773338218806	0.566773338218806	0.566773338218806	0.566773338218806	0.566773338218806	0.566773338218806	0.566773338218806
CRUK0025	0.946579357431341	1.00550539506397	0.887653319798711	1.11773184474867	0.775426870114008	0.946579357431341	1.00405570310293	0.889103011759755
CRUK0006	0.871452547534315	0.863954811865808	0.878950283202823	1.02731864188824	0.715586453180393	0.871452547534315	0.875445589601986	0.867459505466644
CRUK0259	0.971407102885025	0.913713106863263	1.02910109890679	1.49874907369646	0.444065132073588	0.971407102885025	1.25595073376954	0.686863472000513
CRUK0270	0.580279324792807	0.820408980868022	0.422309756636272	1.20322237461643	0.0394963628878675	0.580279324792807	0.802441779747569	0.473607258254226
CRUK0048	0.612657678251203	0.659360360371148	0.565954996131258	0.741669360241785	0.483645996260621	0.612657678251203	0.652841753536229	0.572473602966177
CRUK0296	1.30108265038071	1.31182208937431	1.29034321138711	1.36795388423033	1.23421141653109	1.30108265038071	1.31344659599856	1.28871870476285
CRUK0253	0.345381404545672	0.521317112103611	0.206492543585796	0.919148817264571	-0.191339161575164	0.345381404545673	0.629356467405815	0.200508889305896
CRUK0019	0.830074320147799	0.830074320147799	0.830074320147799	0.830074320147799	0.830074320147799	0.830074320147799	0.830074320147799	0.830074320147799
CRUK0285	0.671647843036156	0.671647843036156	0.671647843036156	0.671647843036156	0.671647843036156	0.671647843036156	0.671647843036156	0.671647843036156
CRUK0272	1.35986033255367	1.70289803025308	1.02489114479299	2.07361729518617	0.654171879859902	1.35986033255367	1.72840063739927	1.04844711173283
CRUK0011	0.381393487311264	0.52580265759372	0.24509915102117	0.844943047288018	-0.0740412386731273	0.381393487311264	0.542870115043134	0.235878793780729
CRUK0037	0.863323119537736	1.24153044559903	0.620113612591568	1.7369076723046	0.124736385885995	0.863323119537736	1.19470112381163	0.620073473099437
CRUK0014	0.831044281886613	0.831044281886613	0.831044281886613	0.831044281886613	0.831044281886613	0.831044281886613	0.831044281886613	0.831044281886613
CRUK0279	0.408747273383923	0.408747273383923	0.408747273383923	0.408747273383923	0.408747273383923	0.408747273383923	0.408747273383923	0.408747273383923
CRUK0223	1.53758770438677	1.81362595407597	1.06790334289639	2.8408431611401	0.0406861358322539	1.53758770438677	2.25531681052537	0.841907002945102
