m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	11.21442478981	12.1721868379688	10.0654060919599	14.0913227777038	8.14627015222493	11.21442478981	11.7860412116295	10.4592353670428
CRUK0117	4.07944098898806	4.56508683591974	3.59379514205637	5.20860238780495	2.95027959017117	4.07944098898806	4.30503091387914	3.85385106409697
CRUK0128	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908
CRUK0134	10.4355949582103	11.348084640829	9.42186311045726	13.5170843968207	7.25286335446556	10.4355949582103	11.0880117792228	9.46272146820679
CRUK0146	10.4587137737257	11.2919958896616	9.41868290870471	12.5873956689829	8.12328312938349	10.4587137737257	11.0573993559484	9.79792513587363
CRUK0196	10.2390034827016	10.4875022793323	9.99050468607096	10.9939616070344	9.48404535836891	10.2390034827016	10.3835825125228	10.0944244528804
CRUK0124	8.75984846472631	9.18686140580984	8.33283552364279	9.74249511740302	7.77720181204961	8.75984846472631	9.17977000953173	8.3399269199209
CRUK0199	7.39363362801938	7.39363362801938	7.39363362801938	7.39363362801938	7.39363362801938	7.39363362801938	7.39363362801938	7.39363362801938
CRUK0182	7.2592441671971	7.72332617239215	6.79516216200204	8.46560253098922	6.05288580340497	7.2592441671971	7.71887029589258	6.79961803850162
CRUK0183	8.41739774865573	8.41739774865573	8.41739774865573	8.41739774865573	8.41739774865573	8.41739774865573	8.41739774865573	8.41739774865573
CRUK0129	12.3980548058725	14.2394970832589	10.5510387978893	16.2563290041192	8.53420687702899	12.3980548058725	13.6529850904921	11.2023245045429
CRUK0157	8.50502851560659	10.0725313682281	7.31074851857959	11.5707051133253	5.81257477348235	8.50502851560659	9.98697901196677	7.40579531830329
CRUK0118	9.64704689590422	10.3001540577506	8.99393973405782	10.9418218823082	8.3522719095002	9.64704689590422	10.0383509261889	9.25574286561955
CRUK0142	8.89090705797479	9.32253803502304	8.45927608092655	10.4431380624303	7.33867605351934	8.89090705797479	9.48432157378268	8.29749254216691
CRUK0115	10.2907990753771	10.5234045910091	10.0581935597452	10.8419247722435	9.73967337851079	10.2907990753771	10.3188731111253	10.262725039629
CRUK0178	10.9206621427873	12.6687821260193	8.74648694133733	14.5664682408678	6.84880082648883	10.9206621427873	12.1951951210765	10.0436036696967
CRUK0259	9.90805089405376	10.431390404337	9.38471138377052	11.9743522182985	7.84174956980907	9.90805089405377	10.0803594092385	9.73574237886899
CRUK0270	8.87460749097	10.4024886499815	7.58819076624652	12.404072610594	5.58660680563411	8.87460749097	9.65247749246309	8.17021526164438
CRUK0235	5.30204502649258	6.46061389199092	4.28329347510048	7.42456598368623	3.31934138340517	5.30204502649258	5.75078578793648	4.42049390038131
CRUK0296	10.6458642218866	10.8704165125646	10.4213119312087	11.2385627335474	10.0531657102259	10.6458642218866	10.769673706439	10.5220547373342
CRUK0253	7.16080881013409	8.70065621859355	5.65315060191939	11.3478047589532	3.0060020615597	7.16080881013409	8.02590281530855	5.86498447715339
CRUK0290	9.40879114710246	10.4114490926127	8.40613320159224	12.1398831411185	6.67769915308644	9.40879114710246	10.4210111622644	8.39657113194055
CRUK0285	4.09596610380126	4.09596610380126	4.09596610380126	4.09596610380126	4.09596610380126	4.09596610380126	4.09596610380126	4.09596610380126
CRUK0272	9.43954746893646	11.341339942469	7.74213280743373	13.7518802128743	5.33159253702846	9.43954746893646	10.8011616154079	8.42418373195849
CRUK0279	5.83804710515578	5.83804710515578	5.83804710515578	5.83804710515578	5.83804710515578	5.83804710515578	5.83804710515578	5.83804710515578
CRUK0223	10.7020536505922	13.7055974752031	7.34454981433927	18.4027065358694	2.647440753673	10.7020536505922	13.5299754459473	9.00390713184038
CRUK0293	10.9097352770486	12.0781809089865	9.74128964511064	13.5187047325024	8.30076582159471	10.9097352770486	11.9010063451674	9.91846420892967
CRUK0232	10.2089029995422	10.9815339812688	9.43627201781565	11.9483341505494	8.46947184853502	10.2089029995422	11.0776296097577	9.34017638932673
CRUK0287	10.4935765129757	10.6704785263444	10.3166744996069	11.1641661148473	9.82298691110408	10.4935765129757	10.5225963391814	10.4645566867699
CRUK0271	10.8774136381826	11.7563947918436	10.349136998972	14.9191965710164	7.18633521979921	10.8774136381826	11.5412399405863	10.6005859643877
CRUK0273	10.0457748260113	10.520464595787	9.57108505623547	11.9707617702847	8.12078788173777	10.0457748260113	10.391318513581	9.70023113844152
CRUK0276	10.8734362849941	12.4240461481774	9.64027267693041	13.9332214961171	8.13109732899069	10.8734362849941	11.653266441376	10.2475271660689
CRUK0242	9.71593444619651	10.4846997835949	8.80910263272665	12.5641719006814	6.72963051564011	9.71593444619651	10.3949072068276	9.10857056261508
CRUK0245	10.0186085451095	10.3707386021648	9.6664784880543	10.9129952725145	9.12422181770454	10.0186085451095	10.1616147995967	9.87560229062236
CRUK0201	6.78685379006689	6.78685379006689	6.78685379006689	6.78685379006689	6.78685379006689	6.78685379006689	6.78685379006689	6.78685379006689
CRUK0206	9.45468478089204	10.8780225739483	8.43362233143297	12.8529368066602	6.45870809872106	9.45468478089204	10.0310991639426	8.73459747903873
CRUK0241	10.4831285898401	12.1432142401625	9.19292439794332	15.1037469194281	6.2323917186777	10.4831285898401	11.9242483462095	9.81901104611716
CRUK0297	4.56343365233969	4.56343365233969	4.56343365233969	4.56343365233969	4.56343365233969	4.56343365233969	4.56343365233969	4.56343365233969
CRUK0284	7.81179221883874	9.58674098732453	6.02176376339278	12.2947241740771	3.31378057664022	7.81179221883874	9.28332665555861	6.58392901172777
CRUK0233	8.10318391919217	8.69037192304701	7.51599591533734	9.34037572651215	6.8659921118722	8.10318391919217	8.48942411608358	7.71694372230077
CRUK0280	9.78047026823761	10.8387496936264	8.34956465623248	12.7288917803831	6.45942256947585	9.78047026823761	10.5706074085732	8.99120122641528
CRUK0247	6.90277332793788	7.2276051169357	6.57794153894006	7.96262488604387	5.84292176983189	6.90277332793788	7.08259979989088	6.72294685598488
CRUK0213	6.24750321400308	6.24750321400308	6.24750321400308	6.24750321400308	6.24750321400308	6.24750321400308	6.24750321400308	6.24750321400308
CRUK0286	7.13451261187515	7.46253936743278	6.66318485508649	8.6815499632204	5.44417425929887	7.13451261187515	7.50506924186498	6.81789022620956
CRUK0256	9.86405710626347	9.86405710626347	9.86405710626347	9.86405710626347	9.86405710626347	9.86405710626347	9.86405710626347	9.86405710626347
CRUK0274	8.25838950510896	10.7736823583574	6.36850016859442	12.8904477595141	4.25173476743772	8.25838950510896	10.4432768046425	6.91641279002203
CRUK0244	10.2751250884297	10.2751250884297	10.2751250884297	10.2751250884297	10.2751250884297	10.2751250884297	10.2751250884297	10.2751250884297
CRUK0212	8.99802272764042	8.99802272764042	8.99802272764042	8.99802272764042	8.99802272764042	8.99802272764042	8.99802272764042	8.99802272764042
CRUK0299	10.4813726248531	11.1528879173511	9.809857332355	13.7861837978145	7.17656145189159	10.4813726248531	10.5098820434151	10.452863206291
CRUK0240	8.60109192071976	9.47858662039026	7.72359722104927	10.7245025202685	6.47768132117107	8.60109192071976	9.33438452682264	7.86779931461688
CRUK0392	8.03854614207317	10.0643943242999	6.38859089071105	12.71363502553	3.73935018948087	8.03854614207317	9.96138464028814	7.05678317027165
CRUK0381	10.4153940636235	12.7054265308687	7.89529048612539	15.7608705575176	4.83984645947652	10.4153940636235	12.8391784715536	7.93927726356489
CRUK0372	3.01375258073918	3.01375258073918	3.01375258073918	3.01375258073918	3.01375258073918	3.01375258073918	3.01375258073918	3.01375258073918
CRUK0361	9.45476172585341	12.6492713107734	6.76464027757618	16.6962457204436	2.71766586790602	9.45476172585341	12.6334130280087	6.76323608537669
CRUK0380	9.56742860008537	10.6288159358785	8.71042257299484	12.8728889923863	6.46634951648708	9.56742860008537	10.2367847618883	8.95347835860534
CRUK0329	6.98121859595849	7.96524085531502	5.99719633660196	10.045077242123	3.91735994979401	6.98121859595849	7.53145848081758	6.4309787110994
CRUK0315	12.0048836748612	12.362186858761	11.6475804909615	13.1550935754616	10.8546737742609	12.0048836748613	12.2456056746988	11.7641616750237
