m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	2.75762266484453	2.82419868769115	2.6910466419979	3.71866818092717	1.79657714876188	2.75762266484453	2.95758385950199	2.55766147018706
CRUK0045	0.301567185307571	0.369217764578648	0.233916606036495	1.47040637814127	-0.867272007526125	0.301567185307571	0.369217764578648	0.233916606036495
CRUK0005	2.0854196447774	2.2401637873445	1.80579233262545	4.74735089258131	-0.701394772611366	2.0854196447774	2.2401637873445	1.82873005584973
CRUK0028	0.847189460435201	1.00358545774666	0.690793463123741	1.48523464517035	0.209144275700054	0.847189460435201	1.00358545774666	0.690793463123741
CRUK0117	0.932468218480772	1.16345592406731	0.701480512894235	2.15567756715394	-0.290741130192396	0.932468218480772	1.24786162591376	0.617074811047788
CRUK0024	2.24337676071853	2.61793672315281	1.77302110392116	4.99951974982966	-0.608561922755682	2.24337676071853	2.57702405141102	1.77302110392116
CRUK0128	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055
CRUK0051	0.739461841901641	1.10255258523789	0.298692784640158	4.02627937012876	-2.62503400025071	0.739461841901641	1.16859327456378	0.298692784640158
CRUK0042	0.949152279461675	0.938926500180442	0.959378058742907	1.81551539617905	0.0827891627442999	0.949152279461675	0.994033338604469	0.90427122031888
CRUK0004	1.39792632210125	1.7146841892533	0.825238581172308	4.22446644302502	-1.68454367259941	1.39792632210125	1.74481297440932	0.825238581172308
CRUK0057	2.57067913272015	2.86264179509834	2.27871647034196	4.3548823277436	0.786475937696698	2.57067913272015	2.86264179509834	2.27871647034196
CRUK0003	1.29225476996505	1.62859976324805	0.904925478421479	2.7514633653521	-0.217938123682566	1.29225476996505	1.53470019452433	1.05060353565407
CRUK0026	1.53642017532441	1.47658946624247	1.59625088440635	2.4205897920216	0.652250558627219	1.53642017532441	1.63943881014667	1.43340154050216
