m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	2.40752051540772	2.41892367116705	2.25508521812204	4.30399497954691	0.370013909742183	2.40752051540772	2.83658967041557	1.74453356119061
CRUK0117	0.932468218480772	1.16345592406731	0.701480512894235	2.15567756715394	-0.290741130192396	0.932468218480772	1.24786162591376	0.617074811047788
CRUK0128	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055	1.15655689972055
CRUK0134	2.89237016334765	3.22150232601528	2.65983929402231	5.41337057039144	0.467971049646146	2.89237016334765	3.2454270116983	2.63415743942952
CRUK0146	3.09718380961935	3.31474716932305	2.94811722529182	7.29868607310979	-1.03582167849492	3.09718380961935	3.31474716932305	2.94735084548726
CRUK0196	3.34899369799016	3.36385710334813	3.3341302926322	3.71303608578539	2.98495131019493	3.34899369799016	3.42916951420339	3.26881788177693
CRUK0124	1.51902308179292	1.62151267748705	1.41653348609878	1.83937135322557	1.19867481036026	1.51902308179291	1.67394377424153	1.3641023893443
CRUK0199	0.566122499455119	0.566122499455119	0.566122499455119	0.566122499455119	0.566122499455119	0.566122499455119	0.566122499455119	0.566122499455119
CRUK0182	0.923571951044311	1.08666418584103	0.760479716247598	2.01902324950222	-0.171879347413599	0.923571951044312	1.10563823272091	0.741505669367711
CRUK0183	2.52217172105062	2.52217172105062	2.52217172105062	2.52217172105062	2.52217172105062	2.52217172105062	2.52217172105062	2.52217172105062
CRUK0129	2.4568023172044	2.55365906880612	2.25872768475453	6.36805018923067	-1.55566343567002	2.4568023172044	2.62268603043462	2.25990630395141
CRUK0157	2.91565320351819	3.42876939707654	2.47652961618695	5.79969193129954	0.105607081963959	2.91565320351819	3.42876939707654	2.43498559777517
CRUK0118	2.69503487492022	3.02449579875057	2.36557395108988	4.54179160123798	0.848278148602463	2.69503487492022	3.02396213189994	2.3661076179405
CRUK0142	2.67368083913719	3.07499967293272	2.27236200534166	5.13257751128817	0.214784166986211	2.67368083913719	3.07499967293272	2.27236200534166
CRUK0115	2.57734565338605	2.56884608265544	2.58584522411666	3.09668240308794	2.05800890368417	2.57734565338605	2.81274712116468	2.34194418560742
CRUK0178	3.31778930396028	3.50040228742533	3.15236223204717	5.77305625926149	0.879708260211013	3.31778930396028	3.55909099698167	3.08259075727035
CRUK0259	1.73276212274109	2.11087683662755	1.35464740885463	4.76619712355394	-1.30067287807176	1.73276212274109	2.11087683662755	1.35464740885463
CRUK0270	0.771051660869339	1.11318444045685	0.552977204372772	3.86412544761338	-2.19796380278376	0.771051660869339	1.2009706742899	0.269749270600223
CRUK0235	2.05595338482004	2.80904468854556	1.23317696066946	4.99252378389094	-0.950302134675916	2.05595338482004	2.72241413984293	1.23317696066946
CRUK0296	1.20983206503118	1.28039784647882	1.13926628358354	1.44815630130684	0.971507828755522	1.20983206503118	1.2144288487413	1.20523528132107
CRUK0253	1.50898098221463	1.78921788691146	1.1878747564333	5.00352130156844	-2.02642865822369	1.50898098221463	1.78385554205965	1.37008813630155
CRUK0290	2.91273629010086	3.0403106143681	2.78516196583361	5.22089761559709	0.604574964604622	2.91273629010085	3.01008763709228	2.81538494310943
CRUK0285	1.84847739574493	1.84847739574493	1.84847739574493	1.84847739574493	1.84847739574493	1.84847739574493	1.84847739574493	1.84847739574493
CRUK0272	2.74884003404447	3.11086885671303	2.35454451044552	5.59345422629921	-0.128040859140654	2.74884003404447	3.03173011593667	2.47782750077555
CRUK0279	0.848297288080164	0.848297288080164	0.848297288080164	0.848297288080164	0.848297288080164	0.848297288080164	0.848297288080164	0.848297288080164
CRUK0223	2.79284096125551	2.14348489135588	3.23722938262576	9.21124439469243	-3.8305301207108	2.79284096125551	3.39188736564021	2.09541518016594
CRUK0293	3.43774150231336	3.76389854087701	3.11158446374972	4.91719116207654	1.95829184255019	3.43774150231336	3.76006610008589	3.11541690454084
