m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	13.1548246933137	13.9277457356706	12.3819036509569	17.1736150174402	9.13603436918733	13.1548246933137	13.446405057859	12.8632443287685
CRUK0045	6.19157575817654	7.67539538190197	4.70775613445112	14.4402967377594	-2.05714522140636	6.19157575817654	7.82134650945523	4.56180500689786
CRUK0005	14.2153378440359	15.6608240184684	12.4684795981516	21.1105019200473	7.0188016965726	14.2153378440359	16.0372789331943	12.7971486288843
CRUK0028	13.5594145967283	14.1951980186813	12.9236311747753	16.0237381463266	11.0950910471301	13.5594145967283	14.0948198176071	13.0240093758495
CRUK0117	7.66237995026019	8.24760150145404	7.07715839906635	11.1196195945215	4.20514030599891	7.66237995026019	7.96572996429735	7.35902993622304
CRUK0024	13.2069374662588	14.9472189680674	12.2843664883946	23.3183340050685	3.91325145139347	13.2069374662588	14.4609586858645	11.4928631953255
CRUK0128	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139	11.8033663533139
CRUK0051	9.06851044334183	9.99904571556145	7.96902489676854	18.2377125300389	-0.269641917708867	9.06851044334182	9.66613773040554	8.43241237521695
CRUK0042	15.7427337278678	16.247354496845	15.2381129588905	18.9474238598832	12.5380435958523	15.7427337278678	16.4807149968882	15.0047524588474
CRUK0004	14.3296493026035	16.5533354975128	12.1994778487154	26.0979995782818	2.6548137679464	14.3296493026035	15.4343468072513	12.8112833344611
CRUK0057	14.0807182211483	15.0386603034604	13.1227761388362	20.0323423261365	8.12909411616012	14.0807182211483	15.0223003049195	13.1391361373771
CRUK0003	11.6687058103726	13.4819161519344	9.5977688407864	20.4150587752092	2.66462621751162	11.6687058103726	12.7228379435881	10.8604331019193
CRUK0026	11.7543679921949	12.1938469602208	11.314889024169	13.8576040719338	9.65113191245597	11.7543679921949	11.8507185570789	11.6580174273108
CRUK0039	17.143453526879	17.9130199347523	16.3738871190057	21.3961629939071	12.8907440598508	17.143453526879	17.9404664934761	16.3464405602818
CRUK0016	13.9983898038256	14.490574293008	13.5062053146432	16.6633663524148	11.3334132552364	13.9983898038256	14.3497693158347	13.6470102918165
CRUK0018	16.2124821009374	17.1246652164875	14.7983238109594	24.6207475409506	7.30224148649621	16.2124821009374	17.1103238144079	15.5673859465277
CRUK0053	14.9227873691104	16.2475182469055	13.5980564913154	24.1235359519737	5.72203878624721	14.9227873691104	16.5780370583614	13.2675376798595
CRUK0017	15.3706633664159	16.694454315538	13.513646116405	24.0792778561489	6.12882257579416	15.3706633664159	17.411653177462	13.1537960255169
CRUK0021	15.7621589466279	16.5017072848852	15.0226106083706	20.3208052056275	11.2035126876282	15.7621589466279	16.0088952446409	15.5154226486148
CRUK0060	13.0281414099743	13.6667183313048	12.3895644886438	16.6974747409643	9.3588080789844	13.0281414099743	13.1264264315856	12.9298563883631
CRUK0032	8.89425391696395	9.84730331135508	8.29193166332276	16.8823601392142	1.25687483546359	8.89425391696395	10.383466035225	6.87264816247757
CRUK0055	12.0168899095833	15.3724647958398	8.08800944355227	31.9630512380985	-8.50257699870643	12.0168899095833	15.553560778317	7.93354633074818
CRUK0020	13.3755588080847	13.8094609042643	12.941656711905	17.0889036194642	9.66221399670506	13.3755588080846	13.620696894596	13.1304207215733
CRUK0027	15.1002294975701	15.3848886164299	14.8155703787102	19.0057238242008	11.1947351709393	15.1002294975701	15.2268809747198	14.9735780204203
CRUK0124	13.1465028928909	13.404216704125	12.8887890816569	15.9106023585016	10.3824034272802	13.1465028928909	13.4340732085303	12.8589325772515
CRUK0008	15.5252730540831	16.7719852833874	14.2785608247789	21.1159121316163	9.93463397654992	15.5252730540831	16.8353526101536	14.2151934980127
CRUK0199	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164	10.4944280973164
CRUK0182	12.0045301748849	11.9595755601244	12.0494847896455	15.3552391328113	8.65382121695853	12.0045301748849	12.1505070901535	11.8585532596163
CRUK0029	18.7314667913194	19.6698463658122	16.7666289972535	29.4187593753978	7.01771598766799	18.7314667913194	20.5518281158066	15.9806976738856
CRUK0061	15.6431625351397	15.6431625351397	15.6431625351397	15.6431625351397	15.6431625351397	15.6431625351397	15.6431625351397	15.6431625351397
CRUK0023	13.7170378844267	13.9512002658034	13.48287550305	19.1467352987149	8.28734047013843	13.7170378844267	14.3189958960144	13.115079872839
CRUK0035	12.8252795253718	13.0913713887146	12.6163993909475	15.9896326038427	9.71813817581941	12.8252795253718	13.274161884802	12.4495824034668
CRUK0044	12.4512308158095	13.0005956040816	11.9018660275374	18.0408674363302	6.8615941952888	12.4512308158095	13.6194420026314	11.2830196289876
CRUK0050	14.785405928703	16.3525860956428	13.5020039020242	20.3957416394922	9.45884835817487	14.785405928703	15.3915793081241	14.3103806464568
CRUK0030	14.4341877640868	15.8867899482231	13.2065473394624	23.1788373027022	5.91449998498328	14.4341877640869	15.5781329413729	13.6585304537873
CRUK0157	15.3063114575822	17.5555782098933	13.4984895554578	25.1559738248864	5.89809394046466	15.3063114575822	17.2455683338033	14.3142044836723
CRUK0052	14.4051989114636	15.8990269687536	13.2364557464584	22.4949633351575	6.6405193800546	14.4051989114636	15.1486461749807	13.6085785966873
CRUK0010	14.3263021072631	14.3263021072631	14.3263021072631	14.3263021072631	14.3263021072631	14.3263021072631	14.3263021072631	14.3263021072631
CRUK0046	13.0754455274955	13.8614492251417	12.2680704039531	18.7524864140721	7.37703321502278	13.0754455274955	13.5345564625367	12.7845401069838
CRUK0142	13.5974264694273	14.0597997249523	13.1350532139024	16.8397334487139	10.3551194901408	13.5974264694273	13.6112992689403	13.5835536699144
CRUK0115	15.4048512450062	15.7067456004994	15.102956889513	17.1084753778031	13.7012271122094	15.4048512450062	15.5834695348317	15.2262329551808
CRUK0041	15.5754758991228	17.1115049999502	13.4699414234447	26.5839195851301	3.99752683826484	15.5754758991228	17.3616001287452	13.6500695683834
CRUK0036	15.2643585117168	17.9053156576966	12.2804113918763	23.9584164020667	6.22731064750623	15.2643585117168	16.903430628059	12.2865071040218
CRUK0012	10.7548552554513	10.7548552554513	10.7548552554513	10.7548552554513	10.7548552554513	10.7548552554513	10.7548552554513	10.7548552554513
CRUK0001	11.9253396454459	13.3244953188558	10.526183972036	17.8587469361509	5.99193235474087	11.9253396454459	13.3277709969776	10.5229082939142
CRUK0047	15.1793129414492	15.5593319397359	14.7992939431624	17.379561451321	12.9790644315773	15.1793129414492	15.4198733629592	14.9387525199391
CRUK0033	15.231732250162	15.3366669421875	15.1267975581365	16.890362942954	13.57310155737	15.231732250162	15.3564654906209	15.1069990097031
CRUK0009	13.7985218712609	14.429777626286	13.1672661162359	20.2321502038299	7.36489353869192	13.7985218712609	15.2420596606309	12.3549840818909
CRUK0178	12.0311479036407	14.4349786537056	10.0172819263543	23.1084461322067	1.34381444785316	12.0311479036407	13.1635386808038	10.1620875862099
CRUK0049	9.65142306941263	9.65142306941263	9.65142306941263	9.65142306941263	9.65142306941263	9.65142306941263	9.65142306941263	9.65142306941263
CRUK0025	15.230119996851	15.7990986371872	14.6611413565147	17.681568628372	12.7786713653299	15.230119996851	15.7067136216539	14.753526372048
CRUK0006	10.936616054774	11.8857563701421	9.98747573940589	14.0304261526844	7.84280595686358	10.936616054774	11.7361549496024	10.1370771599456
CRUK0259	13.6205239442291	14.0520568053499	13.1889910831083	17.673878091623	9.56716979683519	13.6205239442291	14.1451217142285	13.0959261742297
CRUK0270	14.3037562679939	15.3104506637237	12.99423335142	23.7607048613268	4.54397915381688	14.3037562679939	15.386461573804	13.1898021819282
CRUK0048	13.5912142282144	14.0631122081403	13.1193162482884	15.8583730958081	11.3240553606206	13.5912142282144	13.931450315343	13.2509781410857
CRUK0296	16.4150787121975	16.6802243801541	16.149933044241	18.2998347464252	14.5303226779699	16.4150787121975	16.4998415319022	16.3303158924929
CRUK0253	10.4769215109662	12.3605328294755	8.7424374576783	22.7504857952833	-1.64751550812949	10.4769215109662	11.6420029856637	8.67154791743582
CRUK0019	12.778029716304	12.778029716304	12.778029716304	12.778029716304	12.778029716304	12.778029716304	12.778029716304	12.778029716304
CRUK0285	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755	8.43303034675755
CRUK0272	13.8827264930865	15.4970389223348	13.2223311958893	23.8816746936651	4.83769542455904	13.8827264930865	15.2297533049019	13.4008921254775
CRUK0011	8.40472321944559	9.48422678807665	6.56953078836065	16.3458361254066	-0.292078548969278	8.40472321944558	9.29957836883523	6.85776814935547
CRUK0037	11.2529150604197	13.5942883594821	8.48383963245917	24.8684551213766	-2.79032712943537	11.2529150604197	12.9642807548107	8.57708802201894
CRUK0014	13.3876473065374	13.3876473065374	13.3876473065374	13.3876473065374	13.3876473065374	13.3876473065374	13.3876473065374	13.3876473065374
CRUK0279	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481	8.92471083352481
CRUK0223	16.5942456136841	21.1386094885559	13.1121968562592	37.5460772685867	-3.29527092377161	16.5942456136841	19.5537862268883	15.0271470407647
CRUK0287	13.0975575127769	13.7032665047918	12.491848520762	15.0748401468642	11.1202748786897	13.0975575127769	13.3723318306582	12.8227831948956
CRUK0276	16.8618413749791	18.8564541448245	14.5119864599658	24.6831008908937	8.68533971389656	16.8618413749791	17.8137932136902	15.4230912598694
CRUK0242	14.1665700708198	15.0217196132419	13.6612713858423	22.1086645842519	6.57432641483224	14.1665700708198	15.3622030854445	13.3349226533649
CRUK0022	10.5415399089983	11.3126893654699	9.77039045252661	14.3979549613146	6.68512485668195	10.5415399089983	10.5567281375034	10.5263516804931
CRUK0206	14.7888979454989	16.0065049408193	13.4870810252087	22.3727574577164	7.12082850831158	14.7888979454989	16.3323195068994	13.3789622795955
CRUK0297	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235	6.0451750307235
CRUK0284	12.610184527144	16.0223356396704	9.63698835533978	26.6504305736839	-0.991106578673698	12.610184527144	14.0652251225388	11.4769594955139
CRUK0233	10.6890715620016	11.5352807361395	9.8428623878636	13.8531603667967	7.52498275720645	10.6890715620016	11.1695025302295	10.2086405937736
CRUK0280	13.6386821032145	14.6172152573903	12.477418618726	21.7961112303413	5.29852264577502	13.6386821032145	14.4163481755438	12.7890343581964
CRUK0247	9.90144531946152	10.5867513607315	9.21613927819156	13.1319515989443	6.67093903997877	9.90144531946152	10.6506686725858	9.15222196633725
CRUK0274	12.8834193408214	15.316853642705	10.8736397934411	26.5665713115083	-0.376077875362229	12.8834193408214	15.5018365790077	11.3682625126769
CRUK0212	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962	12.0000312677962
CRUK0299	14.067878760868	15.0526680109113	13.0830895108247	20.8837281626773	7.25202935905862	14.067878760868	14.7936588911611	13.3420986305749
