m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	3.24562831658197	3.12645062079398	3.36480601236995	3.79392741172609	2.69732922143784	3.24562831658197	3.48020989708788	3.01104673607605
CRUK0045	1.56094461567371	1.81623408098837	1.30565515035904	2.363658716801	0.758230514546408	1.56094461567371	1.81623408098837	1.30565515035904
CRUK0005	2.84363161664821	3.08807910719404	2.53052037817443	3.18067228095002	2.43792720441845	2.84363161664821	3.07174381093166	2.49758563272614
CRUK0028	2.62605171784918	2.62232380983216	2.6297796258662	2.85348189359751	2.39862154210085	2.62605171784918	2.6297796258662	2.62232380983216
CRUK0117	1.70628822879419	1.84451968942773	1.56805676816065	2.00191352823485	1.41066292935353	1.70628822879419	1.81132288253177	1.60125357505661
CRUK0024	3.90132174774333	4.24358821893869	3.22883182406963	4.4807343910642	2.99168565194412	3.90132174774333	4.24358821893869	3.22883182406963
CRUK0128	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603	1.96909067955603
CRUK0051	2.12522600843442	2.33447323929477	1.75241240887034	2.99427284077613	1.09261280738898	2.12522600843442	2.27905629279824	1.8344523325835
CRUK0042	2.8162939646687	2.92720665655536	2.70538127278204	3.1888731727358	2.4437147566016	2.8162939646687	2.90598003435008	2.72660789498732
CRUK0004	2.94209784772193	3.04806787265496	2.61517952055913	3.75001486787576	1.91323252533833	2.94209784772193	3.21649624676316	2.58666219939071
CRUK0057	3.68084396585165	3.9509412894142	3.41074664228911	4.39240978732834	2.96927814437497	3.68084396585165	3.95375699745681	3.4079309342465
CRUK0003	3.09725208808108	3.25102436511339	2.91244498624472	3.76789738075489	2.39557197060322	3.09725208808108	3.30815648027065	2.82458702610041
CRUK0026	2.7412263306489	2.80598648231476	2.67646617898305	2.83239620378713	2.65005645751067	2.7412263306489	2.78680182423079	2.69565083706702
CRUK0039	2.91365166265237	3.07476519481886	2.75253813048589	3.37767932189311	2.44962400341163	2.91365166265237	3.07476519481886	2.75253813048589
