m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	2.21924659480835	2.47188737099488	1.96660581862182	2.90899873566323	1.52949445395347	2.21924659480835	2.26004234051817	2.17845084909853
CRUK0045	0.984211615971548	1.05722820349093	0.911195028452166	1.64521124066431	0.323211991278784	0.984211615971547	1.05789937923711	0.910523852705987
CRUK0005	1.60239640031906	1.50300570917618	1.6509950988681	2.1455072247714	1.00849358327288	1.60239640031906	1.8241260143375	1.43037545201813
CRUK0028	1.53115561521916	1.62070137201978	1.44160985841855	1.79765119408877	1.26466003634956	1.53115561521916	1.56069471541951	1.50161651501882
CRUK0117	1.44095317843206	1.54493672374299	1.33696963312113	1.9469795982062	0.934926758657922	1.44095317843206	1.5137324649512	1.36817389191292
CRUK0024	1.79674470326205	1.88520377176551	1.66252342012342	2.5761343728812	0.97159281900773	1.79674470326205	2.10303924551675	1.59335623918584
CRUK0128	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849	0.94107056616849
CRUK0051	0.897021530566071	0.928850704038127	0.844202434267604	1.6258586944708	0.147194443834929	0.897021530566071	0.966032438839969	0.759917397487489
CRUK0042	1.63833259095978	1.65853374937732	1.61813143254224	1.86467747331223	1.41198770860732	1.63833259095978	1.7606303430648	1.51603483885476
CRUK0004	2.10235411815549	2.55523912412771	1.73034370328274	3.06981793981696	1.21576488759349	2.10235411815549	2.37515984312874	1.74868657667002
CRUK0057	1.90457103295324	1.89148177103089	1.9176602948756	2.26239028393971	1.54675178196677	1.90457103295324	1.9176602948756	1.89148177103089
CRUK0003	1.50892866074858	1.64189085437065	1.2917232780902	2.48923055268452	0.444383579776334	1.50892866074858	1.71118600623346	1.33308679720256
CRUK0026	1.71872434526006	1.75679615475082	1.6806525357693	1.88177425290317	1.55567443761695	1.71872434526006	1.74076917324799	1.69667951727213
CRUK0039	1.77670795535609	1.98528523753423	1.56813067317794	2.20103658142732	1.35237932928485	1.77670795535608	1.99221115003057	1.5612047606816
CRUK0016	2.05228056590909	2.12473670551267	1.9798244263055	2.34869716142021	1.75586397039796	2.05228056590909	2.08018266329243	2.02437846852574
CRUK0018	1.95445497877161	1.95468428331025	1.73288777913435	2.87753872420613	0.810033338238471	1.95445497877161	2.28645226219116	1.6737448978383
CRUK0053	1.30805646127639	1.35178555134928	1.2643273712035	2.13793057730049	0.478182345252283	1.30805646127639	1.36926315252838	1.24684977002439
CRUK0017	2.24248256537739	2.67503688605845	2.1147256619484	3.36891657220065	1.4208459758062	2.24248256537739	2.66157611448141	1.91744555661878
CRUK0021	2.18947484341758	2.2488894513993	2.13006023543587	2.55828007463207	1.82066961220309	2.18947484341758	2.26563432244415	2.11331536439102
CRUK0060	1.76322175907705	1.68811131388093	1.83833220427318	2.11136287601868	1.41508064213543	1.76322175907705	1.85742244178003	1.66902107637408
CRUK0032	1.46769273865557	1.74994618485295	1.28849553776437	2.38679735670653	0.65164436591079	1.46769273865557	1.68666484491037	1.11181880924196
CRUK0055	1.56769895374469	1.81346242473845	0.985157154228314	3.09076678535068	-0.292147206383914	1.56769895374469	1.92149013946254	0.973316510565292
CRUK0020	1.9697034416867	2.06202052587682	1.87738635749658	2.60034057635771	1.33906630701569	1.9697034416867	2.19427757342909	1.7451293099443
CRUK0027	1.72456948059816	1.89185046430099	1.55728849689533	2.01724076502621	1.43189819617011	1.72456948059816	1.81960734271413	1.62953161848219
