m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	2.12691637186652	2.46278309589254	1.8910502235324	2.7672293289548	1.58660399047015	2.12691637186652	2.36820338448317	1.85760398122419
CRUK0117	0.596224792724863	0.764985981084052	0.427463604365673	0.92034716068829	0.272102424761435	0.596224792724863	0.764985981084052	0.427463604365673
CRUK0128	1.07727414604423	1.07727414604423	1.07727414604423	1.07727414604423	1.07727414604423	1.07727414604423	1.07727414604423	1.07727414604423
CRUK0134	2.05567302923824	2.19909447435393	1.86746568711122	2.76060774071607	1.30595242074908	2.05567302923824	2.26381808964035	1.83023245912659
CRUK0146	2.75684601661905	3.09773807068358	2.49575363276897	3.75776159382677	1.83573010962579	2.75684601661905	3.09354061739513	2.50494985163497
CRUK0196	1.7140027391295	1.7352847465098	1.6927207317492	1.77994405641074	1.64806142184826	1.7140027391295	1.73272842509136	1.69527705316764
CRUK0124	1.1642014755663	1.2374665911993	1.0909363599333	1.27507353979126	1.05332941134135	1.1642014755663	1.2374665911993	1.0909363599333
CRUK0199	0.765995864717105	0.765995864717105	0.765995864717105	0.765995864717105	0.765995864717105	0.765995864717105	0.765995864717105	0.765995864717105
CRUK0182	0.903962835468683	1.12112842023931	0.686797250698054	1.2346474705938	0.573278200343563	0.903962835468683	1.12112842023931	0.686797250698054
CRUK0183	2.48093597143168	2.48093597143168	2.48093597143168	2.48093597143168	2.48093597143168	2.48093597143168	2.48093597143168	2.48093597143168
CRUK0129	1.83979280043338	2.09696051161704	1.49298326453381	2.97289755746588	0.617046218684967	1.83979280043338	2.16434457474333	1.55478747724627
CRUK0157	1.86250971691288	2.18612662112364	1.43330960474809	2.80282439580484	0.816611830066887	1.86250971691288	2.18612662112364	1.43330960474809
CRUK0118	1.78848787493496	2.037728179427	1.53924757044293	2.24490233606603	1.33207341380389	1.78848787493496	2.03749402967477	1.53948172019515
CRUK0142	1.79541938745731	2.05286214638123	1.53797662853338	2.37657492445007	1.21426385046455	1.79541938745731	2.05286214638123	1.53797662853338
CRUK0115	1.98776063238397	2.02420132419679	1.95131994057115	2.11327739437209	1.86224387039586	1.98776063238397	1.98891327670793	1.98660798806002
CRUK0178	2.08191933283161	2.26128419857128	1.88247521385219	2.7526224816175	1.39113693080597	2.08191933283161	2.30563684591749	1.97723870613531
CRUK0259	1.36897799773648	1.66989658950907	1.0680594059639	2.14552716852024	0.592428826952722	1.36897799773648	1.57545965497514	1.16249634049783
CRUK0270	2.12258374141385	2.2698440670578	1.94921318135413	3.11651850028336	1.10253874812856	2.12258374141385	2.50775084359067	1.76988711160388
CRUK0235	0.95414093601932	1.15586989085043	0.634068158268101	1.36060459854278	0.429333450575753	0.95414093601932	1.15586989085043	0.639107250348623
CRUK0296	1.20804892085494	1.25271228344465	1.16338555826523	1.28401658472521	1.13208125698467	1.20804892085494	1.26944744078063	1.14665040092925
CRUK0253	1.07433146499888	1.66383612338239	0.5208716948999	2.17735052174706	0.00735729653522743	1.07433146499888	1.66383612338239	0.754432389418945
CRUK0290	2.57933221051243	2.75665933320002	2.40200508782484	3.08520737802205	2.07345704300281	2.57933221051243	2.75665933320002	2.40200508782484
