m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	8.90436569536297	9.2872341539131	8.52149723681284	10.2177980013606	7.59093338936535	8.90436569536297	8.91118587131964	8.8975455194063
CRUK0045	3.14118503917705	3.83176715027257	2.45060292808153	5.68712987854308	0.595240199811014	3.14118503917705	3.83175153850532	2.45061853984878
CRUK0005	8.34916213996355	9.4518957116542	7.34700232826854	11.0385609379332	5.76033710198954	8.34916213996355	8.92635505522828	7.26095924072616
CRUK0028	7.55526861752996	7.84512744378372	7.2654097912762	8.44124749806002	6.66928973699991	7.55526861752996	7.84663553398049	7.26390170107943
CRUK0117	4.07944098898806	4.56508683591974	3.59379514205637	5.20860238780495	2.95027959017117	4.07944098898806	4.30503091387914	3.85385106409697
CRUK0024	9.28363260491215	10.3620487097951	7.68436992898614	12.3655824028347	5.68083623594657	9.28363260491215	10.0363760719475	8.28636851362601
CRUK0128	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908	6.99714667069908
CRUK0051	6.81573007115748	7.67582814745184	5.31931346683955	9.46655283041503	3.52858878387636	6.81573007115749	7.63690084826124	5.41238196775142
CRUK0042	9.99920753150186	10.3858877307291	9.61252733227462	11.0458108277775	8.95260423522626	9.99920753150186	10.4858544776562	9.5125605853475
CRUK0004	9.82803433951189	11.6491074008551	8.0153201107877	14.0847589292831	5.57966858235962	9.82803433951189	10.971560626791	8.08681058019822
CRUK0057	9.47343196398867	10.3426183627171	8.6042455652602	11.5686253113606	7.37823861661673	9.47343196398867	10.294457370713	8.65240655726429
CRUK0003	8.08046793470641	9.06088358696089	6.77509947905302	10.9056002376124	4.93038282840153	8.08046793470641	8.9970471555651	7.29758318552896
CRUK0026	7.81666692491366	8.12368050127667	7.50965334855066	8.67702830309793	6.9563055467294	7.81666692491366	7.8533522949137	7.77998155491363
CRUK0039	10.7213202021178	11.2568973164531	10.1857430877826	12.1753284641562	9.26731194007951	10.7213202021178	11.0475862695365	10.3950541346992
CRUK0016	7.61415503801369	7.71760794904553	7.51070212698185	8.59960919672973	6.62870087929766	7.61415503801369	7.76189947193066	7.46641060409673
