m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0034	3.65023638859007	3.82327700842527	3.47719576875487	3.95501371342158	3.34545906375855	3.65023638859007	3.79055939266519	3.50991338451495
CRUK0045	1.73241122983487	2.10961589544614	1.3552065642236	2.14373031402591	1.32109214564383	1.73241122983487	2.11607215246256	1.34875030720718
CRUK0005	3.14934147803014	3.34661058063079	2.89461513635169	3.46002885527318	2.7811968617093	3.14934147803014	3.3443832769659	2.99553340686637
CRUK0028	3.10889363557491	3.22972690260837	2.98806036854145	3.27143128405383	2.94635598709599	3.10889363557491	3.23216301635243	2.98562425479739
CRUK0117	1.45068973884938	1.59030179031184	1.31107768738691	1.62003236514369	1.28134711255506	1.45068973884937	1.51424866609027	1.38713081160848
CRUK0024	3.51052750431532	3.92372457912199	3.14735511281941	4.05247043920536	3.01860925273604	3.51052750431532	3.92020966978047	3.20076870089755
CRUK0128	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279
CRUK0051	2.86953959704597	3.193004854664	2.40819411106137	3.31092336932145	2.29027559640392	2.86953959704597	3.16495210977331	2.40948151960446
CRUK0042	3.42908533898276	3.51355272216383	3.34461795580169	3.62297788480621	3.23519279315931	3.42908533898276	3.51157123357843	3.34659944438709
CRUK0004	3.33375750747164	3.88599031120817	2.79760078650656	4.00762583279235	2.67596526492239	3.33375750747164	3.68089526527693	2.78493498429884
CRUK0057	3.63161435809802	3.84136526882027	3.42186344737577	3.85365848557918	3.40957023061686	3.63161435809802	3.84731125545135	3.41591746074469
CRUK0003	2.95173014991781	3.47047543032944	2.48507246423363	3.60460814141558	2.35093975314748	2.95173014991781	3.11319944876474	2.77715647813491
CRUK0026	3.08212157375426	3.13559217238254	3.02865097512598	3.16291157643666	3.00133157107186	3.08212157375426	3.14969503817151	3.01454810933701
CRUK0039	3.00728310779615	3.18896223003974	2.82560398555255	3.29179458808815	2.72277162750414	3.00728310779615	3.19836090517313	2.81620531041916
