m1.s.avg	m1.s.max	m1.s.min	m1.s.adj	m1.s.rev	m2.s.avg	m2.s.max	m2.s.min
CRUK0150	3.47821710894985	3.76245869921521	3.031989489131	3.89569396874652	2.89875421959969	3.47821710894985	3.657879962601	3.05518952876605
CRUK0117	1.45068973884938	1.59030179031184	1.31107768738691	1.62003236514369	1.28134711255506	1.45068973884937	1.51424866609027	1.38713081160848
CRUK0128	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279	2.97105302894279
CRUK0134	4.69852427872074	5.0849047035738	4.12096781784515	5.21005221435019	3.99582030706876	4.69852427872074	4.98391363399721	4.38814439058642
CRUK0146	4.34236103056822	4.51708005615327	4.1506600307501	4.55124097103674	4.11649911586662	4.34236103056822	4.41398314607197	4.26783891049756
CRUK0196	3.97536133293466	4.02973388181762	3.9209887840517	4.04835772984577	3.90236493602355	3.97536133293466	4.01704701996341	3.93367564590591
CRUK0124	2.85367277295672	2.92147160946474	2.78587393644871	2.96990172289068	2.73744382302276	2.85367277295672	2.91672305849459	2.79062248741885
CRUK0199	2.83763480809528	2.83763480809528	2.83763480809528	2.83763480809528	2.83763480809528	2.83763480809528	2.83763480809528	2.83763480809528
CRUK0182	2.66371612714859	2.80554537887156	2.52188687542563	2.86560233244903	2.46182992184816	2.66371612714859	2.81171453395421	2.51571772034298
CRUK0183	3.28394325886845	3.28394325886845	3.28394325886845	3.28394325886845	3.28394325886845	3.28394325886845	3.28394325886845	3.28394325886845
CRUK0129	2.88649037617269	3.07694728265817	2.56323332484449	3.45314756120989	2.18703304629278	2.88649037617269	3.09388076910495	2.69631608779376
CRUK0157	2.66717206215085	3.17125901529992	2.23265039588225	3.2581769390343	2.14573247214787	2.66717206215085	3.1708452741713	2.23265039588225
CRUK0118	3.83145099799852	3.9493471039269	3.71355489207014	3.97344539477038	3.68945660122666	3.83145099799852	3.93755006103324	3.7253519349638
CRUK0142	3.5750674895593	3.65072218492482	3.49941279419378	3.69782461219641	3.45231036692219	3.5750674895593	3.60377551846264	3.54635946065595
CRUK0115	3.72976190425101	3.82179689359065	3.63772691491138	3.84036815532292	3.6191556531791	3.72976190425101	3.76939889402517	3.69012491447686
CRUK0178	2.42678621682397	2.98116854516093	1.72267887021041	3.1766622996104	1.52718511576094	2.42678621682397	2.83979831598669	1.75777957778675
