,Cohort,Signature,N,HR,P-Value,C-index
m1.s.avg,TRACERx421_LUAD,Boutros2008,5/5,1.605,0.0088666,0.585
m1.s.max,TRACERx421_LUAD,Boutros2008,5/5,1.773,0.00018449,0.613
m1.s.min,TRACERx421_LUAD,Boutros2008,5/5,1.087,0.63792562,0.515
m1.s.adj,TRACERx421_LUAD,Boutros2008,5/5,1.658,6.97e-06,0.635
m1.s.rev,TRACERx421_LUAD,Boutros2008,5/5,0.826,0.19210966,0.534
m2.s.avg,TRACERx421_LUAD,Boutros2008,5/5,1.605,0.0088666,0.585
m2.s.max,TRACERx421_LUAD,Boutros2008,5/5,1.822,0.00013544,0.616
m2.s.min,TRACERx421_LUAD,Boutros2008,5/5,1.131,0.49342495,0.522
m1.s.avg1,TRACERx421_LUAD,Krzystanek2016,6/6,1.876,0.00230328,0.602
m1.s.max1,TRACERx421_LUAD,Krzystanek2016,6/6,2.074,7.246e-05,0.627
m1.s.min1,TRACERx421_LUAD,Krzystanek2016,6/6,1.36,0.15576982,0.546
m1.s.adj1,TRACERx421_LUAD,Krzystanek2016,6/6,1.804,4.91e-06,0.643
m1.s.rev1,TRACERx421_LUAD,Krzystanek2016,6/6,0.815,0.31352806,0.509
m2.s.avg1,TRACERx421_LUAD,Krzystanek2016,6/6,1.876,0.00230328,0.602
m2.s.max1,TRACERx421_LUAD,Krzystanek2016,6/6,2.109,5.348e-05,0.63
m2.s.min1,TRACERx421_LUAD,Krzystanek2016,6/6,1.355,0.16009086,0.549
m1.s.avg2,TRACERx421_LUAD,Bianchi2007,10/10,2.024,0.00787399,0.584
m1.s.max2,TRACERx421_LUAD,Bianchi2007,10/10,2.63,5.92e-05,0.625
m1.s.min2,TRACERx421_LUAD,Bianchi2007,10/10,1.246,0.40355183,0.529
m1.s.adj2,TRACERx421_LUAD,Bianchi2007,10/10,2.561,1.4e-07,0.668
m1.s.rev2,TRACERx421_LUAD,Bianchi2007,10/10,0.651,0.04339652,0.547
m2.s.avg2,TRACERx421_LUAD,Bianchi2007,10/10,2.024,0.00787399,0.584
