,Cohort,Signature,N,HR,P-Value,C-index
m1.s.avg,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.393,0.01247485,0.575
m1.s.max,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.491,0.00093265,0.591
m1.s.min,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.136,0.32929494,0.529
m1.s.adj,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.495,4.41e-05,0.609
m1.s.rev,TRACERx421_nonTRACERx100,Boutros2008,5/5,0.94,0.57130185,0.51
m2.s.avg,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.393,0.01247485,0.575
m2.s.max,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.549,0.00038071,0.598
m2.s.min,TRACERx421_nonTRACERx100,Boutros2008,5/5,1.122,0.3708536,0.529
m1.s.avg1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.714,0.00039343,0.593
m1.s.max1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.894,8.84e-06,0.614
m1.s.min1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.389,0.02906403,0.554
m1.s.adj1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.665,1.85e-06,0.623
m1.s.rev1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.03,0.8289592,0.509
m2.s.avg1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.714,0.00039343,0.593
m2.s.max1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.894,1.009e-05,0.612
m2.s.min1,TRACERx421_nonTRACERx100,Krzystanek2016,6/6,1.41,0.02287783,0.56
m1.s.avg2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,1.527,0.01482885,0.569
m1.s.max2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,1.78,0.00061206,0.597
m1.s.min2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,1.219,0.24289328,0.533
m1.s.adj2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,1.8,1.748e-05,0.622
m1.s.rev2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,0.899,0.46312943,0.516
m2.s.avg2,TRACERx421_nonTRACERx100,Bianchi2007,10/10,1.527,0.01482885,0.569
